Diz Que Fui Por Aí (Ao Vivo),Luiz Melodia,Cidade do Samba (Ao Vivo),T2px7342h7rnmc5kcgzfk3z5mcm
Tive Sim,Luiz Melodia,Estaçāo Melodia,T7lqdw65z3nullfw67m5meyrkfy
Não Me Quebro À Toa,Luiz Melodia,Estaçāo Melodia,Tp6vlzjy4rc5cnhpi6f5r2jafla
Dama Ideal,Luiz Melodia,Estaçāo Melodia,Toacmezbhsxl7maucajih3kwjuq
Papelão,Luiz Melodia,Estaçāo Melodia,Tbnlmztubhx6jojl4o2kygr7w4m
O Rei do Samba,Luiz Melodia,Estaçāo Melodia,Tlccuugyashmvmn4si4bx3ees5a
Chegou a Bonitona,Luiz Melodia,Estaçāo Melodia,Temg2oahlwtsfaba2qmufd2dd4e
Cabritada Mal Sucedida,Luiz Melodia,Estaçāo Melodia,Trc3p5giaxcvezcqlv67xcm5bnu
Recado Que Maria Mandou,Luiz Melodia,Estaçāo Melodia,Tuk4ljwo644cdj24httzdatikza
Nós Dois,Luiz Melodia,Estaçāo Melodia,Tzywneaindqsavkb73iedtmz5ty
Choro de Passarinho,Luiz Melodia,Estaçāo Melodia,Tumavpnrxrxyxfljyi3jm3c23ie
Contrastes,Luiz Melodia,Estaçāo Melodia,Tssto3uwp2hwoimnt7maookhpmm
Eu Agora Sou Feliz,Luiz Melodia,Estaçāo Melodia,Tyivhrhuaqn3bp6oe7vdv6fclim
O Neguinho e a Senhorita,Luiz Melodia,Estaçāo Melodia,T2r2pper2iytf76wuvvk6r4oypq
Linda Tereza,Luiz Melodia,Estaçāo Melodia,T5vga63t5vebeuv2yg3ztwcelyi
Congênito,Luiz Melodia,Maravilhas Contemporâneas,Thlz3wmbln4uyntuo3hxrsqlnou
Maravilhas Contemporâneas,Luiz Melodia,Maravilhas Contemporâneas,Twxwpremqkppxph76f3exsuajyi
Veleiro Azul,Luiz Melodia,Maravilhas Contemporâneas,Ti6zm5snsn3o57h454bha464nq4
Juventude Transviada,Luiz Melodia,Maravilhas Contemporâneas,Tou2qdxsttbmb7i6asvngygtlfa
Amor,Luiz Melodia,Maravilhas Contemporâneas,T6rpbfruwer24effzq5u2jsyjre
Baby Rose,Luiz Melodia,Maravilhas Contemporâneas,Tuzf2dotwkb6zl6nfwp3ta4avge
Questão de Posse,Luiz Melodia,Maravilhas Contemporâneas,Tut3uu3xdxzqiew6tyshyhaxcvu
Memórias Modestas,Luiz Melodia,Maravilhas Contemporâneas,T5gt3gyuiv633czeiibtgm3b4mu
Mary,Luiz Melodia,Maravilhas Contemporâneas,Tskyn47475co2j7nrb5ltoosicm
Paquistão,Luiz Melodia,Maravilhas Contemporâneas,Tfhf7hsloqsu4b3ixmp5ls2eivi
Quando o Carnaval Chegou,Luiz Melodia,Maravilhas Contemporâneas,Tyaodeaau7gtozkiv2yxboq3tqm
"Estácio, Eu E Você",Luiz Melodia,Pérola Negra,Tnaj73jttdurefmb555ht6jouy4
Vale Quanto Pesa,Luiz Melodia,Pérola Negra,Ta5epgm5isfj5u44f4apnn3d6pq
"Estácio, Holly Estácio",Luiz Melodia,Pérola Negra,T53cujnftnjrs4a4ynemkvvybuu
Pra Aquietar,Luiz Melodia,Pérola Negra,Tt2qjb4udqgpwat6aoxcyhpqlza
Abundantemente Morte,Luiz Melodia,Pérola Negra,Tnkpffhkrlz46hza6ghvfe7ztja
Pérola Negra,Luiz Melodia,Pérola Negra,Tbrdf24ylbk3iszcvoo75bmy5wa
Magrelinha,Luiz Melodia,Pérola Negra,Tu3h3o36mwws62bikivrypjajre
Farrapo Humano,Luiz Melodia,Pérola Negra,T47trdbx6slztak6yup3saslgaa
Objeto H,Luiz Melodia,Pérola Negra,Tyabx64rjhomwk7ef6ghjeqrzwe
Forró De Janeiro,Luiz Melodia,Pérola Negra,Toczqouwhxs6g7b36zicf4vx3ki
