It's Too Late,Carole King,Tapestry,Txey5rq3uq2b22qyo4xs32bt7eq
Gypsy,Fleetwood Mac,Greatest Hits,T3wjhsgq4yvsl4mzoed75ccnrnm
Dreams,Fleetwood Mac,Greatest Hits,Twhm52yjhkzedjjyozmidmxu3ye
Caramel,Suzanne Vega,Nine Objects Of Desire,Tz5tf2kyltbd6e7shahr3fllcoq
Here's Where The Story Ends,The Sundays,"Reading, Writing & Arithmetic",Tmgkxezjgwninp7qc7j7ya4ehcm
I Only Want to Be with You,Dusty Springfield,I Only Want to Be with You,Tfmejtkla5qw32wml2p3gpo2vpa
We've Only Just Begun,Carpenters,Carpenters Gold,Tgge2epn4gamh56bhkifp4cgbyq
There Must Be an Angel (Playing With My Heart),Eurythmics,Greatest Hits,T2x4e2pzlgzwe5znfxaj6kizdgi
Here Comes the Rain Again (Remastered Version),Eurythmics,Touch,Tidrufuhe2vpho5c3ju6ov3htye
Sweet Dreams (Are Made of This) (Remastered),Eurythmics,Sweet Dreams (Are Made Of This),To5l5xzzfbasen7x7cahmge2koy
You're so Vain,Carly Simon,No Secrets,T75fkxhdss4e22wentwysxxa22a
Coming Around Again,Carly Simon,Coming Around Again,T3372vd3a4vov4iygkn2owcs2jy
Guilty,Barbra Streisand,The Ultimate Collection,Tf7wkzfpgl2mbtk5yma5uiauk2a
Night And Day,Diana Krall,Turn Up The Quiet,Tvrpyaujgkb2sz2bbgdsfsrw6nm
Your Love Is King,Sade,Diamond Life,T5656o2ossq5jmkx7yxjc6umyoa
Smooth Operator (Single Version),Sade,The Best Of Sade,Te3kskdybd3cjhdfjlnvwc6kzxi
Sweet Love,Anita Baker,Rapture,Tqcy3yw5vrlsmwfhlpidebjmwv4
'S Wonderful,Diana Krall,The Very Best Of Diana Krall,Tjmzcgtihi7x5vqawxpw2homjmu
I've Got You Under My Skin,Diana Krall,The Very Best Of Diana Krall,Thbwtx5fmpw4tcptkubk5t2igbi
Don't Know Why,Norah Jones,Come Away With Me,Ttee742q7o4ljrnqotxhqapu5x4
Fast Car,Tracy Chapman,Tracy Chapman,Tgabjl2zzctghmutgrhlbzm6shq
Talkin' Bout a Revolution,Tracy Chapman,Tracy Chapman,Tofosnokqfmhl3qzo4sh7pqeawm
Baby Can I Hold You,Tracy Chapman,Tracy Chapman,T3hn74pygjbw2sw6mx2rr75d2y4
Don't Get Me Wrong,Pretenders,Get Close ([Expanded]),Tylztqsw5xq72xdk7d76cteogsi
Back on the Chain Gang,Pretenders,Learning to Crawl,Tf4vu5e6dvobmp5gvud3mlzq37e
The Windows of the World (Re-mastered for 'Pirate Radio'),The Pretenders,Pirate Radio [w/bonus tracks & interactive booklet] [digital version],Ti4uvjg2ejsw72y4xkt4pe7arhi
