Private Idaho,The B-52'S,Time Capsule,Ttwgv4hvbh3su35eklr26eumqm4
Planet Claire,The B-52's,Time Capsule,Thlbjzjpct5tn3rqvpb37kfrz3a
Rock Lobster,The B-52's,Time Capsule,Tclslik2rvb522p4hndcnvt7jrq
Summer of Love,The B-52's,Time Capsule,Th7rwfmru6zc6wf4ld4wxzcutdy
Roam,The B-52's,Time Capsule,Ty2hbluinlzhosjuscgxiy2ossm
Love Shack,The B-52's,Time Capsule,Twzbwbwodipzb7zvqmswww2hp5y
Legal Tender,The B-52's,Whammy!,Thxc42lfabmwjmq4mfcv4hx7ufi
Trouble,Shampoo,Trouble,Twn5f6llngmiwbke3uhuuqvmxeq
Back on the Chain Gang (2007 Remaster),Pretenders,Learning To Crawl [Expanded and Remastered],T4xvbhjubyri3kvrax7f5hlz5qe
Don't Get Me Wrong,Pretenders,Get Close,Tzedxvu7fszzcf3ii4f4yaoats4
Middle of the Road,Pretenders,Original Album Series,Tujd32gf6z7rmxuiwnuw63mevxa
Dancing With Myself,Billy Idol,Vital Idol,Tng32ltvemtulcwhhrcnqk3u7du
Deceptacon,Le Tigre,Le Tigre,Tek4v3bspkkicn7ovyw6zqnjuvu
Hot Topic,Le Tigre,Le Tigre,Tz7dssqh3b7wselrnchjqlgudpu
And She Was (2005 Remaster),Talking Heads,Little Creatures,Tez6shayj3yantwldnjyed7dnp4
Psycho Killer (2005 Remaster),Talking Heads,Talking Heads 77 (Deluxe Version),Ts7akzewwzgr4gljolfj2dr4epu
Wild Wild Life (2005 Remaster),Talking Heads,True Stories,Tfgxw66dh4tokjcpjpvdyg2rwbu
Love For Sale (2005 Remastered Version),Talking Heads,True Stories,Trhnkk6vzlnupqp5qagpz7zeclm
This Is the Day,The The,Soul Mining,Tm4oskka3m6zffqkr6npx2wnhnu
Da Da Da ich lieb dich nicht du liebst mich nicht aha aha aha,Trio,Triologie - The Best Of Trio,Twb5undtoavt36hqy542rrhjfje
Comme un Garçon (2015 Remaster),Stereo Total,Yéyé Existentialiste,Tezkf5g2wezzjh73kfsg3fgin2q
Heroes (2015 Remaster),Stereo Total,Yéyé Existentialiste,Teywuudegzmklkukia4zgz5wlv4
Come On Eileen,Dexys Midnight Runners,Too Rye Ay,Ttokzuiwmegh3gxytjehocsdqda
Heart Of Glass (Remix),Blondie,Essential,Tkpedd4thz4dkcbx5ulftp3qlta
The Tide Is High,Blondie,Essential,T4dq55mqcletlusj3oh6e5vww6i
Call Me,Blondie,Essential,T26aksxs3ffl7itfptd4nrjatna
One Way Or Another,Blondie,Essential,T56olbihy6hhdjnu4eqhv32hc5e
Making Plans For Nigel,XTC,Drums And Wires,Tffqol5nmmkzviubvftazjl5mq4
Uptown Girl,Billy Joel,The Essential Billy Joel,T6caqbtevei5l5g6xzq7fo2txhi
Walk Like an Egyptian,The Bangles,The Essential Bangles,Tepdmkd6j3zf4che5c7gpeka3ny
Our House (Stretch Mix),Madness,The Rise & Fall,Tp37b75edcmebhamntepoyfxuhy
Everybody Wants To Rule The World,Tears For Fears,Songs From The Big Chair,Tesd6zvs5yjx7ktpbdhj535uptm
Head Over Heels,The Go-Go's,Talk Show,T3wzlhcofhrp4654vhhbjkdflme
Town Called Malice,The Jam,The Very Best Of The Jam,Tsmbe23dfwzo3xe54tgidyqobri
The War Song (Remastered 2003),Culture Club,Waking Up With The House On Fire,Tu47a3lggl73q3c3mspyqij4uiy
If You Leave,Orchestral Manoeuvres In The Dark,The Best Of Orchestral Manoeuvres In The Dark,T7xdu7pranwhwctqeujkhtwvzlm
Just What I Needed,The Cars,The Cars,Tofgkkfod7egxuhu3j4fjug3f5y
