Bonus Track,Various Artists,The Art Of Acid Trance,Tmnpqzqkv5qjytdtiiqurgusrr4
July Inside (Remix),Losing Sleep,2012-2017,Tb3v3aboo2xhm466tpudh7a565e
Bad Bad News,Leon Bridges,Bet Ain't Worth the Hand / Bad Bad News,Tn5ijpxwfj6t36migjjwghyt6k4
River,Leon Bridges,River,Tpbkw2scw2l34uxgqrq6w6inc2q
Alright,Jordan Rakei,Groove Curse,Txewzdbhw3nqndjet6bzb7iuk2y
Really Love,D'Angelo and The Vanguard,Black Messiah,Tqzhnbw5gtcngp2yybpdywvs6l4
Ascension (Don't Ever Wonder),Maxwell,Maxwell's Urban Hang Suite,T6utayayrlyfmpovgj4ulacpatu
Comin' from Where I'm From (Radio Mix),Anthony Hamilton,Comin' from Where I'm From (Radio Mix),Torkvivx6hnboa74uhvp7dl5wju
Milk & Honey,Goapele,Milk & Honey Single,Tiy4emcwggu64r7aujjpsfriozq
Wake Up This Day (feat. Jordan Rakei),Tom Misch,Wake Up This Day,T2nzao4jsr532w4tipbimbywi7y
Love,Bill Withers,Les Indispensables,Tunlbe62sbfjnm3tpv5slb3kizm
Use Me,Bill Withers,Still Bill,Tojbuoshr5t6lkps2e2v7p46kne
Inner City Blues (Make Me Wanna Holler),Marvin Gaye,What's Going On,Teiofmrid7ydspu3slulizsdvim
Tired of Being Alone,Al Green,Tired of Being Alone,Tmwaqamv2u6x4bul4vnwyszgvwu
Between the Sheets,Isley Brothers,Love Ballads Vol. 5,T3t7ahgpnyqdnjzcza2xbi2b57e
Love Train,The O'Jays,The Best Of,Tlzberzed32kcmr3cybnnziy7s4
Feeling Good,Nina Simone,Last Holiday (Music From The Motion Picture),T6zdsvmhg5zivhx7elypacmuylm
Across 110th Street,Bobby Womack,The Best Of Bobby Womack: The Soul Years,Tcrbjszokuy43cerebxjhjui7cu
Ain´T No Sunshine,Bill Withers,Pop Music,Tbgd6bnb76tln2ki6v3p7qt3xbu
Move on Up (Extended Version),Curtis Mayfield,Born and Raised in the 70s,Tfmhq575f6duxyxi4kazpakmy7u
"Summer Breeze, Pts. 1 & 2",The Isley Brothers,Ultimate Summer BBQ,Tw2vhebuc7pimmgmyx2w2ojqaiq
Back Stabbers,The O'Jays,The Best Of,Tz3l7swre4edwddm4v7bbjqg44q
Loceans,Leon Ware,Moon Ride,Thtn53zdzomt2kmjlybfjcngkfi
Moon Ride,Leon Ware,Moon Ride,T6nwg44hvywvm4bm2vsb3qdf4za
Urban Nights,Leon Ware,Moon Ride,Tsad3u4dmfc4cmb3gwxk2l652ty
All Around the World,Leon Ware,Love's Drippin',Tietuhasokgqukf4ixpfwqy42jm
Breathe On Me,Leon Ware,Love's Drippin',Tou6c3lkqneqjxpflbv2woco7xy
Finger Party,Leon Ware,Love's Drippin',Toa33mwn7xloptmfsp247ugjmca
Inside My Love (Remastered),Minnie Riperton,Capitol Gold: The Best Of Minnie Riperton,Trpohknh7yjjr4kohtvqwhakm2m
The World (Is Going Up In Flames),Charles Bradley & Menahan Street Band,Daptone Gold,Te7mocojp5q7lzknh76zezphmgm
Victim Of Love,Charles Bradley,Big Little Lies (Music From The HBO Limited Series),T5x6iz3mrcgtrm2cmec5beqcfki
Never Could You Be (Single Version),The Impressions,The Best Of .... Vol 2,Tlz7k5hk3eznqo5bpk2lwmrwbjm
