"Carneirinho 1, 2, 3...",Palavra Cantada,Vamos Brincar,Ttr4qrigwiiaqtips4y2pifsjv4
Ciranda dos Bichos,Palavra Cantada,Pauleco e Sandreca,Tdizzqakopg5zqffppg3ucxvy2m
Tchibum da Cabeça ao Bumbum,Palavra Cantada,Especial Dia das Crianças,T5q7ajmpyqhqioyu4ppe67uf32m
Leãozinho,Palavra Cantada,Pauleco e Sandreca,Tzbrjqgs6x3bvef6qvjumgwmbta
Eu Sou um Bebezinho,Palavra Cantada,Pauleco e Sandreca,Txdcmzcsjkdu5ykvb5vwuiv5cce
O Vira,Palavra Cantada,Pauleco e Sandreca,Tai2ntvzm7z6j64ykxdmebjkg2u
Bicicleta,Palavra Cantada,Pauleco e Sandreca,Tiitn4u2gwhw5x35gu3wom6gxbi
Pomar,Palavra Cantada,Pauleco e Sandreca,Tyygyttvjjd7bedbcfc6kiobfvi
Quando Eu Era um Peixinho,Palavra Cantada,Pauleco e Sandreca,Tclhdcgxwivtpeq5wmwhimmswai
Bolacha de Água e Sal,Palavra Cantada,Especial Dia das Crianças,Tpm2a7iqwgb2esrz2rn5xebawni
Para Parar a Brincadeira,Palavra Cantada,Especial Dia das Crianças,Tzqse2wgkygfwymwt7zloeygcci
Ciranda,Palavra Cantada,Especial Dia das Crianças,Td242k7jsbjf3fdejeqnub6wvma
Carnaval das Minhocas,Palavra Cantada,Especial Dia das Crianças,Tq3mts2gpxeyindzqulpb5c4yii
Vem Dançar Com a Gente,Palavra Cantada,Especial Dia das Crianças,T2tl7insqnodddarbkwbg63jwrq
Músicos e Dançarinos,Palavra Cantada,Pauleco e Sandreca,Tdgck3isrsrqrd64hr2ebtr2yge
Pé Com Pé,Palavra Cantada,Especial Dia das Crianças,T6ktpkulvfc2wak4q24533ba33m
Ciranda dos Bichos,Palavra Cantada,Especial Dia das Crianças,Tmo3juh5rg55akdiscjeyntxdte
Fome Come,Palavra Cantada,Especial Dia das Crianças,T3v36arrmhdhjmij7agxuroukye
Músicos e Dançarinos,Palavra Cantada,Especial Dia das Crianças,T7nxpwmvxob3bx4mosgmilz6g2u
Sopa,Palavra Cantada,Vamos Brincar,Tnnnxv3drcxqeahgtfa6whkjpom
Ora Bolas,Palavra Cantada,Vem Dançar Com a Gente,Tvgsd7szcgq5c4kagsgrkpklzou
Linhas e Letrinhas,Palavra Cantada,Vem Dançar Com a Gente,Tsi7cod2k7rv7yp4s3mkxs2pc4m
Vambora,Palavra Cantada,Vem Dançar Com a Gente,Tomz7e47hyz53odl53z3htshpmy
Lá em Casa...,Palavra Cantada,Cantigas de Roda,Tsx6tvgnh2pcxp6dv4sfhyybio4
A Canoa Virou,Palavra Cantada,Cantigas de Roda,Ty5kz3gxazydwjc44gpqlt2ippy
Sapo Jururu,Palavra Cantada,Cantigas de Roda,Tzvozc4gi5qcg3x4omn2n7erdqe
Pombinha Branca,Palavra Cantada,Cantigas de Roda,Tzrn6b2u24obtppncgq7baxg6ky
Pot Pourri Osquindô Lê Lê,Palavra Cantada,Cantigas de Roda,Telna5mxljqrf77qesq5aipdwim
Meu Galinho,Palavra Cantada,Cantigas de Roda,Teagkc5u42ejyyidu7z7vuxydui
Gato,Palavra Cantada,Cantigas de Roda,Ti7gtukdssqtsxneemmpomuvmre
Santa Clara,Palavra Cantada,Cantigas de Roda,Tt3ubu2qtkcjj2snawabj7ccvm4
O Doce,Palavra Cantada,Cantigas de Roda,T42ffg4l5vwb6tmdv7wzifi4k5m
A Barata,Palavra Cantada,Cantigas de Roda,Tegvk24dqtueybqodiygsbffnwq
Caranguejo / O Cravo e a Rosa,Palavra Cantada,Cantigas de Roda,T3j2m7opcyvrg4stvzgfskdhanu
Hoje É Domingo,Palavra Cantada,Cantigas de Roda,Twjog7dagjfa2stmrvdcmktcmka
Tatu,Palavra Cantada,Cantigas de Roda,Tpej2mbuextcczwlvcm7377n7f4
Alecrim,Palavra Cantada,Cantigas de Roda,Tonxnd3vo67wcptlzjemjnnqpri
Pout Pourri de Parlendas,Palavra Cantada,Cantigas de Roda,T4mitpmbpygeur7uve7mnt7vql4
Peixe Vivo,Palavra Cantada,Cantigas de Roda,Tioc53dgycu6gf7nguo4tdivue4
Pinto,Palavra Cantada,Cantigas de Roda,Tqcutz2gik2qsujq62fe5ptjccm
Criança Não Trabalha,Palavra Cantada,Canções Curiosas,T57n5jidmqhnmkf5smm3qfesvsi
De Gotinha em Gotinha,Palavra Cantada,Especial Dia das Crianças,Tcmg7cdhi5m5fdvzaoi3fesgv6a
