Juke box,Fred Buscaglione,Fred Buscaglione: Le origini,Tgyooaqxgn6bakpxlt3ftosrjiu
Un bacio a mezzanotte,Quartetto Cetra,Quartetto Cetra,Tkkbsqvvtrjoqslyorf3kfjqw5y
Cannelloni,Giorgio Conte,Il Contestorie,Trt74ps3vc5q7xn65dhnaqozjja
Che Cosse' L'Amor (Live),Vinicio Capossela,Liveinvolvo,Telkfeykaqk37gz4mknoh7snt5a
Studio No. 6: Petali e mirto,Matteo Negrin,Sei Studi in Forma di Suite,Tb2pv5qh7jqke2bevdspjoqr254
Gne gne,Giorgio Conte,Sconfinando,Twgqmvnjbq7s4cxy5al3rxsbs3i
Piccolissima serenata,Renato Carosone,Espérame en Roma,To6gztbuafii5og2yv7jvhgeyqi
Le cose in comune,Daniele Silvestri,Monetine,Tzb73nqyfwjirvnysbvupajo73q
Tu Vuo' Fa' L'Americano,Quadro Nuevo,Impala,Ttcne3iqsjdgvtvwp2x5rdfecie
Le traiettorie delle mongolfiere,Gianmaria Testa,Men At Work,T4evlh3i24lzsybiorllhs5lkem
Carina,Nicola Arigliano,100 Great Italian Hits,Tumsipjruxt53tlnunpgovrppse
Dentro un cinema,Gigi D'Alessio,Uno Come Te,Tatprsvohnoegrm6xcbx2n6vj6q
