Sweet Child O' Mine,Guns N' Roses,Appetite For Destruction,Tqd2ymwbjvdvrwjzbvqxncqtoca
Man in the Box,Alice In Chains,Facelift,Tjzk4anlxioc6o3ljsrph5s2gx4
Viva La Vida,Coldplay,Viva La Vida Or Death And All His Friends,Tottpiypjkymc33yopkzdcynhwi
Give It Away,Red Hot Chili Peppers,Blood Sugar Sex Magik,T4pa4fzfwyhwyauvaa6fp4h5xhu
Blood Sugar Sex Magik,Red Hot Chili Peppers,Blood Sugar Sex Magik,Tc54a3hz7ftbzyzmobngbu3by3e
The Adultress (2006 Remaster),Pretenders,Pretenders II (Expanded & Remastered),Tcukfislcky37xpv7crsnnlkcly
Show Me The Way,Peter Frampton,Frampton,Tcqb7al3rjqtfhsgajghlyo4deq
What Is Life,George Harrison,All Things Must Pass (Remastered),T7qw574fi3345wiw2qawohkn5kq
I Can't Explain,The Who,"Meaty, Beaty, Big And Bouncy",Tmetwhdvsh5wytgz5m5o5fqklye
Eye In The Sky,The Alan Parsons Project,Eye In The Sky (Expanded Edition),Tlztegk5pud6mezfbssg7o5o54m
Dougy Giro,Toy Dolls,Dig That Groove Baby,Tpa4diz6xlq52vtrmopxurrfewq
Mary Had a Little Lamb,Stevie Ray Vaughan,The Essential Stevie Ray Vaughan And Double Trouble,Tung7qhjiyuppdekpkzjdofj2ci
