Olhar 43,RPM,Revoluções por Minuto,Tnvhwtdohvxlkrnca5fzwhxxjsi
Rádio Pirata (Ao Vivo),RPM,Revoluções por Minuto,T7o5hqil6cuahqzs2xdbnvcw2ae
Louras Geladas,RPM,Revoluções por Minuto,T47fj3ifonq4i3eolgwqo77g7n4
Revoluções por Minuto (Ao Vivo),RPM,Revoluções por Minuto,Tzbbq7fgxhoxwcr6ebeqrpssjr4
Nós vamos invadir sua praia (Remix),Ultraje a Rigor,2 é Demais,Tbgd6rggo6ocs6j65ns3lltdp3m
Rebelde sem causa,Ultraje a Rigor,2 é Demais,Txadriyywi3npedg3wec5o7w3cm
Mim quer tocar,Ultraje a Rigor,2 é Demais,Tc746ifa7uun3sp2ysv6yglnjpi
Zoraide,Ultraje a Rigor,2 é Demais,Tphvksnqypaxwvy7xl43nyi3q7a
Ciúme,Ultraje a Rigor,2 é Demais,Tn2ju7gldlpitmbuoa3ore4lelu
Eu me amo,Ultraje a Rigor,2 é Demais,Thjalf2xqpqpdegpzbhufxgvfqe
Independente futebol clube,Ultraje a Rigor,2 é Demais,Tfo6icnjlgtmyi6cnc5dtticxr4
Terceiro,Ultraje a Rigor,2 é Demais,T4dtygiuyiyouo52ai7c4cibuhm
Pelado,Ultraje a Rigor,2 é Demais,Thxmvdrei3dzpubpk4zgwstl3ea
Soldados,Legião Urbana,Legião Urbana,Tdvytewveauhym7bpfkr2iicpwq
Inútil (Ao vivo),Ultraje a Rigor,2 é Demais,Toxr7c56xuf2pgv6ksm6nanv3xq
Será,Legião Urbana,Legião Urbana,Tqf4ijsnz6zvv3mftumsyrgeg4q
O Reggae,Legião Urbana,Legião Urbana,Tywew4rm54pa5b2mhkrdqo2mou4
Por Enquanto,Legião Urbana,Legião Urbana,Thsjmtoqfkgvvndpdgirkxgygje
Tempo Perdido,Legião Urbana,Dois,Twzfucggzynriciwhrzppim34pe
Quase Sem Querer,Legião Urbana,Dois,Tpyfvqau6idtnmak3d6orhyuwee
Eduardo E Mônica,Legião Urbana,Dois,T6xwc6hlhakdol2a3ixi5ra5u5y
Andrea Doria,Legião Urbana,Dois,Tkdr7j6iwdwz4x5pqgab6qav74m
Fábrica,Legião Urbana,Dois,Tezklrls6onxjbq33kxifig72za
Toda cor,Titãs,Titãs,Tli7ch5sdycbwcjhlwj6eu7eitq
Que Pais É Este,Legião Urbana,Que Pais É Este,T7q4w2nugkreelswdmsphjeqvty
Sonífera ilha,Titãs,Titãs,Tp22znpls3kyc3zzf65xag55uxe
Go Back,Titãs,Titãs,Tpleor7znm3wemqnefcxaffjnly
Marvin (Patches),Titãs,Titãs,Tmxpfa4ayt5nqrtclsjwys3jckq
Televisão,Titãs,Televisão,Tve7wpxyz2snbbeicpvikjvji6a
Insensível,Titãs,Televisão,Ttwchlj3e4hvpnxbfe24nzh4nwu
Pra dizer adeus,Titãs,Televisão,Tdwdku4sumydljqrc4mr6watxfq
Não vou me adaptar,Titãs,Televisão,Tybx5mlonrf6diofa5q6or7pbri
Aa uu,Titãs,Cabeça Dinossauro,Tmvuqsh3fxttlopfuylopncqutu
Família,Titãs,Cabeça Dinossauro,Tj6i4ckmcxprp7htmnvfvejb6ya
Homem primata,Titãs,Cabeça Dinossauro,Ti2awiqvdtqtk7ktu4xv2siowpu
O que,Titãs,Cabeça Dinossauro,Tioqgll6bgjithzylvb2vdcx34a
Comida,Titãs,Jesus Não Tem Dentes No País Dos Banguelas,Tllcwnrmsws7kaoqoiugywxuyna
