Fato Consumado,Djavan,A Voz e o Violão,T3suatugfx7lzrhimcanpxj7lum
Flor de Lis,Djavan,A Voz e o Violão,Tuhfnd3qwckwnraqdbnlbcvqbwq
Sina,Djavan,Grandes Sucessos,Tfpwvxzfcgrtfnckg6kwcuhyd6e
Vou Deitar E Rolar (Quaquaraquaqua),Elis Regina,Fascinação - O Melhor De Elis Regina,T6f6i7wb74qj4lppb3sshhtvnty
É Com Esse Que Eu Vou,Elis Regina,Elis,Taj5dkxq6w5ufduo4ahipodqj2m
Anos Dourados (Album Version),Emílio Santiago,Maxximum - Emílio Santiago,Tffnrjbmtzfes7mihqszg2xawsq
E Vamos À Luta (Album Version),Emílio Santiago,Maxximum - Emílio Santiago,Txytdwwuvbihfs5k3euisavddva
Garota de Ipanema (Bonus Track),Emílio Santiago,Maxximum - Emílio Santiago,T2lclfgflklkopsglnnfyhttdgy
Homenagem Ao Malandro,Emílio Santiago,Emílio Santiago Personalidade,T5cp2u6jgifnukpnr4j6d7pht3i
Corcovado,Emílio Santiago,Seleção Essencial Grandes Sucessos: Emílio Santiago,Tjwbnmoy2bjmvz6alaruiubbghq
Chiclete Com Banana,Gilberto Gil,Expresso 2222,T5aprlsinhksjgf3hwe2pzm2lcq
Palco,Gilberto Gil,Luar,Tpgtht2dgecd5hirjafpwsd7bjy
Samba Do Avião,Gilberto Gil,Refavela,Tvdrqxuv6kyiiageme5gb32m62q
Hino do Fluminense Football Club,João Gilberto,Hino do Fluminense,49b554a5-3e53-385b-b2fc-cc1ecad3f2f3
A Rita / Samba do Grande Amor / Homenagem ao Malandro / Feijoada Completa (feat. Chico Buarque),Sururu na Roda,Sururu na Roda,T47j3fulefdz4n7fzdlrxjupppi
Voltei Amor,Trio Mocotó,Samba Rock,5c763058-f06d-3d7c-ae05-a6a1e74e8167
Certidão,Casuarina,Certidão,Tnpz537bmpunyemm73xzjn53woy
E Lá Se Vão Meus Anéis,Os Originais Do Samba,É De Lei,Tbbmhzgndfqyp3l6j5incdtkxom
Tragédia No Fundo Do Mar (O Assassinato Do Camarão),Os Originais Do Samba,É De Lei,T7g237jv3qpzf4umekvqlpmegy4
Brasil Pandeiro,Novos Baianos,Acabou Chorare,Tof4q5doqcb3acs4z26enlp32be
Sambista Perfeito,Arlindo Cruz,Fundamental - Arlindo Cruz,Toz7ckh56zcy7b7wxkg7hr7grse
Não Sei Por Que,Trio Mocotó,Samba Rock,e0c0e1ca-2583-3831-965b-732a28ff70d3
Meu Lugar,Arlindo Cruz,Fundamental - Arlindo Cruz,Tehgebewesbu4amkxfflfdwyrua
Quantos Beijos / Orvalho Vem Caindo (feat. Fundo de Quintal),Ivan Lins,"Tributo A Noel Rosa, Vol. 2",Ti7hnrpiahfe4jdbsbwedunqrx4
Folhas Secas (feat. Dirceu Leite),Sururu na Roda,Se Você Me Ouvisse,Tcuoawjspumsqwzcqrqrsgowcle
Quando Você Deixar,Casuarina,7,Tetifnevzbfcyuu7uqfsanut5pu
Ponto de Vista,Casuarina,Trilhos Terra Firme,T4gz53mci4mt5zykocj22fayigm
Tempo Bom na Maré (feat. Martinho da Vila),Casuarina,+ 100,Tuz2fqig4fx4rm662pafzotoptq
Queira ou Não Queira,Casuarina,7,Txqj3polprxumiy7hoct6c4sl3m
Seu Balancê,Zeca Pagodinho,Feijoada,T3ofj4wzo4ont4umlqe2dykfzwe
