Le poinçonneur des Lilas,Serge Gainsbourg,French Hits of the Last Century,Tkhmn3i3cxlvtrop4zcszvkmnr4
La javanaise,Serge Gainsbourg,"Oh La La La La, Vol. 4: Gainsbourg Himself",Tvdz64zvyjtqreft7idwwoczw6y
La chanson de Prévert,Serge Gainsbourg,French Hits of the Last Century,Twlpfrc3lyr256evx3nlzmdxhbm
Les sucettes,France Gall,France Gall CD Story,T3qcobob7r6mi6jbsebzermek6e
Chez Les Yé-Yé,Serge Gainsbourg,Souvenirs De France / 31,Tomsgsedrmz4ubqpmq42qab4rga
Black trombone,Serge Gainsbourg,French Hits of the Last Century,Tz2lj5vzxwwrubru2o6pwkj42vu
Pauvre lola,Serge Gainsbourg,"Souvenirs De France, Vol. 26",Tk3ch6uihsrjg7vfqfyp72tqxxq
Ces petits riens,Serge Gainsbourg,"Souvenirs De France, Vol. 25",T63w6r26gkd3iwcj4ojdxifybly
Comic strip,Serge Gainsbourg,"Souvenirs De France, Vol. 23",Tj5w4metony6xoeltob5lgslnqi
Je t'aime…moi non plus,Serge Gainsbourg,Serge Gainsbourg the Collection,T3stwzzmm2bhpbn73dmazo3cdei
L'anamour,Serge Gainsbourg,"Souvenirs De France, Vol. 23",Tenot5arc6qj3itnoqny45moshi
Aux armes et caetera,Serge Gainsbourg,Aux armes et caetera,Tlhyq3ltd2rpcj4dadmicwipxhe
Lola rastaquouère,Serge Gainsbourg,Comme un boomerang,Tvwjhb453cnpe5nnobrncm7gzxi
