Seja Bem-Vindo (Abertura),Wilson Simoninha,Sambalandclub,T6nqjbrsw3ufbmuymctss7bosey
Ter Você,Simoninha,Volume 2,Ttei3tklh7i7y4d6g2qf2dw25jq
Happy Hour à Beira Mar,Wilson Simoninha,Live Session At Trama Studios,Tluii6od2vytos2y63d3ir3h4lu
Mais Que Nada,Simoninha,Volume 2,Tjassbpnjbtu5npud6vyav23rpq
É Isso Que Dá,Simoninha,Volume 2,Thm6npprhpzffo6be2jkezbqjku
Nanã,Simoninha,Volume 2,Tbqrank6uqniigzfdme2hyvmyzm
Bebete Vãobora,Wilson Simoninha,Live Session At Trama Studios,Txe3ayjcf7uhczmglrzkmqkh3ue
Ela É Carioca / Feitinha pro Poeta / Samba do Carioca,Wilson Simoninha,Sambalandclub,Theizr2qqo3tygw6nzflsdv6jwu
Caminhos Cruzados,Wilson Simoninha,Live Session At Trama Studios,Tfckg2bze365fn4gnlh3b4tcv4a
Mais um Lamento,Wilson Simoninha,Live Session At Trama Studios,T4kzf63ickiu2kxp265m4omqm5q
Tributo à Martin Luther King,Wilson Simoninha,Live Session At Trama Studios,Tb5c7te3kmhrylgptbxfe6knlyy
Mais um Vira-Lata,Wilson Simoninha,Sambalandclub,Tbck4kxo2667vne65vcq3wx2uee
Quando,Wilson Simoninha,Alta Fidelidade,T6dvef6zzk5dh3zufshwfgshdba
Morena Rara,Simoninha,Alta Fidelidade,T3neng5hhdeeduke6soq2lhe76a
Meninas do Leblon (feat. João Sabiá),Wilson Simoninha,Alta Fidelidade,Twiywwhv2rz6dlcxntttcyhg5gy
Qual É o Meu Lugar (Menina),Simoninha,Alta Fidelidade,Tiamsxniuhr27exb7gw426l65zi
Versos Fáceis,Simoninha,Alta Fidelidade,Tdyxe5ti4oigwxcugyavdic367m
Nós Dois,Simoninha,Alta Fidelidade,Tkvhbh5qd42w7at3r2e6ju5qhtu
"Pois É, Poeira",Simoninha,Alta Fidelidade,Tnfcp2hhob76gelrdtckfpsy5xe
