,Thumbs up tracks
Lady Love,Lou Rawls,Lou Rawls - The Very Best Of,Tnxysxripnsy6tq2nodwituwffa
There Will Be Love,Lou Rawls,Lou Rawls - The Very Best Of,T44h64nw3u37iwrfx5tn7pm7ku4
You'll Never Find Another Love Like Mine / A Lovely Way to Spend an Evening (Live),Lou Rawls,Lou Rawls - The Very Best Of,Tjcmgc2srfpamlsad5ykq6lixoi
De Bem Com a Vida,Luciana Rabello,Luciana Rabello,Twcn2ygzvjfugijz3rlosi6hjl4
Female Of The Species,Space,Spiders,Tq3tselqovwv6yekf3wlmx7yihi
O Ôvo,Quarteto Novo,Quarteto Novo,Tryoiu46y4unuyo24wzc47xxqoi
Fica Mal Com Deus,Quarteto Novo,Quarteto Novo,T6mnfbww2e6jnajzxzszgxavhny
Canto Geral,Quarteto Novo,Quarteto Novo,Tidgxmbteltad6tozckzli2sxg4
Algodão,Quarteto Novo,Quarteto Novo,Twuawlqedunkctalurbjrtksf7m
Canta Maria,Quarteto Novo,Quarteto Novo,Tugoin22n2jsdjyet6yopdbt7cu
Síntese,Quarteto Novo,Quarteto Novo,Tieiu7cedmusfz5d2kf7waalua4
Misturada,Quarteto Novo,Quarteto Novo,Tj3tj2azyllfadwvzdm3cjzi5pa
Vim De Sant'Ana,Quarteto Novo,Quarteto Novo,Tht5bacdmj2knzz5l5mdqmlndcq
Sempre,"Mauricio Einhorn, Nelson Faria, Tony Botelho & Paulo Moura",K-Ximblues,Tktaolzrtevmxtlgpyunfa2ogai
K-Xintema,"Mauricio Einhorn, Nelson Faria, Tony Botelho & Paulo Moura",K-Ximblues,Tvqfrhvvetagwz2kpdg7q6c2bgi
Auto Plágio,"Mauricio Einhorn, Nelson Faria, Tony Botelho & Paulo Moura",K-Ximblues,Trqsi5r6a2l5qivtaqroee6bape
Catita,"Mauricio Einhorn, Nelson Faria, Tony Botelho & Paulo Moura",K-Ximblues,Toajn6sr5m52tjpterjk2km2qzy
U.S. 80’s - 90’s,The Fall,Bend Sinister,Tmn7tkbkzlrlhuj2e737rjim3ka
Shoulder Pads 1#,The Fall,Bend Sinister,T37bt6sykehvcpsdu4ivkobnjkm
Mr Pharmacist,The Fall,Bend Sinister,Ta3bjocyyjnulzn5bmxii77qopa
Terry Waite Sez,The Fall,Bend Sinister,Ti6l4266w5h2stg7wfrduq45v7y
R.O.D.,The Fall,Bend Sinister,Tzsa66f4vq2utvqqhxixyu2pf24
Bournemouth Runner,The Fall,Bend Sinister,T5qmredeygsobdv6uw53pqvh3ci
In Orbit,Thelonious Monk,In Orbit,Ttasj45w6h7whbixrhztxfg4a4u
Pea-Eye,Thelonious Monk,In Orbit,Tsbftggfzlseyz3euns55w76vli
Argentia,Thelonious Monk,In Orbit,Tkvgcrdubgsjdwqcffs4n6jcmzm
Neighbourhood,Space,Spiders,Tn3tteunxjtfoe4dx5og4qnlwfi
City Lights,Joey Alexander,Countdown,Ty6opsvqw6ozgroffvffjbrxyt4
Sunday Waltz,Joey Alexander,Countdown,Trwvx5a6j4cy5xfojtlvrcus3ia
Você É Minha,Caetano Veloso,Livro,Twrxe2bejbd755cobqpzjkufvem
From Her to Eternity (2009 Remastered Version),Nick Cave and the Bad Seeds,Lovely Creatures - The Best of Nick Cave and The Bad Seeds (1984-2014) [Deluxe Edition],Tjmo7j5dxsw2rlaf77jq22e2bqq
Tupelo (2009 Remastered Version),Nick Cave and the Bad Seeds,Lovely Creatures - The Best of Nick Cave and The Bad Seeds (1984-2014) [Deluxe Edition],Tum2wp4ogfiycvnb4bsbkmhijxq
Deanna (2010 Remastered Version),Nick Cave and the Bad Seeds,Lovely Creatures - The Best of Nick Cave and The Bad Seeds (1984-2014) [Deluxe Edition],Tmlh5cqjldypojwa7vjekdjuhpe
Two to Tango (feat. The Oscar Peterson Trio),Lester Young,The President Plays with the Oscar Peterson Trio (Bonus Track Version),T476xk5kcttmn2iuloytlapjkpu
St. Tropez (Bonus Track) (feat. The Oscar Peterson Trio),Lester Young,The President Plays with the Oscar Peterson Trio (Bonus Track Version),Tywwycf4lxfcn2t65yq563tsynm
Love Is Here to Stay (Bonus Track) (feat. The Oscar Peterson Trio),Lester Young,The President Plays with the Oscar Peterson Trio (Bonus Track Version),Tfrcowm7cv7tff6gaidhxpp6m5u
Chicana,Lulu Santos,O Ritmo do Momento,T634crxpovhe5n525cecpq4lqwe
Esse brilho em teu olhar,Lulu Santos,O Ritmo do Momento,Tu4xpmek7pqc35rjykztg7gjkma
Cherokee,Art Van Damme,Lullaby in Rhythm,Tgqtpysf3e655jyprrpyssr6i5a
Love for Sale,Art Van Damme,Lullaby in Rhythm,T6xse6kqzh3leqqkx6ysis34y34
Se Você Jurar,Nó em Pingo D'Água,Sambantologia,Tcjypmjcb4boz6qr57dyguqixu4
Samba de uma Nota Só,Nó em Pingo D'Água,Sambantologia,Tebw5igasfcwgosdhjdh7fy6q2i
Nanã,Nó em Pingo D'Água,Sambantologia,T5iyathwzosy64fgsymnwtbwopq
O Morro Não Tem Vez,Nó em Pingo D'Água,Sambantologia,Trljdhoadqivoeqnv4gpc4vacty
Shining Star,"Earth, Wind & Fire",Greatest Hits,Tceifwlvmwruxrleyypcvinybni
That's the Way of the World,"Earth, Wind & Fire",Greatest Hits,T2jrtmtextcvbqwkykrv4rjjvcq
The Hardest Button to Button,The White Stripes,Elephant,Twl4xcwufnoiolbroafic3netu4
All Around the World,Lisa Stansfield,Biography: The Greatest Hits,Tvkxpq35jlmauy4igecis6fagt4
Blue Tango,Tanghetto,"The Best of Tanghetto, Vol. 2",Tl47onb6ni2g6bkqrlksybegwiy
I Say A Little Prayer For You,Wes Montgomery,Down Here On The Ground,Tekladeu7qjvetqpz5qfbuxi4ee
Know It All,Wes Montgomery,Down Here On The Ground,Tkljvtfe5tcmmh5eoyqufzbfwti
"Wishing Will Make It So (From ""Love Affair"") (Remastered 1994)",Glenn Miller,The Essential Glenn Miller,Tugpgjtwxujp5uryldbfosjgkru
