Wave,Antônio Carlos Jobim,Wave,Tw3h4ev55ktp3ytsdblzk2nbxcq
The Girl From Ipanema,Antônio Carlos Jobim,"The Composer Of Desafinado, Plays",T3hfcfhodfoav24hwzbwfilpgz4
Amor Em Paz (Once I Loved),Antonio Carlos Jobim,"The Composer Of "" Desafinado"", Plays",Tzlocsmibrwapf5qb7ljxa4bjqu
Once I Loved,Antônio Carlos Jobim,"The Composer Of Desafinado, Plays",T7qtqvf4s23m3dp2u5tvrlp6zba
Agua De Beber,Antônio Carlos Jobim,"The Composer Of Desafinado, Plays",Tej5vufp55shwqzg3qi2lmas2m4
Vivo Sohando (Dreamer),Antônio Carlos Jobim,"The Composer Of Desafinado, Plays",Teesusm4smfidbnzc4nf4vk2asm
Vivo Sonhando (Dreamer),Antonio Carlos Jobim,"The Composer Of "" Desafinado"", Plays",Tnu3u7tmajfw22xgiuppenyuizm
O Morro Nao Tem Vez,Antônio Carlos Jobim,"The Composer Of Desafinado, Plays",T4bqceio242bwcbrrzmpftvjpjm
Insensatez,Antônio Carlos Jobim,"The Composer Of Desafinado, Plays",Taytfe22zphbflsod2ctkfyuwou
Insensatez (How Insensitive),Antonio Carlos Jobim,"The Composer Of "" Desafinado"", Plays",Ten5xzpdkf4mfvucbztahlkr2te
Corcovado,Antônio Carlos Jobim,"The Composer Of Desafinado, Plays",Tsykmntnfc5ltmyynqe6im6j6om
Samba De Uma Nota Só (One Note Samba),Antônio Carlos Jobim,"The Composer Of Desafinado, Plays",T7rqz6wmdtoa4uchfjan7hnknge
Meditation,Antônio Carlos Jobim,"The Composer Of Desafinado, Plays",Tx5abjqtskkswgp62r2n4ghd66q
So Danco Samba (Jazz Samba),Antônio Carlos Jobim,"The Composer Of Desafinado, Plays",Tkbor5kcuwho43dkdsdsxgtpljy
Chega De Saudade,Antônio Carlos Jobim,"The Composer Of Desafinado, Plays",Tur65ze7pz7fmfynhz4bzrenaam
Desafinado,Antônio Carlos Jobim,"The Composer Of Desafinado, Plays",T5sgao65wafy2jmbj4hcndw4kte
The Red Blouse,Antônio Carlos Jobim,Wave,T6ngnwvjvv3f6do4zxzxsitzuoe
Triste,Antônio Carlos Jobim,Wave,T7zcx2ip36h3zdiv22g3w7gqflq
Look To The Sky,Antônio Carlos Jobim,Wave,Tzvbxpxk7h5jtcjhjiksgiugcmi
Batidinha,Antonio Carlos Jobim,Wave,Thfiuajken4bd7a54qvflr5e46q
Mojave,Antônio Carlos Jobim,Wave,Tmw3cpg7geuup4i33xxavadghee
Dialogo,Antônio Carlos Jobim,Wave,T542mg4szvb5p2emuxe4vwlhcpa
Lamento,Antônio Carlos Jobim,Wave,T5kizl2tzoeziqftuo2a44raq6i
Antigua,Antônio Carlos Jobim,Wave,Ttvydmphmai5oc3krb3vr7smzb4
Captain Bacardi,Antônio Carlos Jobim,Wave,T6fxbxkysx7zpj4asfrvo74bibe
