Xote Dos Milagres,Falamansa,Falamansa Essencial,T4roiowuk6dkxsoro2aku4hr2ei
Xote da Alegria,Falamansa,Essa É Pra Vocês,Tczavuohtfkigx4fitvff7vw74i
Colo de Menina,Rastapé,Fale Comigo,Tvfk4jpf2vfkoyndxrqigwb3kga
Beleza Rara,Banda Eva,Beleza Rara,Tynglnheu4xov3aba2dhxlryusy
Alo Paixao,Banda Eva,20 Grandes Sucessos De Banda Eva,Tkoat4khz5kahqf7jx2yaoydxca
Me Abraça,Banda Eva,20 Grandes Sucessos De Banda Eva,Tdwvtwizio6b6kgxmg5gd2n2bnm
Pra Sonhar,Marcelo Jeneci,Feito Pra Acabar,Twsrqsvtuce4dp5t2ahs454uea4
Oh! Chuva,Falamansa,Essa É Pra Vocês,Txkudxmqrslnfo4qjlreekfjpqy
Beijo Roubado,Rastapé,Fale Comigo,Trbzxirpbd35esd7vwfjtqajbqm
Um Anjo do Céu,Rastapé,Fale Comigo,Tdqdtacm75g7i4hyei2j2ojcntq
Amor de Rastapé,Rastapé,Fale Comigo,Tsyj57idn3n3pzttk4x7g462hyu
"Que seja (feat. Dominguinhos, Caju & Castanha, Caju, Castanha, Miltinho Edilberto & Paulo César Pereio)",Bicho de Pé,Que seja,Tvbt2pc4ebdev3ymxrhty6bg4da
