"Happy (From ""Despicable Me 2"")",Pharrell Williams,G I R L,Tj7ujtq7hqfqvo4fwuppfj7wt5y
Mercy Mercy Me (The Ecology),The Strokes,You Only Live Once/Mercy Mercy Me,Tcni4dqwlkpssyuewwozfexh7ge
I Will Survive,Cake,Fashion Nugget,Te5cpo2sdret6ou47ziwhju5u6y
All Along the Watchtower,The Jimi Hendrix Experience,Electric Ladyland,Tixcfaeouvevc5q4ve6o2m5tziy
Let's Groove,"Earth, Wind & Fire",Raise!,Tlliukj2zdrlm27sls5o5a3qlm4
Got to Be Real (Single Version),Cheryl Lynn,The Best Of Cheryl Lynn: Got To Be Real,Ttmomd6nwpu2lalchgrks3gkc6u
Celebration,Kool & The Gang,Celebrate!,Tbvo4ausgwmmobgipxu7axxjem4
Who Am I (What's My Name)?,Snoop Dogg,Doggystyle,Twvfspkve33vvdqen5ofvhkjzb4
Let's Stay Together,Al Green,Let's Stay Together,Tqoqj75a6pg6cfp7bmtwiostl2q
You Are The Sunshine Of My Life,Stevie Wonder,Talking Book,Tvmloc4cn3jxqtl4oia5wto2omq
Rock with You (Single Version),Michael Jackson,Off the Wall,Tdb6wyj4p44umpuxuddjy63qetu
Love Never Felt So Good,Michael Jackson,XSCAPE,Tpxi74nni3lb6jf5ymvy6ndlok4
What's Going On,Marvin Gaye,What's Going On (40th Anniversary),Tn3js66ju2stp62qjbzffpxzwxy
I Want You (Single Version),Marvin Gaye,I Want You,Tb3suhmrqxcw4r47eq5vyiigu7u
Fresh Feeling,Eels,Souljacker,Tgzkmhnb24w774if4bkqh3nyhwy
Don't Stop Believin',Journey,The Essential Journey,Tgmu7frgday3jwrkj5hl7h5dkdi
See You When I Git There,Lou Rawls,The Essential Lou Rawls,Tvcc4v44lbmka2ljdcarcqvwc2i
All About That Bass,Meghan Trainor,All About That Bass,T3s4wi7m3eakrpzc2cakbojnea4
History Repeating (feat. Miss Shirley Bassey),Propellerheads,The Greatest Hits: This Is My Life,Ta5k2nuchfeay2ha2vi2an26syu
Daft Punk Is Playing at My House,LCD Soundsystem,LCD Soundsystem,T4cgv7u3oo2fpzpcxqr77w5b6wq
Rolam As Pedras,Kiko Zambianchi,Retratos,Tyry5xmfyjmmobnr7tbye6teife
Os outros (Remix),Kid Abelha,Educação Sentimental,Tsc6lwiwnf2xoeoldvnfbethujm
Romance Ideal,Os Paralamas Do Sucesso,O Passo Do Lui,Tr6d6ofxlxsrpqqrznn3n7762pq
Infinita Highway,Engenheiros Do Hawaii,A Revolta Dos Dandis,Tlh4l2mxxiwjuyumnd7gsybb5ea
Quando O Sol Bater Na Janela Do Teu Quarto,Legião Urbana,As Quatro Estações,Tvowxy4gmamsdz3gipulurumqyu
Lágrimas de Crocodilo,João Penca E Seus Miquinhos Amestrados,Hot 20 - João Penca e Seus Miquinhos Amestrados,Tudn74pkmrllp6loc6knkyrfhxq
As Sete Vampiras,Leo Jaime,Sessão da Tarde,Tryvcf36zwylqs4dcifjtqp37te
A Vida Tem Dessas Coisas,Ira!,Isso É Amor,Tjdqblw4a2qe5dnhwzfp6ukrhay
A Fórmula do Amor (Remasterizado) (feat. Kid Abelha e os Abóboras Selvagens),Leo Jaime,Nada Mudou (Box) [Remasterizado],Tq4mqt5ak5rjm432435uv2uuxai
Tolices,Ira!,Ira! 30 anos,T7qypdz56uyjm3ygdkquflbghna
Tarde Vazia (Versão Acústica) (feat. Samuel Rosa),Ira!,Acústico Ira!,T2vpbmavhwm7trefsowyodkungq
Tudo Pode Mudar,Metrô,Olhar,T6kme5cdxim7ixm22dbnjq6xova
Sentado À Beira do Caminho,Ira!,Isso É Amor,Tsbeino6bjm3jqt4vvwpzlzs2qi
Uma Barata Chamada Kafka,Inimigos Do Rei,Inimigos Do Rei,Tc3cmpt3fve6vqlwscbnrjqfqui
Sonífera ilha,Titãs,Volume 02,T6hnjcfmrxg7koajyfcsef7eytq
Pra Sonhar,Marcelo Jeneci,Feito Pra Acabar,Twsrqsvtuce4dp5t2ahs454uea4
Vou Deixar,Skank,#1 Hits,T73enxmqpzishibyprprv7dr544
Resposta (Album Version),Skank,#1 Hits,Te52vsp6pmzmyhxmsvw7w7fplwe
Balada do Amor Inabalável,Skank,#1 Hits,T6lktlrrj3zyy57z6xr6tcvhxua
Tanto (I Want You),Skank,#1 Hits,Tf7y7snh4atjeqckfxv33fmbism
Onde Você Mora? (Acústico),Cidade Negra,Hits,Tppkb7dqrqeccsbe3r6pgsgfldq
A Estrada,Cidade Negra,Hits,Td6vgbmh47kmohoqpa3ofyc7qpq
Firmamento (Wrong Girl To Play With),Cidade Negra,Hits,Tcyr6tsx3ks37hs25tzmzc5ewei
Te Ver,Skank,#1 Hits,Ti3binvjrdjze7bty53sanhxtpm
Tão Seu,Skank,#1 Hits,Tu2qhgro3ax3egezd7aloqgw3py
A Sombra da Maldade,Cidade Negra,Hits,Tjtoilnpi7chzm6hqhga6arv26y
Sábado a Noite (feat. Lulu Santos),Cidade Negra,Hits,T65be2dn4zijuh6qxar7ichs4xy
O Amor Não Sabe Esperar (feat. Marisa Monte),Os Paralamas Do Sucesso,A Arte De Os Paralamas Do Sucesso,T645wkzgv3ugikriswzazy4fkiq
Um Anjo do Céu,Maskavo,Já,T27pjcza35qllrkvdg7qabhr5ge
Tempestade,Maskavo Roots,"Se Não Guenta, Por Que Veio?",Tuomo3t63rwkgjceyacjmyor7wi
Quero Ser Feliz Também (Ao Vivo),Natiruts,Natiruts Acústico no Rio de Janeiro,T2lxxavi7humqnnvarm6n5cd4ya
Andei Só (Ao Vivo),Natiruts,Natiruts Acústico no Rio de Janeiro,Tw4cbhspblbkp265ow4dd4twpnm
Você Me Encantou Demais (Ao Vivo),Natiruts,Play: Namorados,Tunew64hcsy6o3ufumv2454qubq
Meu Abrigo,Melim,Melim,Tueoxwrnyybe7giwxoimt3v436u
Marvin,Titãs,Go Back,Tdo7o3weux4n2vyoridy34m6dce
Go Back,Titãs,Go Back,Tmqvmayrmwwrpjv2tkoxozqyzza
Não vou me adaptar,Titãs,Go Back,Ti3yq5zjv62ttq3tq5c3e4oakqu
Comida,Titãs,Jesus Não Tem Dentes No País Dos Banguelas,Tllcwnrmsws7kaoqoiugywxuyna
Família,Titãs,Cabeça Dinossauro,Tj6i4ckmcxprp7htmnvfvejb6ya
