Cê Tá Pensando Que Eu Sou Loki?,Arnaldo Baptista,Loki? (1974),Tn3jgwvqexcctm26ty45hnq3lmy
Será Que Eu Vou Virar Bolor?,Arnaldo Baptista,Loki? (1974),Tcluzztdratyh4lynrppc7g72ji
Vou Me Afundar Na Lingerie,Arnaldo Baptista,Loki? (1974),Tbtl7me3w7bcjogzqf5eemxjara
I Will Survive,Cake,Fashion Nugget,Te5cpo2sdret6ou47ziwhju5u6y
So Lonely (Remastered 2003),The Police,Outlandos D'Amour (Remastered),T2djtuushcj4ydq4erzrt46fznu
Roxanne (Remastered 2003),The Police,Outlandos D'Amour (Remastered),T324pmf5jf72lhwjwylxbwboyf4
I Shot The Sheriff,Eric Clapton,461 Ocean Boulevard (Remastered),Tm5xiqrgywqs6y365xnshu6fdum
Seven Nation Army (Remasterisée),Ben L'Oncle Soul,Ben L'Oncle Soul,T3jakzuh22jgzgrc4usjjgyu47u
Happiness Is A Warm Gun (Remastered),The Beatles,The Beatles (Remastered),To2k3l3t74tn7glzgvad3oudg5u
Andei Só (Ao Vivo),Natiruts,Natiruts Acústico no Rio de Janeiro,Tw4cbhspblbkp265ow4dd4twpnm
Quero Ser Feliz Também (Ao Vivo),Natiruts,Natiruts Acústico no Rio de Janeiro,T2lxxavi7humqnnvarm6n5cd4ya
Tolices,Pato Fu,Ruido Rosa,T3e3xx2bnyhdv3ftbqrm7oija2i
Nunca Diga,Pato Fu,Televisão de Cachorro,Tgy4ad4wihw3tgpovlmate2jw54
Before You Accuse Me,Creedence Clearwater Revival,Cosmo's Factory (40th Anniversary Edition),Tplylgon5cb6s6mhxx6ajri5ooi
The Night Time Is The Right Time,Creedence Clearwater Revival,Green River (40th Anniversary Edition),Tjrayflnbe32oys5gugqwdbzv3i
Born On The Bayou,Creedence Clearwater Revival,Chronicle: The 20 Greatest Hits (Volume Two),Tqh3e6jxlvxiwcjtitzqd7ihumi
Carnival,The Cardigans,Best Of,Tlqgtroq2gm3cwkqhp3vd54cbtu
Rebana Ba Leshotho,Aura Msimang,Itshe,Trjfui2rwe2qdfkqj245ypbgzmy
Lovefool (Radio Edit),The Cardigans,First Band On The Moon,Toltul7xpt47zkcoiralytqlcuy
Special,Garbage,Version 2.0,T342zrd6u57wmowcayex4owgwha
Your New Cuckoo,The Cardigans,First Band On The Moon,Tj2tqk6vmluejb4m2x3gofivw34
Processed Beats,Kasabian,Kasabian,Tb7cfumvgqytmpfwxo6qlnqwaum
