Brigas,Bicho de Pé,A Vida Vai,Trsmzzmftkhvt274hyh2a55jgfa
Eu Só Quero Um Xodó,Bicho de Pé,A Vida Vai,T7bgwb5b6yrj3sgxikt6obbki4y
"Que seja (feat. Dominguinhos, Caju & Castanha, Caju, Castanha, Miltinho Edilberto & Paulo César Pereio)",Bicho de Pé,Que seja,Tvbt2pc4ebdev3ymxrhty6bg4da
Qui Nem Jiló (feat. Baião de Quatro),Rastapé,Fundamental - Rastapé,Toihd2mifpkevs72oh62u5fos3a
Eu Só Quero um Xodó / É Proibido Cochilar / Vem Morena (feat. Baião de Quatro),Rastapé,Fundamental - Rastapé,Tikjcjdz777oxndy5ukr57ovwei
Braia Dengosa/17 Légua e Meia,Bicho de Pé,Olhando Pra Lua (Tributo a Luiz Gonzaga),Trgro654sh2q6uinj7gbholdma4
Quero Ser Feliz Também (Ao Vivo),Natiruts,Natiruts Acústico no Rio de Janeiro,T2lxxavi7humqnnvarm6n5cd4ya
A Estrada,Cidade Negra,Hits,Td6vgbmh47kmohoqpa3ofyc7qpq
Firmamento (Wrong Girl To Play With),Cidade Negra,Hits,Tcyr6tsx3ks37hs25tzmzc5ewei
Te Ver,Skank,#1 Hits,Ti3binvjrdjze7bty53sanhxtpm
Tão Seu,Skank,#1 Hits,Tu2qhgro3ax3egezd7aloqgw3py
O Amor Não Sabe Esperar (feat. Marisa Monte),Os Paralamas Do Sucesso,A Arte De Os Paralamas Do Sucesso,T645wkzgv3ugikriswzazy4fkiq
Andei Só (Ao Vivo),Natiruts,Natiruts Acústico no Rio de Janeiro,Tw4cbhspblbkp265ow4dd4twpnm
Do Lado de Cá,Chimarruts,Só Pra Brilhar,Tcgboa77pqghbbwvqr7xi5xxdwa
Se Você Me Ouvisse,Sururu na Roda,Se Você Me Ouvisse,Tvlyncjipznldjej64qvtuhixe4
A Flor e o Espinho,Sururu na Roda,Se Você Me Ouvisse,Tm4wnn6dl3fncxvm3qrm7xw3ysy
Quando Eu Chamar Saudade,Sururu na Roda,Se Você Me Ouvisse,T42pumlmp7yr6h5fokoov4mfxhi
Folhas Secas (feat. Dirceu Leite),Sururu na Roda,Se Você Me Ouvisse,Tcuoawjspumsqwzcqrqrsgowcle
Gotas de Luar,Sururu na Roda,Se Você Me Ouvisse,T4vkiqc27jp7l2nxs5sa5grrlxe
A Rita / Samba do Grande Amor / Homenagem ao Malandro / Feijoada Completa (feat. Chico Buarque),Sururu na Roda,Sururu na Roda,T47j3fulefdz4n7fzdlrxjupppi
Song For My Father,Horace Silver,Song For My Father,Tngfd5swvvurx77kr5tqpj7amiu
Almost Like Being In Love (feat. Paul Chambers & Art Taylor),Red Garland,Red Garland's Piano,Tixbwf723wtrmjib4bkmc2tcpzm
Mercy Street,Herbie Hancock,The New Standard,Tcnfj6tyj6m45pdbo6m2d46sy4y
Ginza Samba,Vince Guaraldi,From All Sides,T3vk7iangiqp7ro3e7kcabz7xre
There Will Never Be Another You (feat. Pete Brown's Sextet),Joe Wilder,Such a Beautiful Sound: Joe Wilder and Pete Brown's Sextet,Tg5d56looguk3lgtd4xhbgjq7d4
Psycho Killer (2005 Remaster),Talking Heads,Talking Heads '77 (Deluxe Version),Ts7akzewwzgr4gljolfj2dr4epu
Private Idaho,The B-52'S,Time Capsule,Ttwgv4hvbh3su35eklr26eumqm4
Love Shack,The B-52's,Time Capsule,Twzbwbwodipzb7zvqmswww2hp5y
Trouble,Shampoo,Trouble,Twn5f6llngmiwbke3uhuuqvmxeq
Walk Like an Egyptian,The Bangles,The Essential Bangles,Tepdmkd6j3zf4che5c7gpeka3ny
Everybody Wants To Rule The World,Tears For Fears,Songs From The Big Chair,Tesd6zvs5yjx7ktpbdhj535uptm
Head Over Heels,The Go-Go's,Talk Show,T3wzlhcofhrp4654vhhbjkdflme
Glorious,Adam Friedman,Rock Dog (Original Motion Picture Soundtrack),Tjqhl6yf6bj3gfs6nu6vlhgus5a
Livin' la Vida Loca,Ricky Martin,Ricky Martin,Tvcfjgceavzxxef2kwydwyhe6u4
Get Stupid,Aston Merrygold,Get Stupid,Tzcvb54t4bzupxa45hibzdn25zi
Na Cadência Do Samba,Novos Baianos,Vamos Pro Mundo,T3gx3qetog67yxer4qel62ziq7u
Gangnam Style,Psy,Gangnam Style,Tgmrl6gfrlrvta4jriy4qsm5jue
Meu Abrigo,Melim,Melim,Tueoxwrnyybe7giwxoimt3v436u
"The Neverending Story (From ""The Neverending Story"")",Limahl,Best Movie Songs,Tlj5pi4xajinwrdkfpg62noweqa
Sonífera ilha,Titãs,Titãs,Tp22znpls3kyc3zzf65xag55uxe
Uni-Duni-Tê,Trem Da Alegria,Trem Da Alegria,T5bjjd6ta5tahk3vizz3csdoo2i
O Sol,Vitor Kley,O Sol,Tdwv6ulailivglbmax5ssaw5plq
Sugar Sugar,The Archies,"Sugar, Sugar",T7ld4nhmn2rq2wqfcussy2cygcm
De Gotinha em Gotinha,Palavra Cantada,Vem Dançar Com a Gente,T7xtllpjhfpdb4commmaprtrx5a
Palco,Pato Fu,Música de Brinquedo 2,Tbo4ejf7fy7vkwl6jbspp2kotpe
Salada Russa,Adriana Partimpim,Partimpim Tlês,T6kgyzojulgdtqk6uv6hkf2l4zq
Piuí Abacaxí (feat. Xuxa),Trem Da Alegria,Trem da Alegria,Tic35p64wlh4bqdtsopsj26zk2u
Panela Velha,Sérgio Reis,Sérgio Reis,T7kxmsm5itp5smz2lmmazjnacwq
Tocando Em Frente,Sérgio Reis E Filhos,Violas E Violeiros,Tuhijnqhci7znhxhn5ybwjmkoqm
É Disso Que o Velho Gosta,Sérgio Reis,Sérgio Reis 40 Anos de Estrada,Ts7fw47qu5fzz3ds3mawisbbeu4
Filho Adotivo,Sérgio Reis E Filhos,Violas E Violeiros,Tizqtn5iw7jqbgipti3ni3mgkqa
Pinga Ne Mim,Sérgio Reis,Seleção Essencial Grandes Sucessos - Sérgio Reis,Tccht7dl6v7yv7nq7rtxzzqu3ai
Cabelos Brancos (feat. Paulinho Moska),Casuarina,Roda de Samba do Casuarina e Convidados,Tff63sazks5dnvxltn54hc4pqli
"Chora, Me Liga (Ao Vivo)",João Bosco e Vinícius,Curtição,Tpdl4zfxbq7a37i43itmz6msnd4
Certidão,Casuarina,Certidão,Tnpz537bmpunyemm73xzjn53woy
Queira ou Não Queira,Casuarina,7,Txqj3polprxumiy7hoct6c4sl3m
