Pra Sonhar,Marcelo Jeneci,Feito Pra Acabar,Twsrqsvtuce4dp5t2ahs454uea4
Um Anjo do Céu,Maskavo,Já,T27pjcza35qllrkvdg7qabhr5ge
Só Tinha de Ser Com Você,Fernanda Porto,Best Of Fernanda Porto,Tqek7mchclvoafyfeenbxuhdr7e
Chega de Saudade,João Gilberto,Rosa Morena,Tdljcszivvreb4s5jytshdxyipm
Primavera ( Vai Chuva ),Tim Maia,iCollection - Tim Maia,Thhc66agfuqfytlgy3nzav5kv44
Luiza,Antonio Carlos Jobim,Passarim,Td73keosvqutuuorb54uq2reerm
Colo de Menina,Rastapé,Fale Comigo,Tvfk4jpf2vfkoyndxrqigwb3kga
Balada do Amor Inabalável,Skank,#1 Hits,T6lktlrrj3zyy57z6xr6tcvhxua
Tocando Em Frente,Almir Sater,Além do Tempo,T654oeamlhyxm2vssikgdkxtn3m
Let It Go,Demi Lovato,"Let It Go (from ""Frozen"")",Tf5p7rdwwguw423k2q2qdc435hm
Amiguinho,Crianças,Carrossel,Tpzec3rz4a2nwnsxvphhmzeqruy
Collision of Worlds,Robbie Williams,Carros 2 (Banda Sonora Original),Theovlme3nop3m6irtinreew5sy
Uma Aventura no Tempo,Turma da Mônica,Brincando Com a Turma da Mônica,T7fwvo4f4exvh33v6crypwklsii
Fico Assim Sem Você,Adriana Partimpim,Adriana Partimpim,Tlo7nw2ozebvbybijdmx6bb2phi
Fazendinha,Mundo Bita,Bita e os Animais,Ttozh2t5omhj4srdntv6aqz7wuu
Pavão Mysteriozo,Ednardo,O Romance Do Pavão Mysteriozo,T2golykkupdzuxwza3wbzvh3rj4
Charlie and Lola,Kidzone,Children's TV Favourites,T54ggqwyfwe7lcg5kzkfrfzv2u4
Glorious,Adam Friedman,Rock Dog (Original Motion Picture Soundtrack),Tjqhl6yf6bj3gfs6nu6vlhgus5a
Lindo Lago do Amor,Adriana Partimpim,Partimpim Tlês,Twuawexfgio25edzar5elnnvtl4
Canção do Amor Perfeito,Mariana Volker,Palafita,Twpdglanb5towaf4y4i6k2uglma
Feijoada Completa,Chico Buarque,Chico Buarque,T33lawd77eyod2o4kmhkkwxgcha
A Rita,Chico Buarque de Hollanda,Os Primeiros Clássicos,Tluf5tkw5kh7jf2t4l3vbszs2eq
"Quem Te Viu, Quem Te Vê",Chico Buarque,Chico Buarque de Hollanda Vol. 2,Th35bj7i452uvoicadmo4epw2gm
Apesar De Voce,Chico Buarque,Chico Buarque,Tbdmunhxnsqy4jsj43xi4cre3k4
Vai Passar,Chico Buarque,Chico Buarque,Trbxzc422qhig56c3ypxqdsvldm
Beleza Rara,Banda Eva,Beleza Rara,Tynglnheu4xov3aba2dhxlryusy
Alo Paixao,Banda Eva,20 Grandes Sucessos De Banda Eva,Tkoat4khz5kahqf7jx2yaoydxca
