Summertime,DJ Jazzy Jeff & The Fresh Prince,Homebase,Tdgz3a2xmleeqrbraacwug6fyme
State of Shock,The Jacksons,The Best Year Of My Life: 1984,Titzmzuwws6nswp7at4mxwb4v2u
Baby's Got Sauce,G. Love & Special Sauce,G. Love And Special Sauce,Tqph7a7pfnwhfrkq7pk3o6enfay
Walk This Way (feat. Aerosmith),RUN DMC,Raising Hell,Tfhvhtfez4rdcr4e5toeamr447u
Amapola,Benny Goodman,Amapola,Tzpuiaozozoguoqh6gzbt4llb6i
I Love You,Cesare Cremonini,La Teoria Dei Colori,T3qyjeqtzkiu5f3bcymw4lu75rm
O bêbado e a equilibrista,Elis Regina,Essa Mulher,Tkidd4yuz4y47prhicn2t2dc4qe
Cai dentro,Elis Regina,Essa Mulher,T2x4kzdq6yildlvgea7p4uaceaq
"Eu hein, rosa!",Elis Regina,Essa Mulher,Ttk76uogmysinlfufj5uwxiu5nm
Fotografia,Vanessa da Mata,Vanessa da Mata canta Tom Jobim (Deluxe Edition),Tqsvjvtb5bbyex4v5vfhsumbmee
Eu sei que vou te amar,Vanessa da Mata,Vanessa da Mata canta Tom Jobim (Deluxe Edition),T5hcdkwedgmhfu7dkhzjtywaquq
Só tinha de ser com você,Vanessa da Mata,Vanessa da Mata canta Tom Jobim (Deluxe Edition),T3dtckd5pppl46ngmojaivfwwhq
Chega de saudade (Bonus track),Vanessa da Mata,Vanessa da Mata canta Tom Jobim (Deluxe Edition),T7y6ttqydntjqtwzadnj5hp2edi
Bolinha De Papel/De Conversa Em Conversa,Milton Banana Trio,Sambas De Bossa,Tjulcmvmuivfgf4nql54ibpsqpe
Flor de Lis,Milton Banana Trio,Sambas De Bossa,Tkaki3ctmt5chezywuhkaulxeh4
Agora E Cinza/Balanco Zona Sul,Milton Banana Trio,Sambas De Bossa,Thn55lysd65bmxrpvpslgsszlba
There's No Other Way (Single Version),Blur,Blur: The Best Of,Tw327b2zswp47yebdmsl5r2dgfq
Song 2,Blur,Blur: The Best Of,Twsnvgwib6w6ci3ezpppdqngdwi
Love Will Tear Us Apart,Joy Division,The Best Of,Thunk7rbjflgdnkd6m62mstvw5u
