Theme From Starsky & Hutch (Funky People Mix),The James Taylor Quartet,Wait A Minute,Tkwvls6glbq7fkbotulnaerj7s4
Love Will Keep Us Together (feat. Alison Limerick),James Taylor Quartet,In the Hand of the Inevitable,Tb22k6h5ammsbusfb5wynqplbxu
Free Your Mind,James Taylor Quartet,In the Hand of the Inevitable,Tbxctwpgh7buz5fga5oy67iegry
Woman,The James Taylor Quartet,"Café Du Soleil, Vol. 4",To6h6zwwb4x7m5lgau6kgufs27e
Everything Is Changing,Groove Collective,The Best of Groove Collective,T356ita4hcqcjdrepah3fevkoxa
Supercharged,Down To The Bone,Supercharged,T2mhgqiyony6u4plliax6cdmyiu
Rain Cat (Enea Dj Remix),Abertico Project,Midnight Loungin,T2d4rb35327npez6u53qxmutngq
Little L,Jamiroquai,A Funk Odyssey,Tb3d2h7inzqxohggorbebr6irya
Somebody Else's Guy,Jocelyn Brown,Somebody Else's Guy,T5vx33kim3wx2ukq7ldho6i3q34
Always There (Edit) (feat. Jocelyn Brown),Incognito,100 Essential Hits - 90s,Thrin5qxuczmhtkchrn4m4xilre
Before Today,Everything But The Girl,Walking Wounded,T2zyuqhqhvp5vsv5rrubcw767be
Low Tide Of The Night,Everything But The Girl,The 90s Collection,Tpmwf2tsmxbxox54j2jeo3kv63e
Am I The Same Girl?,Swing Out Sister,As 100 Mais Da Antena 1 - Volume 3 (Álbum 1),Tfhopgt27ehdoi6y2jb6obvqq2a
Still A Friend Of Mine,Incognito,Positivity,T6mf37nrcob4bloxwzjhpkzhloe
You Are The Universe,The Brand New Heavies,Shelter,Tr4crw3qjocerhpu5xru3c7objy
