After While,Big Three Trio,"The History of Rhythm & Blues Part Two: 1942-1952, Vol. 1",Tl3s5vu246furnlqf4yjvyqfmea
Power Rangers,Teni,Power Rangers,Tlfbso5qpfl2jj2z6ew7p62bcue
Yo Pe,Innoss'B,Yo Pe (Remix),Trw5s22p2psfgyyyj6i5u5k5m2u
Baby Girl,Joeboy,Baby Girl,Tnjykrjhj4wr7w2ijd5msg4mtmq
John Cena,Sho Madjozi,John Cena,Tzfn2o4y5e7nccbuzwxj3loa5y4
Bhk (Drum Plus Version),Aka Boo,150 Best of Drum & Bass Tracks 2017,Tp5ae4jfkc5gjnfhvmt5ta2umka
Johnny,Yemi Alade,Johnny,Tpxpgwfnczezndxmnlspzoyonxi
Ojuelegba,Wizkid,Ayo,Tk5nik24354orcuncq5egl2bebi
Skelewu,Davido,Collywood Music Afrobeats Kickers,Tttiigx3pvhdex2xupyczvxudju
Doc Shebeleza,Cassper Nyovest,Tsholofelo (Platinum Edition),Tmhrug3ksok7xyo7e67t7ecwi2a
Sura Yako,Sauti Sol,Kenya Awake Vol 1,Tyrnuktuzkg35v2a4o3jfasmbzm
Taara,Baaba Maal,Taara,Tkzhwnzt5es4todz24tminmlchy
Sorrow Tears & Blood,Fela Kuti,Sorrow Tears & Blood,Tdvb26gztdjlkk53p7zozvvejzq
Ana (Hisboyelroy's Smooth Dub),Vieux Farka Touré,Remixed: UFOs Over Bamako,Tyytvyydhyupfx4gjpre3m5xog4
If them want to hear,Femi Kuti,Africa Shrine,T3bvfbkg53viam5o4qhxqsh33za
Mathiou,Raam Daan,Favori,Txvb72mrqqhx4o4odzbnimzouae
Sweet Mother,Prince Nico Mbarga,Sweet Mother,Tg4in5b3xle76nglgrwvormkvv4
Yeke Yeke,Mory Kante,Ultimate NRG - Best of 1996-2016,Tr77jvgagfvbke7d2hrzkel2noi
Senegal Fast Food,Amadou & Mariam ,Dimanche à Bamako,Tfgzlourptgxfrwftfiuktky3ha
Batoumambe,Habib Koité,Baro,Tb7xjacccwyf2sm3yit3yzsxj7y
Soweto Blues,Miriam Makeba,Welela,Twsbpvkv7a4dn5zpjifkzpj5lse
Angola,Cesaria Evora,MISS PERFUMADO (20th Anniversary Edition),T44hyekd4bxazfkc2fgnnuzdlyi
Diaraby Magni,Vieux Farka Touré,Fondo,Trkcfapeket4l45kp4dibuosgta
Souvent (Remixed by B Alone),Salif Keita,Moffou Remixes,T6f6qylyk3xymcqwp3nw2rgnomm
Maria Salome,Saida Karoli,Zanzibar Festival Classics (Highlights from Sauti Za Busara Festival),Tdqn3bnpg5gbchyjxnqxaghcpvu
Fanta Bourama,Djelimady Tounkara,Solon Kôno,Tmh73mynpclmme2wf3vh64nqf3u
Soobax,K'Naan,Urban Africa Club,Tiexm7nyljieak5hux5tdd4m46m
Yélé,Ba Cissoko,Sabolan,Tydksdlbmyxzsnjomb7r6o5vpku
Ndéleng Ndéleng,Orchestra Baobab,Made in Dakar,Tjwytxanlxn7lw2s4ro5hpsgwde
Madhawu,Alick Macheso and Orchestra Mberikwazvo,Zvido Zvenyu Kunyanya,T3vegyn635hpnzrsyykr3ydfkhu
Voix du Mali (feat. Oumou Sangaré),113,113 dans l'urgence,Tvjta7rtpy6grtzcarhv22x3cgu
Izinyembezi,Shiyani Ngcobo,Introducing Shiyani Ngcobo,Tg2gs5wzogfkjocztifmbnr2uje
Voodoo Child (Slight Return),Angelique Kidjo,Oremi,Tjr6xnchnq57fc5dfkugwf54rim
Ponciana,Lura,Best Of Lura,T74yne6mze54efel5a5yw72qk4u
Monie,Kanda Bongo Man,Best,Teamojfqfrfsfvgle2w7umftya4
Chet Boghassa,Tinariwen,Amassakoul,Tndhmdppqdq2oiirangvlipozbi
Raoui,Souad Massi,Raoui,T7ytbz2a5ovuxvijxuoucsfgvyi
Karkar / Vincent,Boubacar Traoré,Kongo Magni,Tazs7ludgjyubjqo755itc7djpa
Ya Rayah,Rachid Taha,Tékitoi,Tgun3jjav66ct36mhhx75gzf7zy
WA Winjigo Ero,Ayub Ogada,En Mana Kuoyo (Real World Gold),Txvsw7nljj645mxoz6p7zgqwcle
Dambalou,Issa Bagayogo,Timbuktu,Twah6w7yotmjj46ltgmtrsdxd3m
Nomakanjani,Brenda Fassie,Greatest Hits 1964-2004,Tziyt3bb5yj55xbkyk3aby7wcba
Makantja,PENNY PENNY,Makanja Jive,Tcwyx32y6it3z6ech6vf3p4vdgq
Ndakuvara,Oliver 'Tuku' Mtukudzi,Wonai,Tpmeuz352yjg3hz7gqmvd6zg25q
Bamako jolie den,Sékouba Bambino,15ème anniversaire,Tra67h7njzn5uusmnsslligf6nq
