Your Love Is King (Remastered),Sade,The Ultimate Collection,Tvxln5i6wd5n5qyxubkgiirsqw4
Guilty,Barbra Streisand,Guilty,T3tvufivjiis4ebtn3dnvftezyi
How Can You Mend a Broken Heart,Al Green,Let's Stay Together,Tzkq3irhgoxyoatfchrp5gtxjqm
Waiting In Vain,Bob Marley & The Wailers,Exodus,Tiemwvxpwzymib2vfjy6eeaoub4
Cigarettes And Chocolate Milk,Rufus Wainwright,Poses,Tizfp4zbnzxjgdxkpryfr55mkwy
True (Single Edit),Spandau Ballet,Gold - The Best Of Spandau Ballet,Tej56lo6xuw33wai6twec4ukryy
Let's Get It On,Marvin Gaye,Let's Get It On,T7mwqne7oltlxzzmah2x4r5vlmi
Je t'aime moi non plus,Serge Gainsbourg,Jane Birkin & Serge Gainsbourg,Tvcnz7x6676m6buksutficyowoq
Smooth Operator (Single Version),Sade,The Best Of Sade,Te3kskdybd3cjhdfjlnvwc6kzxi
I've Got You Under My Skin,Diana Krall,When I Look In Your Eyes,Tsyyxiir34agnvdpfga2ox7upuy
Don't Know Why,Norah Jones,Come Away With Me,Ttee742q7o4ljrnqotxhqapu5x4
Kiss On My List,The Bird And The Bee,Interpreting The Masters Volume 1: A Tribute To Daryl Hall And John Oates,T3efi2fnxos2zkoettgmlyv6xb4
Eye in the Sky (Remastered),The Alan Parsons Project,Platinum & Gold Collection,T3am662s32nsllnejoxxvpgtlum
Time,The Alan Parsons Project,The Turn Of A Friendly Card (Expanded Edition),Tauybgzs22w6izxr6b3ueieylty
You Sure Love To Ball,Marvin Gaye,Let's Get It On,Te7gbcj6uluxdnairp3sv6wvnm4
Every Breath You Take (Remastered 2003),The Police,Synchronicity (Remastered),Tbatvbpmlvid6iiq4cpczsokoii
You Make Me Feel Brand New (Bossa Version),Thata,Relaxing Bossa Lounge 2,T7nj6ubnrodh3wmpzjyz4lki7h4
The Look Of Love,Diana Krall,The Look Of Love,Teiei5q2j6anxpejoc7lju4soa4
The Sweetest Taboo (Remastered),Sade,The Ultimate Collection,Tbpu3mn4niauqfjnpu55qiuurvi
Easy,Commodores,Commodores,Tuzvqekjt2354zgni5hjtfd6jtu
More Than Words,Extreme,Extreme II: Pornograffitti (Deluxe),Tdtjgydaizm4m5zi7koyv5wj5lm
"My melancholy baby (feat. Ana Krüger, Carlos Badia, Nico Bueno & Mano Gomes)",Delicatessen,My Baby Just Cares For Me,Tszd4n7dkt6y2tjqoo356uepa3y
The Summer Wind,Madeleine Peyroux,Half The Perfect World,Tecc2ps74okfocbso5nlmtgc6ya
The Look of Love,Nina Simone,Silk & Soul,Tvnhtg5omtcuncjhznmqgu3v5hy
The Look of Love (Live Audio from The Wilshire Theatre) (feat. Paula Cole & Burt Bacharach),Chris Botti,Live With Orchestra And Special Guests,Tipeyxss2avh4jsfi22d6t74gv4
Hang On to Your Love (Remastered),Sade,The Ultimate Collection,Tdvsdq56k3hwjrjxlnx777tnjwy
One,U2,Achtung Baby,T3pffna3vcml2loczcvriofjbwy
Tired of Being Alone,Al Green,Gets Next To You,Tggp4u3id752hixskqjarsgscuq
Let's Stay Together,Al Green,Let's Stay Together,Tqoqj75a6pg6cfp7bmtwiostl2q
My Cherie Amour,Stevie Wonder,My Cherie Amour,Tsy6zp7dfikcezhyiblvwvl646q
Your Song,Billy Paul,360 Degrees Of Billy Paul,T7ebkmyiowoyk7r6i62oarmk65e
I'll Be Around (Remastered Version),The Spinners,Essentials,Trtfbq6fdpweesdaets77wcbine
Só Tinha De Ser Com Você,Elis Regina,Elis & Tom,Tsd4gsbahokzdwbem2j455enuzm
Fotografia,Elis Regina,Elis & Tom,Tygp3goecr5zbt7a4sgkdbjepvq
My Cherie Amour (feat. Stevie Wonder),Rod Stewart,Soulbook,T4qwj7fqa7uvrg3oipwkxhmfht4
A Lua e Eu,Cassiano,Soul do Brasil,T7kli7v3eiwuu4zewv4cjqdz6mm
Tenderly,Stacey Kent,Tenderly,Ts3qnqugxvpkrglcrcpg5igupda
