Skylark,Aretha Franklin,Laughing On The Outside,Tfugy2kaiah3kqvjmndhoguk3ce
I Never Loved a Man (The Way I Love You),Aretha Franklin,30 Greatest Hits,T3hesisctzwl5dv5qfub3ou7x2e
Do Right Woman - Do Right Man,Aretha Franklin,30 Greatest Hits,Tvnn5sc4jqhkz3b3gmpyufbw3zu
Respect,Aretha Franklin,30 Greatest Hits,To7yffl4ltcul4g7f2sczvnvzxe
Chain of Fools,Aretha Franklin,30 Greatest Hits,T7ax24giqbx3ivlqeg4v6bfsuma
(You Make Me Feel Like) A Natural Woman,Aretha Franklin,30 Greatest Hits,Tz3tqlswqlhkbdz5fddkxm4yzfe
Think,Aretha Franklin,30 Greatest Hits,Tdjm2btchmyx3onxsep5ip5igze
I Say a Little Prayer,Aretha Franklin,30 Greatest Hits,Tdoxwo2ld5dtdn2y6ghzzjzwkoa
Don't Play That Song,Aretha Franklin,Heartbreakers - Sad Love Songs,Txyztt773aza2ybnd5e7jewvco4
Spirit in the Dark,Aretha Franklin,Spirit In The Dark,Twexwwbg4xljl4vs7zgf2rexzoe
Bridge Over Troubled Water,Aretha Franklin,30 Greatest Hits,Tzfmy7yriflrflf37ojoueuabpa
Spanish Harlem,Aretha Franklin,30 Greatest Hits,Thfuwlg6gan6bgmnbx4ecfg7ami
Rock Steady,Aretha Franklin,Street Hits 70s,Tvps6rq22hi5eujz32p5jlzfa24
Day Dreaming,Aretha Franklin,30 Greatest Hits,Tqk2b3dbg7ban7qb4kdkc2tqp7e
"Young, Gifted And Black",Aretha Franklin,"Young, Gifted And Black",Twdptsl3km5khimjpv6hsceq6gy
Amazing Grace,Aretha Franklin,Essential Gospel Standards,T5y4bcdlqicd3nqgmtbqevwvy64
Until You Come Back To Me (That's What I Am Gonna Do),Aretha Franklin,Soul Queen,Tcdheutox5pmad6ifstn73nrxea
Freeway Of Love,Aretha Franklin,Who's Zoomin' Who?,Tbr4m3q64zb3s7m6zcs3yoldoxu
I Knew You Were Waiting (For Me),George Michael,Ladies & Gentlemen,Twlgrdon3zleuu4tvfr5klo7jeu
Dr. Feelgood (Love Is A Serious Business),Aretha Franklin,Soul Queen,Tl6gicbh2uu4xhr2quxusizhbbu
