Balanço Zona Sul,Wilson Simonal,Simonal - Ninguém Sabe O Duro Que Dei,Tu2mvjmwrllrhdhw35cb4nsvv5y
Perfeição,João Bosco,"Não Vou Pro Céu, Mas Já Não Vivo No Chão",Tvf7wsd6mpfmmd7glb3sfd7tnke
Tributo A Martin Luther King,Wilson Simonal,Simonal - Ninguém Sabe O Duro Que Dei,T75bopz6vcd3tucedmdainlai2a
Justo Agora,Adriana Calcanhotto,Cantada,T2lsfkpz3puffeduwzjgstf4ope
Sá Marina,Wilson Simonal,Simonal - Ninguém Sabe O Duro Que Dei,Tpncvwumlaiyeycvj443d5mr6rq
Preciso Aprender A Ser So,Elis Regina,Samba Eu Canto Assim,Thidodekxad5cnx2l2ipgxh3e6y
Simples Carinho,Gal Costa,"Songbook João Donato, Vol. 1",Tgbgmff2fqrkdohahon5arpyqty
Happy Hour à Beira Mar,Wilson Simoninha,Live Session At Trama Studios,Tluii6od2vytos2y63d3ir3h4lu
Fotografia (Live),João Bosco,40 Anos Depois (Live),Ttzassawdtgqsmrybk3j6e5cekm
Eu & Você,OSócio,Eu & Você,Tkb72t5nnyhx6tvfkwwicpfb6cy
Que Pena (Ele Já Não Gosta Mais De Mim),Gal Costa,Gal Costa,Tvtry5sxjtqqmaxvjrjghfhlmey
Soulful Strut,George Benson,Jazz Funk Grooves,Tx5fvut7pbm375stfx55kindxe4
Vôo sobre o horizonte,Azymuth,Jazz Funk Grooves,T4zihpr4ugchleywmxuoptknk4e
Si la photo est bonne,Barbara,Barbara,T5g3eds4vsyra7djnhc3mn6x2aq
Un homme et une femme,Baguette Quartette,A La Noce,Tdrcfsxi2nym5nwbg77xs563f3i
Les parapluies de Cherbourg,Baguette Quartette,A La Noce,Tfwuso4wemcg5iqf2dis7mne7na
Assedic,LES ESCROCS,Faites-Vous Des Amis,Tmjpm5b32ilebygjd5hq24faq4u
Entre dos aguas,Paco De Lucia,Sanz: Lo que fui es lo que soy (Banda Sonora Original),Tngmdhczn2evxzf2qpi2zxkm444
Breezin' (2015 GH Version),George Benson,The Ultimate Collection,Tfxss7wqll7q4k77exgvrzjn6ne
What's on Your Mind (2015 GH Version),George Benson,The Ultimate Collection,T2qetv2chv7tikqgteedwxxvstq
Juste quelqu'un de bien,Enzo Enzo,Deux,T2tcmlgnne24yo47jjg7uvsehhe
