Ain't Misbehavin',Benny Goodman,Falling Leaves: Jazz Classics for Autumn,Tphc2pagekldc4j232dwlpnuiqu
All Of Me,Benny Goodman,Ain't Misbehavin',Tohzxbn4r4zmhchtbvr7fk2engy
Begin The Beguine,Benny Goodman,Benny Goodman - The Best Of The King Of Swing,Tyz5k6bycbou2yov5z6abcomsae
Begin the Beguine (Remastered),Benny Goodman,Begin the Beguine (Remastered),T2vggflxiu2fvnty4p2zg7ga5ca
Bei Mir Mist Du Schoen (3) (Digitally Re-Mastered),Benny Goodman,Jazz Goes Jewish (New Edition),Twfoojkez57r3p7gxr5eop3z24i
Bluesette,Benny Goodman Sextet,Swinging on a Star: Great American Standards,Tmzwb74no53eozwnn7yxpzyu5nm
Body And Soul,The Benny Goodman Sextet,Small Groups: 1941-1945,Tjcu5n4aglhlrno7tyvyksqs4tu
Body and Soul,The Benny Goodman Trio,Ken Burns Jazz - Benny Goodman,T6ll2yaoqlaaj2a6jnsnuu54lvm
But Not For Me,Benny Goodman,Slipped Disc,Te77x7ii5hd2kkaed7zlvdoq6xq
Bye Bye Blackbird,Benny Goodman,Moscow Sessions,Tnkmabgc44gw664qukc5olnmzb4
Caravan (Digitally Re-Mastered),Benny Goodman,Pure Big Band Magic (New Edition),Tx5bop3rhtvi5ynihh4fviwgmle
Caravan,Benny Goodman,Steamin' And Beamin',Tobadcdrgojp7pme6hugr67onay
Cheek To Cheek,Benny Goodman & His Orchestra,The King In Person,Tgt7xiyhntj6mfyvx7c6swauymi
Cherokee (06-05-47),Benny Goodman,Complete Jazz Series 1947 Vol. 1,Twmp5xvutr6uoszmj5pyuna4jiy
Cherokee,Benny Goodman,100 Clarinet Classics,Tsfripzvpytxlrggxvcjq4uvmfu
Don't Be That Way / Stompin' at the Savoy / Sunny Side of the Street / In a Mellow Tone / Moonglow / Bei Mir Bist Du Schoen,Benny Goodman Orchestra,Big Bands Live,Tcx7v24txuw54j7hvfbu5vu5yiy
Easy To Love,Benny Goodman & His Orchestra,Jazz And Hot Dance In Thailand,Tp7d7p6i4yovvs5c7gncqg6gamy
Easy to Love (Bonus Track),Benny Goodman,Benny Rides Again! (Bonus Track Version),Tukwuvpyqevzu5fqjjtxkk5kfaa
Fly Me to the Moon,King Of Swing Orchestra,Memories of You (Benny Goodman Gala) [feat. Peter Fleischhauer],Tbhoktk3ujjjuespjorh4rpcl5y
Goodbye,Benny Goodman And His Orchestra,Ken Burns Jazz - Benny Goodman,Tezxtp2lh6vtnd66lilrri464sm
Here's Love in Your Eyes,Benny Goodman,Lovesongs of all the times:I've Got You Under My Skin,Tz3dkarhsoy6sht5jq7aot42qeu
Honeysuckle Rose (Live),Benny Goodman,Live At Carnegie Hall-1938 Complete,Tywklmjv3npdxhqkgsah2ugrp4e
Honeysuckle Rose,Benny Goodman,Benny Goodman's 1934 Bill Dodge All-Star Recordings Complete,Tane77wvwmolophw4a2cyjdsjwe
How High The Moon,Benny Goodman,How High The Moon,Tkuprrzavn4mthhwhxmogqyxb7e
I Got Rhythm,Benny Goodman,Sometimes I Am Happy,Tbcj3g77fnktjw6jfq2taq2vkxe
I Hadn't Anyone Till You/ I've Got You Under My Skin,Benny Goodman & His Orchestra,The Complete Benny in Brussels (Live),Td5xin4onfbbisw7ap56f5k4jsy
I'm Gonna Sit Right Down And Write Myself A Letter (05-28-52),Benny Goodman,Complete Jazz Series 1951 - 1952,Tevtffdvsvgiks2rql6indrlj4a
I'm Gonna Sit Right Down and Write Myself a Letter,Benny Goodman,China Boy,Tbofe7bhz7ujlzxwrgqb2xw3kb4
In A Sentimental Mood,Benny Goodman,Benny Goodman And His Orchestra Selected Hits Vol. 6,Ttyt7ehrddqmrvfwdehfro34zsy
In a Sentimental Mood,Benny Goodman,All the Cats Join In,Tbabfw5dlh6g5pwgri37jzearyq
Limehouse Blues,Benny Goodman,All Time Great Clarinettists,Tf6fomq7aut5vtziw45tnzmkg44
Love for Sale (with Benny Goodman Orchestra),Ella Fitzgerald,Ella and the Big Bands,Tukezijo7pmeq6efs3w2fg527fu
Misty,Duke Ellington and his Orchestra,Duke Ellington & Benny Goodman: Swinging into the Sixties,Teb5blhpmkt6dasiwrk6mvzffc4
Satin Doll,Benny Goodman,Jazz Masters Deluxe Collection,Tyu3mkkne3ssqsbq52f5hkblilq
Shine,Benny Goodman,Moonlight Serenade. The Swinging Big Bands from the 50's.,Ty3euzake3fbvowqioj3d3hhbdq
Somebody Stole My Girl,Benny Goodman,Dinner Party Jazz - 100 Classic Songs for a Sophisticated Ambience,Tibmpg2l7qzp6jdie24w7ehqqsq
Sometimes I'm Happy,Benny Goodman,Heat Wave Spring Jazz,Tvjufhhd2zlsdijzunpsehhal7y
Sophisticated Lady - Mood Indigo,Benny Goodman,Benny Goodman and His Rhythm Makers (1935),T5grpf4vobe2xwfe5nopmayo5oi
Stardust (Rerecorded),Benny Goodman,On the Boulevard: After Work Cocktails,Ttnlqi7tmsiuvey4dy2rkadtz3u
Stardust,Benny Goodman,Stardust,T2cuwkidxpul3mmii2ki2ofcmya
Stompin’ At the Savoy,Benny Goodman,Round Midnight (Original Recordings),Tz3wjewnd6c7ggr277yufsqdi2q
Sugar (That Sugar Baby of Mine) (1996 Remastered - Take 1),Benny Goodman Quartet,Trésors Benny Goodman,Ttuofvgob3o7z4qtymg3fqfxmzy
Sugar (Version 2),Benny Goodman Quartet,Shades of Jazz (Benny Goodman Quartet),Tux4oj2ear7iqtxetdfinf5xhpm
Sugar,Benny Goodman,"""The King of Swing""",Taxu5gfiibmvaihktyx5j76wdmu
Sugarfoot Stomp Take 5,The Benny Goodman Orchestra,Bee Gee Band - Takes,Twjhggwozklc3mkmjz67pg6gafq
Summertime,Billie Holiday,The Early Years (feat. Teddy Wilson Orchestra & Benny Goodman Orchestra),Tzzktwczinquyjyonj44mbavkrm
Take the A Train,Benny Goodman and his all Star Band,The Jazz Collection Vol. 1,T3dufjifooinu2wsyy256h2zlxa
Tea for Two,Benny Goodman Quartet,Shades of Jazz (Benny Goodman Quartet),Tof3sg564m5ay6e7i3kssep2mfa
