Moonlight Serenade,Glenn Miller,Presenting… Glenn Miller,Teoyvwul32spilb4lywwub2r33e
On the Way to San Mateo,Lalo Schifrin,Bullitt,Tvzotebjyjcuxoe7jhfqy4pj3g4
Begin the Beguine,Artie Shaw,30 Greatest Hits,Tnts4jerbyltt2otfmmkapoeio4
'S Wonderful,Artie Shaw,Artie Shaw Thesaurus,Tbme6v7i5z5gqwoilbt4nq7k4ty
You Do Something To Me (Voice),Dick Hyman,Mighty Aphrodite - Original Soundtrack,Tblunbj6o7yzotg5ace5mdroefq
When You're Smiling (The Whole World Smiles With You) (Voice),Dick Hyman,Mighty Aphrodite - Original Soundtrack,T2ny3dfijzbpgviwfqzjqhj4ycm
Skyliner,Les & Larry Elgart,Best Of The Big Bands,Tvxqq5og2ocinb6vbu3csgqlitu
Experiment In Terror,Henry Mancini,Experiment In Terror,Ti22ei7d7h7yvamzaugcgxcsbam
Artistry Jumps,Stan Kenton And His Orchestra,Stan Kenton's Top 20,Tmsfewdny7pxajsq5sp6tdgymya
Experiment in Terror,Kai Winding,"BD Music Presents Film Noir, Vol. 2",T4qx6hdfx23pzqi2gajt5tqowkq
Moonlight Serenade,Glenn Miller,The Essential Glenn Miller,Tm466lbl6w6wjhqgj7ehds5nbv4
