Theme From Shaft,Isaac Hayes,Greatest Hit Singles,Tpb5lk3sgt7lkipdzqdlvrzjv6u
Across 110th Street,Bobby Womack,The Best Of Bobby Womack: The Soul Years,Tcrbjszokuy43cerebxjhjui7cu
What's Going On,Marvin Gaye,What's Going On (40th Anniversary),Tn3js66ju2stp62qjbzffpxzwxy
Let's Stay Together,Al Green,Let's Stay Together,Tqoqj75a6pg6cfp7bmtwiostl2q
(Sittin' On) The Dock Of The Bay,Otis Redding,Dock Of The Bay,T34zf6e7rumz5egh6shv52txteu
I Say a Little Prayer,Aretha Franklin,Aretha Now,Txquvvrxoph56akg5hzjgz6f6mu
Let The Music Play,Barry White,Let The Music Play,Tor3ilqrxdikxl6c26xe3uqqqx4
Be Thankful for What You Got (Pt. 1 & Pt. 2),William DeVaughn,Be Thankful for What You Got,Tg2yju2f7fadm7fef43wmftekm4
If You Want Me to Stay,Sly & The Family Stone,Fresh,Tjdnsjda5p2ahhbdgownqocxrke
Mercy Mercy Me (The Ecology),Marvin Gaye,What's Going On,T4chdqrk774twpils422ea26l5e
See You When I Git There,Lou Rawls,The Essential Lou Rawls,Tvcc4v44lbmka2ljdcarcqvwc2i
My Girl,The Temptations,The Temptations Sing Smokey,Tcncnvqfropqfaksjlgbi647jry
My Cherie Amour,Stevie Wonder,My Cherie Amour,Tsy6zp7dfikcezhyiblvwvl646q
I Want You (Single Version),Marvin Gaye,I Want You (Deluxe Edition),Tb3suhmrqxcw4r47eq5vyiigu7u
Papa Don't Take No Mess (Pt. 1),James Brown,Greatest Breakbeats (2CD),Tugsrpjyi6s2bopqloxcvpattoa
Respect,Aretha Franklin,I Never Loved A Man The Way I Love You,Tcmk4ldiq4gqyjemt6cr2csidja
Let's Get It On,Marvin Gaye,Let's Get It On,T7mwqne7oltlxzzmah2x4r5vlmi
You'll Never Find Another Love Like Mine,Lou Rawls,All Things In Time,T4q3l6rawvlwcxxtqbu2zu3w5vq
Think,Aretha Franklin,Aretha Franklin,Tp23x7p5sf2bcrjqbwrn5z7mbaa
Lowdown (Edit),Boz Scaggs,Silk Degrees,T2xsiutuhm5jpegkqlojexkhcoe
You Are The Sunshine Of My Life,Stevie Wonder,Talking Book,Tvmloc4cn3jxqtl4oia5wto2omq
Daylight,Bobby Womack,The Best Of Bobby Womack: The Soul Years,Tua2nxloiubzzikc6zeqom7zcl4
I'll Be Around (Remastered Version),The Spinners,Essentials,Trtfbq6fdpweesdaets77wcbine
Tell Me 'Bout It,Joss Stone,Introducing Joss Stone,Taxmbd4jfgksqugq7tb2e6lfqti
Family Affair (Single Version),Sly & The Family Stone,The Essential Sly & The Family Stone,Tfalwel2fr7xtgnvsdgdhkamlf4
"Happy (From ""Despicable Me 2"")",Pharrell Williams,G I R L,Tj7ujtq7hqfqvo4fwuppfj7wt5y
Crazy,Gnarls Barkley,"Crazy (12"")",T532nijsu44zxznevyqbrhpus7y
Part-Time Lover (Single Version),Stevie Wonder,Number Ones,Tfqkxmdqb2ug2ty5ny7duwvevba
I Can't Wait Until I See My Baby's Face (Remastered),Aretha Franklin,Runnin' Out Of Fools,Tdcqkudkl75put4j7kpg42boioe
All About That Bass,Meghan Trainor,All About That Bass,T3s4wi7m3eakrpzc2cakbojnea4
Cry to Me,Solomon Burke,The Very Best Of Solomon Burke,Txapjnks7xzkzdvs235eywn4tim
Take Care Of Business,Nina Simone,I Put A Spell On You,Tckw6pl6lmfmaxf6wtasbgpwvw4
Across 110th Street (Cover(Bobby Womack)),THE COMMOTION,Across 110th Street (Cover Bobby Womack),T2tw5lwf5ssvyfxs6zkzkxy7lgq
Just The Way You Are (Single Version),Barry White,The Ultimate Collection,T7gsenfwea3b5ku4nyoud4vuhgi
I Heard it Through the Grapevine,Marvin Gaye,I Heard it Through the Grapevine,T3jxm7czckeozsob44gtxkk6x2e
Really Love,D'Angelo and The Vanguard,Black Messiah,Tqzhnbw5gtcngp2yybpdywvs6l4
Something's Got A Hold On Me (Single Version),Etta James,Her Best - The Chess 50th Anniversary Collection,Tq2gbwblwktuotkpy5p7pmvsagq
This Christmas,Donny Hathaway,Donny Hathaway,Twhjjbeikul5npl4tge3d5yr6kq
Strictly Reserved for You (feat. Menahan Street Band),Charles Bradley,Victim of Love,T35vrvrvjkme24u6i2n5wyaku6u
Mustang Sally,Wilson Pickett,The Wicked Pickett,Tbpbkqo353r6yctwjgjm2sykqiq
It's A Shame (Remastered Version),Spinners,Definitive Soul: Spinners,Tqeewnslpw22tno7nv5g7lepboy
Give the Little Man a Great Big Hand,William DeVaughn,Be Thankful for What You Got,T4jc3vgfoer2e7e4rg47ngnsohi
Your Song,Billy Paul,360 Degrees Of Billy Paul,T7ebkmyiowoyk7r6i62oarmk65e
Rock with You (Single Version),Michael Jackson,Off the Wall,Tdb6wyj4p44umpuxuddjy63qetu
Me and Mrs. Jones,Billy Paul,Between The Sheets - Volume 1,T4y7tr2rstogms42wexti5p2t2a
Let's Make a Baby,Billy Paul,When Love Is New,Tvqgynwtpq6d5w2aoqfxficqlpm
