Luna E Sera,Ed Motta,"Manual Prático Para Festas, Bailes E Afins",Tainrtnzratoqhicktnhav4mq2y
Olhos Coloridos,Sandra De Sá,Entre Nós,Tl57pjz4clxnajfsvckchszxpli
"Na Rua, Na Chuva, Na Fazenda (Casinha De Sapê)",Hyldon,"Na Rua, Na Chuva, Na Fazenda",Tspdhmvlf6ix5afgy4szzoezzgm
Azul da cor do mar,Tim Maia,iCollection,Tn5zl2clli4r5mzj4l2oetumyea
Gostava Tanto de Você,Tim Maia,Best of Brazil,T66oostxqccignvhdectuxfk2si
Fora Da Lei,Ed Motta,"Manual Prático Para Festas, Bailes E Afins",Tfnzzcmgegbyoxxuajmp5rosy4m
Baixo Rio,Ed Motta,Rio Soul,Tsey4n2pebjer4wgnc7bjckpkhm
Você Pra Mim,Fernanda Abreu,Raio X,T2hc56n2mreeug2q32bw7tcgitm
Final Feliz,Jorge Vercillo,Final Feliz,Teqzq4r7iy42k323q2qqvfseoqq
Fim de Tarde,Claudia Telles,"Divas Populares, Vol. 1",Tp5e2k4obd2h63odsoezlyoflku
Zero,Liniker,Cru,T62uxwpxb6etw4hrtsooi6oqy5i
Primavera (Vai Chuva),Cassiano,Imagem e Som,T7hpq6gvyt5l5csuuks4wgzkwji
A Lua e Eu,Cassiano,Soul do Brasil,T7kli7v3eiwuu4zewv4cjqdz6mm
Eu Amo Você,Cassiano,Cedo Ou Tarde,Thmzmy3iucgv5nd2yy2xq3gudyi
Rio Best-Seller,Cassiano,Cedo Ou Tarde,T4ttxjwrouwssu7srh3tfgyowny
"Cada Um, Cada Um",Cláudio Zoli,Cláudio Zoli,T2id7our6zvi2n4cbxl2e3bsjtm
Colombina,Ed Motta,As Segundas Intenções Do Manual,Tkyoku6axbxzr5ovwy5fkdwayoi
Uma Vida,Dom Salvador & Abolição,"Som, Sangue e Raça",Tuplyjxdzqyuvihfeypew2zf7su
