Harvest Moon,Jane Birkin,Fictions,T2bhbufu2jpb5rwe2k6qcyooova
Summertime (Live),Janis Joplin,Pearl,Ta4i4d4nz6qsh5pweekczggbi3m
Rock with You (Single Version),Michael Jackson,Off the Wall,Tdb6wyj4p44umpuxuddjy63qetu
Head On,The Jesus And Mary Chain,Automatic (Expanded Version),Tjzuylzyfbg7ks2t5zedu3m5ey4
April Skies,The Jesus And Mary Chain,Darklands,T2tatsvflv4l6euekdqxn6pmu3m
Wait Until Tomorrow (BBC Sessions),The Jimi Hendrix Experience,BBC Sessions,Tf7ii5bqg2oqzozbu5tytln2psu
I Realized,Jiva,The Soul of Atlanta,Tpfgzvpgkqiyeq4snlqjlijbxby
(Do I Ever) Cross Your Mind,Walter Beasley,Go With the Flow,Tvoeksvb6es56leacvourrymjve
O Mestre Sala dos Mares,João Bosco,Samba de Primeira,Tqebz45dqv3evlijrsucqokvgjm
Aguas de Marco,Stan Getz,Only Jazz Music,Ty6kjj55e7elv4yd7z725hnh56q
How High The Moon,Joe Pass,Virtuoso (OJC Remaster),Tijkp6b6ym3ptotlzwy6kwhpif4
East St. Louis Toodle-oo/Don’t Get Around Much Anymore,John Pizzarelli,Rockin' In Rhythm: A Tribute To Duke Ellington,T4weu6edktitnpmewtil6sc6tbq
Chasin' The Blues (feat. Tony Tedesco & Martin Pizzarelli),Rick Haydon & John Pizzarelli,Just Friends,T2fjuizogk3ukdrajyxvhr7bfyi
"The Long Black Veil (Live at Folsom State Prison, Folsom, CA (1st Show) - January 1968)",Johnny Cash,At Folsom Prison (Live),Tfdhfhno7asahwtnjsc6vwpyim4
One,Johnny Cash,Unearthed,T25ylqfx3dx4zguxowuhb3q6cqa
Ac-cent-tchu-ate The Positive,Johnny Mercer,Personality,Tchgztirgakmmu3mvafutwasmnu
Jumpin' Jack Flash (Live),Johnny Winter,The Essential Johnny Winter,T36tuh6ffhy3crt4a25b6omptxe
Memory Pain,Johnny Winter,Second Winter,Tj6l2s7ibznz7qi6m7ldodkatzm
Zumbi,Jorge Ben Jor,A Tabua De Esmeralda,Ttpvrgtahiqjp4ayxcmppo2rsym
Atmosphere,Joy Division,Paradiso (Hd Remastered Edition),Tzaggoclnl6hzfsasjkxkna2qka
Day Of The Lords,Joy Division,Paradiso (Hd Remastered Edition),T2fsqdysbdripgsn3fvv2yai2ae
Dead Souls,Joy Division,They Keep Calling Me (HD Remastered),Tahnagiitip2dxypwgvs47hnuhe
Shadowplay,Joy Division,Paradiso (Hd Remastered Edition),Tz2mkzw6no2rtotudpgtxmcm6iq
Last Nite,Jumbonics,Last Night / Red One,T2vwpaxoyi5oijdpzicawyokjzi
