Mary Had a Little Lamb,Stevie Ray Vaughan,The Essential Stevie Ray Vaughan And Double Trouble,Tung7qhjiyuppdekpkzjdofj2ci
Nothin' But A Woman,Robert Cray,Strong Persuader,Tmh4eh3xa3rt2pcfp6hkru5gl6m
Shoutin' The Blues,B.B. King,Spotlight On Lucille,Tu6hlspc6lpqcmgwzswzpbsew2a
The Thrill Is Gone,B.B. King,Completely Well,T5wgcwrkeatsggt242wvxh5c5ay
Come On (Let the Good Times Roll),The Jimi Hendrix Experience,Electric Ladyland,T7ndz7w4cwq44s2oq3vy2c6df3q
Be Careful With a Fool,Johnny Winter,Johnny Winter,Temzqtzg4l546ezvj3emwfhmx7e
It's My Own Fault (Live),Johnny Winter,Johnny Winter And / Live,Txofym3n75fmg3pxaw65tko6ora
It's My Own Fault (2004 Digital Remaster),Johnny Winter,Progressive Blues Experiment,T4c5yuf37eo4luuuthjpv5x2rgi
Good Morning Little School Girl,Johnny Winter,Johnny Winter,T2yjpug5tqz6n5mk2h4c2fxqjsy
Good Morning Little School Girl (Live),Johnny Winter,Johnny Winter And / Live,Tfd2b6js4ulnv67g4gsrc2yhm2q
Country Girl,Johnny Winter,Johnny Winter,T45eioj75fgaiienx6rt7l3iwbi
Jukebox Shuffle,Lowell Fulsom,Rockin' At Midnight At The Parrot Club (Digitally Remastered),Th7blekvysuvzfwo6xs33xszst4
Stop,Michael Bloomfield,Super Session,Tgvqh6p5bdezqjxzspczrnpkonm
Wade in the Water,Dr. John,Dr. John Plays Mac Rebennack: The Legendary Sessions Volume One,T3haiozlly3nbukg5l6fnkz7e7e
Cha Cha The Blues,Charlie Musselwhite,Stand Back! Here Comes Charley Musselwhite's Southside Band,Tm6m5xwzkk4oyn54osf5kwvyeau
Before You Accuse Me,Eric Clapton,Chronicles: The Best Of Eric Clapton,Tp4y2d2zelzmjblexshgfppwgke
Before You Accuse Me,Creedence Clearwater Revival,The Complete Collection (The 40th Anniversary Edition Reissues),T7tiw3y5u3jmf4of7w5wfra3b24
Roadhouse Blues,The Doors,Morrison Hotel,Tcuml445rijxviv3szb6pdmug3u
Suzie Q,Creedence Clearwater Revival,Creedence Clearwater Revival (40th Anniversary Edition),Tsbtli3s3kwhizmowwl2ppdqr6i
Red House,Jimi Hendrix,Blues,Tntngau24h6pyzp22rbw6yf4igi
