Minhas Coisas,Bia & Nino,Minhas Coisas,Tmjwqvzktbsx4vu5if2uiztxxla
Um Dia de Sol,Bia & Nino,Bia & Nino - Para Cantar e Brincar,Tswpgry4h7x4ubkucnwclndnzxm
Ciranda,Palavra Cantada,Canções de Brincar,Tdfgc7hrr6idkh7ibnbfetrz3nm
Menina Moleca,Palavra Cantada,Canciones Curiosas,Tfcbojj7l7ymttnccnfhwfkrzh4
Que Som?,Barbatuques,Tum Pá,T72rtgtlgd77nbn6juqbdl7uv2i
Nos Dias Quentes de Verão,Hélio Ziskind & A Turma do Cocoricó,Show no Paiol,Tkrf5yjvdllip3eqy2ff2ybsjfy
O Leão,Caetano Veloso,A Arca de Noé,T5dbr4m4bfezhowuips3mrpohl4
ABC,Jackson 5,Motown The Musical – 100 Originals,Tgojnuduxqkbkhqnkd6eo2h225u
Vitamina Tutti Frutti,Hélio Ziskind,O Elefante e a Joaninha,Tr3efbfpkfpvtkxh3xjwwfd2eoa
O Gigante,Tiquequê,Era uma Vez um Gigante,T5qknseeryszwn7bnden5p2jsoy
Vem Dançar Com a Gente,Palavra Cantada,Vem Dançar Com a Gente,Tpcyullwu7fxvtnhafobvmrxdpy
Vamos Passear,Mundo Bita,Bita e o Nosso Dia,T2grmbscxoxm5vsob4stdyix7be
Confiança,Doki,Doki e Seus Amigos,Tzdlkykilqwgsvigvbkytodpx7y
Trava Língua,Tiquequê,Era uma Vez um Gigante,Tfklicw5ymc6xb436km5jyqdxee
Piruetas,Os Trapalhões,Chico E Vinícius Para Crianças,Tiouuawnb6ojjwswnxk66mb4zfu
Bicharia,Os Saltimbancos,Os Saltimbancos,T2yekd5oha77giudyrxillkthdy
Samba Lelê,Barbatuques,Tum Pá,T2tznrbpaf6hikomp5mrpdqmscm
Superfantástico,Fofão,#Fofão Forever,T5i2rxitzn6hv4msrlrzpxl63ny
A Bandinha,Emcantar,Parangolé - Canções e Brincadeiras,Tcqc5o3xcprb7ppp4tuwpwcocvi
Sítio do Picapau Amarelo,Gilberto Gil,Sítio do Picapau Amarelo,Tuqnq6ngwo5jxcnsrpc5n2zv4wm
Uni-Duni-Tê,Trem Da Alegria,Trem Da Alegria,T5bjjd6ta5tahk3vizz3csdoo2i
Pé de Feijão,Hélio Ziskind,O Elefante e a Joaninha,Tqvkoc6h4u4stlv7ybizzb24bwa
De Gotinha em Gotinha,Palavra Cantada,Vem Dançar Com a Gente,T7xtllpjhfpdb4commmaprtrx5a
Uni Duni Te,Bia & Nino,"Bia & Nino - Cantigas e Rimas, Vol. 1",Tzvjxet5stqga24xz7xbmhblm2y
A Foca,Alceu Valença,A Arca De Noé,Te6l5tpsv3qudyacy4shzrjupx4
A Professora,Vitor & Vitória,Vitor & Vitória,Twmrsgb4azogtn2dfkh2f6towle
Mexe Mexe,Crianças,Carrossel,Tftlklltjksndx3sxuuiy7fkjhq
Escravos De Jó,Barbatuques,Tum Pá,Tu45ck4clipdwnsv5b44vnd4v2m
Vem Dançar,Pequeno Cidadão,Vem Dançar,Tklcitrot4s35otsysujrcnw7cu
Batatinha Bem Quentinha,Xuxa,Xuxa Só para Baixinhos,Twap453ptd2psop35x7yjialbmq
Aquarela,Toquinho,Aquarela,Tnhmmlzn47xs7c5pvx2avotutny
!,Pato Fu,Toda Cura Para Todo Mal,Ttauq4ik3n5fyfxnar4qbcbm67i
Brincadeira de Criança,Junior Vianna remixed by Ls Records,#Perfil,Th5rvlfvwsr4xy3r6upqyh6dqle
"Cabeça, Ombro, Joelho e Pé",Bob Zoom,"Bob Zoom, Vol. 2: Português",Tmcqpnspwzf3vgybryq4tqfykyq
Boneca de Lata,Emcantar,Parangolé - Canções e Brincadeiras,Txsgxgngaf4eteojjzhbhsurlhm
A Roda,Emcantar,Álbum Escutatória,Thl4g4k4ka3yh5heppsofvdeak4
É Bom Viajar,Ivete Sangalo,A Casa Amarela,T6ddpem5ge2qxmzauzfq5j5mcua
Animal Crackers,Wee Hairy Beasties,Animal Crackers,Tdpbcnfydxedcmel3qkzsr4ewty
Ratinho Tomando Banho,Hélio Ziskind,Meu Pé Meu Querido Pé,Tpvpbx7dbb4egstsaw36mv7u4m4
Fui ao Mercado,Hélio Ziskind,Cantigas de Roda,T6tlv4kqtk53eem6atfkstvrmde
De Noitinha,Pequeno Cidadão,"Chiquititas, Vol. 2",T7l3ueilkrib6mdga3sf2ep7jge
História de Uma Gata,Os Saltimbancos,Os Saltimbancos,Tekmvcmaduk2ic3dko723bjweie
"Futezinho na Escola (feat. Taciana Barros, Antonio Pinto, Edgard Scandurra & Arnaldo Antunes)",Pequeno Cidadão,Pequeno Cidadão,T3idelciksxotyvrip42impdqe4
Quer Brincar Na Neve?,Hannah Zeitoune,Frozen: Uma Aventura Congelante (Trilha Sonora Original),Tbh7hk7agk46phaq2mgt6fxeimy
A Casa,Vinícius de Moraes,"Vinícius Canta: ""Nossa Filha Gabriela""",Tbqs3xg3ypvj47k6nqarmco5duy
