Peguei Um Ita No Norte,Quinho,Novo Millennium - Sambas De Enredo II,Tcoko6tonvk6gjgf5rewq6xhxda
Atrás Da Verde E Rosa Só Não Vai Quem Já Morreu (Edit),G.R.E.S.E.P. Estação Primeira De Mangueira,Os Sambas Da Estação Primeira De Mangueira,Tvwh72vt6blcgh4jlkcophaohrm
Coisa Boa É para Sempre - Carnaval de 1995,Samba Enredo,Gaviões da Fiel 2005,Tw4gjm2qaypqj7s7lhh5dksnjjy
Sonhar Não Custa Nada (Ao Vivo),Dudu Nobre,Os Mais Lindos Sambas Enredo de Todos os Tempos,Tlt5adr5d3vlbgxr4l6oldc2qgi
Beleza Rara,Banda Eva,Beleza Rara,Tynglnheu4xov3aba2dhxlryusy
Me Abraça,Banda Eva,Hora H,Ti56i564egkgnwfj4qx6komjxwq
Prefixo De Verao (Ao Vivo),Bamdamel,Bamdamel Ao Vivo,Tzgk7pxyyotqnazgksiaeg4hxee
Baianidade Nagô (Ao Vivo),Bamdamel,Bamdamel Ao Vivo II,T2jjaa4t4ohssy2g7egyejx37hm
O Que É o Que É,Gonzaguinha,Bis - Gonzaguinha (Dois CDs),T4ahc4egyhepq56esgvjn3cz6li
O Amanhã,Simone,Delirios Delicias,Tt7srbnfgu3eyby7mrdsmr77kbq
Alguém Me Avisou,Gilberto Gil,Duetos,T7wizbu5dm3buar5khlfa4fd6ym
É Hoje,G.R.E.S. Uniao da Ilha do Governador,Samba Enredo du carnaval de Rio,Taldt7kzeqn6qrzazuithhlrxaa
Os Alquimistas Estão Chegando Os Alquimistas,Jorge Ben,A Tabua De Esmeralda,T5j3nvzpxnd7dvhckah44rjeryy
E Lá Se Vão Meus Anéis,Os Originais Do Samba,O Samba é a Corda... Os Originais a Caçamba,Thd4obl3qpdmt5kfjex6mzgbry4
Ive Brussell (feat. Caetano Veloso),Jorge Ben Jor,Salve Simpatia,Tx6mcj66cpelgpd2epuyjrax47y
Aquarela Brasileira (Ao Vivo),Dudu Nobre,Os Mais Lindos Sambas Enredo de Todos os Tempos,Ty6kadovu7sf3enlbfe7nf5lrim
Tragédia No Fundo Do Mar (O Assassinato Do Camarão),Os Originais Do Samba,É De Lei,T7g237jv3qpzf4umekvqlpmegy4
Na Cadência Do Samba,Novos Baianos,Vamos Pro Mundo,T3gx3qetog67yxer4qel62ziq7u
Do Lado Direito da Rua Direita,Os Originais Do Samba,O Samba é a Corda... Os Originais a Caçamba,T6madyohdhny7c6gnjrr5ezbgoe
Brasil Pandeiro,Novos Baianos,Acabou Chorare,Tof4q5doqcb3acs4z26enlp32be
O Samba da Minha Terra (Ao Vivo),Novos Baianos,Acabou Chorare - Novos Baianos Se Encontram (Ao Vivo),T5iz6anrte3hbg3qn33ees6ak3y
Com qualquer dois mil réis,Novos Baianos,Enciclopédia Musical Brasileira,Tw3pbqs2lt2ocfvuxx2wfao4k4m
Ara Ketu Bom Demais,Ara Ketu,Bom Demais,Tdcc4ccopsl3pvgbfmqegvv336i
"Vai Sacudir, Vai Abalar",Cheiro De Amor,Welcome To Salvador - The Street Carnival Soundtrack,Tdrzy4lx4cbkknfoov5enj2bv6u
Máscara Negra,Zé Kéti,20 Super Sucessos: Grandes Carnavais,T5zlrxroonoaqwxnsrcptgsky2a
Cabeleira Do Zezé,Banda Gol,Baile de Carnaval: As Melhores Marchinhas de Todos os Tempos,Tkezw5izksofqzoidhb6sgfidpy
Me Dá Um Dinheiro Aí,Banda Gol,Baile de Carnaval: As Melhores Marchinhas de Todos os Tempos,T2dapp5fg3zqshytfuia3jpgkeu
Turma Do Funil,Banda Gol,Baile de Carnaval: As Melhores Marchinhas de Todos os Tempos,Thv43hvuv5bgalzqbybokwlnxka
Ta-hi (Pra Você Gostar De Mim),Banda Gol,Baile de Carnaval: As Melhores Marchinhas de Todos os Tempos,Tjrf5vzvo2ntuc6nm4v22gq34xy
Allaah-La-Ô,Banda Gol,Baile de Carnaval: As Melhores Marchinhas de Todos os Tempos,T2b74edh3d6x4c2qyu73ruw2pxa
Saca-Rolha,Banda Gol,Baile de Carnaval: As Melhores Marchinhas de Todos os Tempos,Tejod4euanim3ve4ouw5utqvvaq
Trio Mocotó - Não Sei Por Que.mp3,,,e0c0e1ca-2583-3831-965b-732a28ff70d3
Trio Mocotó - Voltei Amor.mp3,,,5c763058-f06d-3d7c-ae05-a6a1e74e8167
O Show Tem Que Continuar,Grupo Fundo de Quintal,O Show Tem Que Continuar,Tpty376xctcwqte5ahymbcsax4u
