Feijoada Completa,Chico Buarque,Chico Buarque,T33lawd77eyod2o4kmhkkwxgcha
Acorda Amor,Chico Buarque,Sinal Fechado,Tl5aw4ww6qbsqkxj64hph4trbha
O Meu Guri,Chico Buarque,Almanaque,Tmarwyfavgtnv5dmveraklrv3ma
Cotidiano,Chico Buarque,Construção,Tht2buz7oa2ru3i7uowwhbzb5ce
Desalento,Chico Buarque,Construção,Tgepd3wmtrgzlnkrlvp3i5opubi
Sem Compromisso / Deixe a Menina,Chico Buarque,Carioca ao Vivo (Ao Vivo),Ttg4isyy77p72zwro2bzpuicoem
Almanaque,Chico Buarque,Almanaque,Tt6qnm7eitqxoslfxgkz22nt4bi
A Banda,Chico Buarque,Chico Buarque de Hollanda,Txgoqq7kvywjqq4rqgzaalntnyu
A Rita,Chico Buarque de Hollanda,Os Primeiros Clássicos,Tluf5tkw5kh7jf2t4l3vbszs2eq
Pedro Pedreiro,Chico Buarque de Hollanda,Os Primeiros Clássicos,Tatar4whmsmfqwevc35zxifonmu
Juca,Chico Buarque,Chico buarque,Toxx72lk6rdz3p6s2fqmretqtom
Deus Lhe Pague,Chico Buarque,Construção,Ttfbyhzfrrgexoingx3jvb3sube
Construção,Chico Buarque,Construção,Tnvlz6vfgk7ztyec4h5hclw5cfa
Cordão,Chico Buarque,Construção,T5umfk2aby7bgsjdywa3rxg637e
Olha Maria,Chico Buarque,Construção,Tiiiaivuo3nvkifmubji5tywpgq
Valsinha,Chico Buarque,Construção,Tpi2fcgsnntvkt2vk2sg3bd3swe
Minha História (Gesubambino),Chico Buarque,Construção,T2dk6vzmtv5wo6ygkwnewbvxhia
Acalanto,Chico Buarque,Construção,Tae4jnh7jdgsoe4qaas7boovr4i
Trocando Em Miúdos,Chico Buarque,Chico Buarque,T6z4ciongq6h33tdu3lr46aj35e
"Quem Te Viu, Quem Te Vê",Chico Buarque,Chico Buarque de Hollanda Vol. 2,Th35bj7i452uvoicadmo4epw2gm
Ela Desatinou,Chico Buarque de Hollanda,Os Primeiros Clássicos,T344kqrpgmzrz6hzlngteg6hyyu
Gente Humilde,Chico Buarque,A Arte De Chico Buarque,T2vjjex6yiaektbwop4kkqv4wjm
"Com Açúcar, Com Afeto (feat. Chico Buarque)",Rosa Passos,O Melhor de Rosa Passos,Tzhzrcmcrypnnzonrqaevf4dvhu
Vai Trabalhar Vagabundo (feat. Chico Buarque),Hamilton de Holanda,Samba de Chico,T24nqj5sqtsm2xzfh3hnce4w32y
Morena de Angola,Chico Buarque,Carioca ao Vivo (Ao Vivo),T7qqfcphqp2opvtoyskb5enmom4
Meu Caro Amigo,Chico Buarque,Meus Caros Amigos,Temzmtkno5rdceav4mcqkbb2xgq
Pelas Tabelas,Chico Buarque,Chico Buarque,Tnujjypl2fqiqmiir24qpk7cjxu
Apesar De Você,Chico Buarque,Chico Buarque,Tbdmunhxnsqy4jsj43xi4cre3k4
O Que Será (A Flor Da Terra),Chico Buarque,Meus Caros Amigos,Tecihadgknh2r7lirxdcoq7awha
Mulheres De Atenas,Chico Buarque,Meus Caros Amigos,Tjwby7knyqsmr5rigrvjcgsgnqq
Vai Passar,Chico Buarque,Chico Buarque,Th3snpkiwsqlncb6i7ncqfijsrm
Samba E Amor,Chico Buarque,Chico 50 Anos - O Malandro,Tmdhj43santof3bmsgzos6q5fgi
Samba De Orly,Chico Buarque,Construção,Tghr4evq3xqbve6i4lz5gb4uioa
Bye Bye Brasil,Chico Buarque,Vida,T72rt5yatp766rjwt53qf26564q
Essa Moça Tá Diferente,Chico Buarque,Chico Buarque De Hollanda Nº4,Tx4xbzhekglfqm2h53x3sbsyhcq
