"A Child Is Born (feat. Benny Golson, Bob Brookmeyer, Frank Wess, James Moody, Jimmy Owens & Richard Davis)",Hank Jones,One More - The Music of Thad Jones,Tawnsyaza2qg4vvehleaolt2zza
A Child Is Born (feat. Gary Walters),Shawn Goodman,Not Benny's Goodman (feat. Gary Walters),Ti4q7p6y47j3yxm5kzni7aczf3u
A Child Is Born,B. Evans,A Child Is Born,Tvchahjivhhqqexvsq7gomae6le
God Bless The Child,Steve Miller,Born 2 B Blue,Tejsxwy76kp42len22f5ghspfye
My Melancholy Baby,Charlie Parker,The Birth Of Modern Jazz,Ttegqe7euu57pasldubtnuuajbi
Sonny Boy,Chet Baker,"Jazz Journeys Presents the Birth of Bebop, Vol. 5 (100 Essential Tracks)",Tkmd7qvvj6ogncih2vbg4ypg27a
I Left My Baby,Count Basie & His Orchestra,"Birth of American Jazz, Vol. 6",Tknqirek6lnre2v6wzvmtziv5nu
Is You or Is You Ain't My Baby,Erroll Garner,"Jazz Journeys Presents the Birth of Bebop, Vol. 2 (100 Essential Tracks)",Tzfxm6ezt2g4zrlbjbvvjivn7iu
Nauture Boy,Frank Sinatra,A Star Is Born,Tusmizveefg6puxkmo2dyfnwesy
Unto Us a Child Is Born,James Hall,A James Hall Christmas,Tj2qun27izm3ztakjcxtu6jebza
Everybody Loves My Baby (Alternate Band) (feat. Clarence Williams' Blue Five),Louis Armstrong,Young Satchmo: Birth of a Jazz Genius,Tmss2kkrcvbvecthe4eqbjv2nyq
13. Kid N Play ft Flash E Williams (Prod By Young Hood),Young Hood,Miles Davis: Birth Of The Cool,Tdfosq6gkpopq4dzv6vxcg55ukm
A Child Is Born,Oscar Peterson,Christmas Jazz Collection,Tegqjx2sv6dsadnorg25uug3jkq
A Child's Blues,Phil Woods,the Birth of the Erm,Tqxiwjof23clgc2sa62mvxv7poq
"Round Midnight (feat. Almuth Schulz, Juliane Gilbert)",Pianocello,"Child Is Born (feat. Almuth Schulz, Juliane Gilbert)",T6q72fwnkl4kjehdr2folxenmxe
Union Pacific Big Boy,Wynton Marsalis,Big Train,T6batqbfoi6eapkema55p3tiz7q
