Vibracoes,Jacob Do Bandolim,Original Classic Recordings Vol. I,Tdodinqpmx6adxzzj6bapt4mfse
A Escola e a Bola,Hamilton de Holanda,Hamilton de Holanda e o Baile do Almeidinha,Tzouoxcmso74eddamefpbfdogeu
Chorinho Pra Ele,Hermeto Pascoal,70s Jazz Hits,T6nkal34fezj7q76qmu4y55tthe
Chorinho Pra Ele,"André Marques, John Patitucci & Brian Blade",Viva Hermeto,Tnjsvtzwsx4qiucvi5ejsu37h5a
Chorinho pra ele,Paulo Moura,Mistura e Manda,Tnlkbuhfjuatzit4u4ududzwfgy
Chorinho prá ele,Henrique Cazes & Família Violão,Desde que o Choro é Choro...,Tf6ewsvw65w2vkgww3n2fpgs5hy
Chorinho Pra Ele,Hamilton de Holanda,Samba Do Avião,Twav6kkldynosni773a6v5vzove
Chorinho Pra Ele,Diego Figueiredo,Segundas Intenções,Twek4smhzi6g4smhyl7rhl3awnq
Chorinho Pra Eles,Hamilton de Holanda,Gismontipascoal,Trorjtrdmksin3yiczmpqikdwim
Chorinho pra Ele,Quarteto Aeromosca,Aeromosca,Tkve2wiodfltegx2igcikyytahi
Chorinho Pra Ele,Alexis Cardenas,Geologico,T3hhenh2q3ubkluj5gsdajkhnce
Chorinho pra ele,Richard Galliano & Michel Portal,Blow Up,T6toijindmol7sjxjdhs76ren4y
Chorinho pra ele (Live),Richard Galliano & Michel Portal,Concerts (Live),T2s63xwrdsy3fehni4udwdon7qm
Chorinho Pra Ele,"Aquarela, Oboman",Choros do Brazil,Tu542vhqgunrwbfxyi4kvq6sd4a
Chorinho pra Ele,François Merville,O Mago Hermeto,Tcxr2mbqmvimujqtunibd4xiizq
Chorinho Pra Ele,Baptiste Trotignon,Chimichurri,Tvt242c3nzidijaunv7kwme2obq
Chorinho Pra Ele,Richard Galliano,"The Accordion: World's Greatest Virtuosos, Vol. 2",Txkak64jco6soaezr66xuxtofti
Doce de Coco,Yamandu Costa,Lado B,Tdscwvojht34zodft5t3fywnd5e
