Noites Cariocas,Jacob Do Bandolim,The Best Of,Tw735qkjas6wsa3jk7bud3vvzru
Vibracoes,Jacob Do Bandolim,Original Classic Recordings Vol. I,Tdodinqpmx6adxzzj6bapt4mfse
Brasileirinho,Waldir Azevedo,Talento,Tyhokiqxlfgmjx42fhjqd5tbfam
Receita De Samba,Jacob Do Bandolim,Original Classic Recordings Vol. I,Tdh3b4pwj4lbjjaapvvhfkbmw24
Espinha de Bacalhau,Paulo Moura,Carimbó do Moura,Tzty54iyoqgwdo3e3vvywqxmuca
Doce De Côco,Jacob Do Bandolim,In Memoriam,Thiug67ukiljveaeliilv6djope
Pedacinho Do Céu,Waldir Azevedo,Talento,T7byo2jafw3reggbhgvopva24gm
Chorinho pra ele,Paulo Moura,Mistura e Manda,Tnlkbuhfjuatzit4u4ududzwfgy
Falsa Bahiana,Geraldo Pereira,Bossa Nova,Tbs45gcni5ejpxjxqixhlkx5mom
Lamentos,Jacob Do Bandolim,The Very Best Of,Ts4aqp6lw23brh44rdjowvvpx3q
Nunca,Paulo Moura,Mistura e Manda,T7trskzd7yeuqlqth3hxn4nwyam
Delicado,Waldir Azevedo,Talento,Thbsmdnwdtyy5pbm6eskqzhozt4
Chorinho Pra Ele,Hermeto Pascoal,70s Jazz Hits,T6nkal34fezj7q76qmu4y55tthe
Pedacinhos do céu,Waldir Azevedo e Seu Conjunto,Warner 25 Anos,Twjbh7o4qfbjmrhw423jzwfjjzy
Chorinho Pra Ele,Hamilton de Holanda,Samba Do Avião,Twav6kkldynosni773a6v5vzove
Tributo a K-Ximbinho (feat. Isaias Bueno de Almeida),Madeira de Vento,Chovendo Canivetes,T4th5cbsvupxsr5rmzzz3kkajxu
Alvorada (Alvorada No Morro) (feat. Maria Bethânia),Hermínio Bello de Carvalho,"Isso É Que É Viver, Hermínio, 80 Anos",Tht63unz4td2kgoknqqypgbmqqq
Espinha De Bacalhau,Severino Araújo,Enciclopédia Musical Brasileira,Tni5v3ybxalezyhzontrqabjov4
Ronda / Sampa,Paulo Moura,Dois irmãos,Tcro2qqnnahowu5npuz2csjfc7u
Pecado Capital (Ao Vivo),Paulinho Da Viola,Seleção Essencial - Grandes Sucessos - Paulinho da Viola,Tp4m7tn3uqkqwav7s3dvxjkni5u
A Escola e a Bola,Hamilton de Holanda,Hamilton de Holanda e o Baile do Almeidinha,Tzouoxcmso74eddamefpbfdogeu
Chorinho prá ele,Henrique Cazes & Família Violão,Desde que o Choro é Choro...,Tf6ewsvw65w2vkgww3n2fpgs5hy
Chega De Saudade,Jacob Do Bandolim,The Very Best Of,Tazhzn6xptff4ypvbblnoiihc5i
Espinha de Bacalhau,Danilo Brito,Perambulando,Tlkborc73q5niskhkpdagyxeqne
Something,Hamilton De Holanda,Beatles 'N' Choro,Ti3urhgvyr47zr5eubegqwdyt3m
Segura ele,"Henrique Cazes, Marcello Gonçalves",Pixinguinha de poche,Tpknkdghxj25dm34ntxea3gfduy
Ingenuo,Jacob Do Bandolim,Original Classic Recordings Vol. II,Tivipocgjmcpgiy5c6ytkgtwvre
Chorinho pra Ele,Quarteto Aeromosca,Aeromosca,Tkve2wiodfltegx2igcikyytahi
"Agüenta, seu fulgêncio",Jacob do Bandolim,Noites cariocas (1949 - 1960),Tji562u6vjk4kq4a7isiyabcoyq
Sensível,"Henrique Cazes, Marcello Gonçalves",Pixinguinha de poche,Tz7gxd2gwkdvpboj34dqsseot2y
Proezas de solón,"Henrique Cazes, Marcello Gonçalves",Pixinguinha de poche,Taotgrv7gcxrmy27fkaxlecmabu
A Rita,Hamilton de Holanda,Samba de Chico,Tby3kubuyxyzpq2ox6egq6tsteq
Vibrações,Hamilton De Holanda,Hamilton De Holanda,Tmsxiyslellssabj6qj737t5voa
Deixa Falar,Hamilton De Holanda,Hamilton De Holanda,Ttz2fmhcd5gjlm6spsbjzjyfcza
Jacob Abraça Waldir: Doce de Coco - Pedacinhos do Céu - Assanhado - Brasileirinho,"Bruno Rian, Carlinhos, Henrique Cazes, Marcio Almeida, Silvério Pontes, Zé Da Velha",Uma História do Choro,Tf4quxswh3ddmc4v3dah3yedd44
Chorinho Na Gafieira,Zé da Velha,Fundamental - Choro,Tyzupschmcj6npmbvbrxpo4dt4m
Chorando Baixinho,Paulo Sérgio Santos,Fundamental - Choro,Tf5j5gqpuirqi2ywuqutlytbaku
