"Swan Lake, Op. 20/2 - Waltz",Berlin Symphonic Orchestra,Tchaikovsky Through the Ages,Tl3rmzrxslkwh3errtzzyxxv4v4
"Tchaikovsky: Nutcracker Suite, Op.71a, TH.35 - The Nutcracker Op.71 Waltz Of The Flowers",Wiener Philharmoniker,Tchaikovsky: Ballet Suites,Telztcjqu2qqh2piocnwxh4bjom
"Nocturne No. 2 in E flat Major, Op. 9,2",Lullabies for Deep Meditation,Moonlight Sonata and the Piano Sonatas,Tcxzqodp5xmd5ptmxrtu7x7thsq
"Carmina Burana: ""O Fortuna""","Berliner Philharmoniker, Knabenchor des Staats- und Domchores Berlin, Shinyukai Choir and Seiji Ozawa",Classical Favorites,Tad5fpqmtkcbk77mu4rdycwmvva
Rachmaninov: The Rach. 3 (Part One),David Helfgott,Shine - Original Motion Picture Soundtrack,Thn3t4zcmuvfpjz33x4ite4oy2q
"Goldberg Variations, BWV 988: Var. 3, Canone all'unisuono (1981 Version)",Glenn Gould,Glenn Gould Plays Bach Vol. 2,T2q266i64bw6kkyyom3cqqihnua
"Sonata No. 2 in A Major, Op. 2, No. 2: IV. Rondo - Grazioso (Remastered)",Glenn Gould,"Beethoven: Piano Sonatas Nos. 1-3, Op. 2 & No. 15, Op. 28 ""Pastorale"" - Gould Remastered",T3cuityclzqoniovxpl62zsvfdm
"An der Schönen Blauen Donau (On the Beautiful Blue Danube), Op. 314: Waltz",Herbert von Karajan and Philharmonia Orchestra,"The Great Conductors: Toscanini, Barbirolli, Karajan, Rozhdestvensky and Salonen",Trrszo7myrbqqoolhiga7z5lvq4
Bizet: Carmen Suite No.1 - Entr'acte (Act III),Berliner Philharmoniker,Romantic Karajan,Tstqcgbu62fylzdi4wwqdqoo2y4
Bizet: Carmen / Act 3 - Entr'acte,Berliner Philharmoniker,Bizet: Carmen (3 CD's),T4tarxyh6a72htooajnm2fzctpa
"Suite No. 1 In G Major, BMV 1007: Prélude",Antonio Meneses,Bach: The 6 Cello Suites,Ty6xwhnxjdqtrb6sd7js2yo5t7y
"2 Pieces from Kuolema, Op. 44: No. 1, Valse triste",Eugene Ormandy,Absolute Masterworks - Romantic,Tkhq3b4nrfiu6ojslwwdkl7oxpe
"Mozart: Serenade In G, K.525 ""Eine kleine Nachtmusik"" - 1. Allegro",Berliner Philharmoniker,"Mozart: Symphonies Nos.39, 40 & 41; Eine kleine Nachtmusik; Serenata notturna (2 CDs)",Tcrrcfk3mo6njgw2ue66425c75a
"Grande Fantasia Triunfal (Sobre O ""Hino Nacional"")",Guiomar Novaes,Guiomar Novaes,Tugczompbppskoy5batpfp7pse4
"Cello Suite No. 1 in G Major, BWV 1007: I. Prélude",Yo-Yo Ma,Bach: Unaccompanied Cello Suites,Txzmagxv3vwow44jlhtpsdrato4
Claire de Lune,London Philharmonic Orchestra,Dream Suite I,T4dyvv35re63ncl2zh37xakm3em
Peer Gynt (Suite No. 1),London Philharmonic Orchestra,"Peace, Relax With the Classics",Ty4mx444f6oa5bky2ppryvjlyza
Gymnopedie No.1,Satie,Classical Love Collection - 40 Romantic Classical Masterpieces,Tb3vqyryitsn7amgpcvykhablju
Valse Triste,Sibelius,Meditation - Classical Relaxation Vol. 5,Tjjcqwsnuweyi4jfsqpa2pq5c4q
As the World Falls Down,Vitamin String Quartet,"Geek Wedding, Vol. 2: The Sequel",T2vvbfstyw4cesa37gsymumk4qy
