Parabéns da Xuxa,Xuxa,Xou da Xuxa,Tmaygunq3656vqv2xmgrrgg3ase
Uni-Duni-Tê,Trem Da Alegria,Trem Da Alegria,T5bjjd6ta5tahk3vizz3csdoo2i
Lua de Cristal,Xuxa,Xuxa 5,Tjmullwdx2sxvoh53p6vqswb35m
Superfantastico (Super Fantastico) (feat. Djavan),A Turma Do Balão Mágico,A Turma do Balão Mágico,Tq7clzhyk2fuqntabf3ozrp7hhy
A Galinha Magricela (La Gallina Papanatas),A Turma Do Balão Mágico,A Turma do Balão Mágico,Tcpqizmc6jp56i6oq5vdix6sarm
Brincar de Índio,Xuxa,Xuxa Só para Baixinhos Vol. 6 - Xuxa Festa,T34anfqkhhmyudjosyrwemaf7cu
Formiguinha,Galinha Pintadinha,"Galinha Pintadinha, Vol. 2",T3hngq6doo6xsumhupjsigicc2q
Se Enamora (E'L'Amore),A Turma Do Balão Mágico,A Turma do Balão Mágico,T7a5rdqwzplsuvczto7y46yjrki
Galinha Pintadinha 3,Galinha Pintadinha,"Galinha Pintadinha, Vol. 3",Towowjni4uflb6gherurqkc6dhe
Ai Meu Nariz! (Tengo un Grano en la Nariz),A Turma Do Balão Mágico,A Turma do Balão Mágico,Tzj3ve2vhbx3fvtcrlv3uswkcwa
O Pescoço da Girafa,Galinha Pintadinha,"Galinha Pintadinha, Vol. 2",Tdd3ycvrdemiywvejim7xar6zhm
Bobeou Dançou,Xuxa,4° Xou da Xuxa,Tvzccszbc3wa5g6f67xb2rwmbp4
Atirei o Pau No Gato,Galinha Pintadinha,"Galinha Pintadinha, Vol. 2",Tskjzdf2r25o5vke4l4rrtjtkpu
Abecedário da Xuxa,Xuxa,Xuxa Só para Baixinhos Vol. 6 - Xuxa Festa,Tbceruxr6riquddwvokg7o7j4aa
A Loja do Mestre André,Galinha Pintadinha,"Galinha Pintadinha, Vol. 2",Tugl5ewa4ig45qar6oadi7rdhdy
A. E. I. O. U.,Patati Patatá,A Vida É Bela,Tjnqc2v3didqwhla7urritywmjq
Coelhinho,Galinha Pintadinha,"Galinha Pintadinha, Vol. 1",T2ljgnlj67vjim4u76xb5nntkzu
Cowboy do Amor,A Turma Do Balão Mágico,Box A Turma do Balão Mágico,Tazqyljfrgpxood4axw7xv5dtsy
Cão Amigo,Galinha Pintadinha,"Galinha Pintadinha, Vol. 2",Ty3z6b55m3txzhrmifuibh33uti
Arco-Iris,Xuxa,Xuxa Em Espanhol,Ty4ghpxfwdixvdqxmkkwwbggpyu
Sapo Cururu,Galinha Pintadinha,"Galinha Pintadinha, Vol. 2",Toemd6kosvoqz3b3ievgsdczbzu
Fico Assim Sem Você,Adriana Partimpim,Adriana Partimpim,Tlo7nw2ozebvbybijdmx6bb2phi
Quem Está Feliz,Galinha Pintadinha,"Galinha Pintadinha, Vol. 1",Thpvkx5r3cqo7nem5shobnazifa
Piuí Abacaxi,Patati Patatá,Coletânea de Sucessos,T67fzucw6eahrwghg7v4zfrrbhi
Festa do Estica E Puxa,Xuxa,Xegundo Xou da Xuxa,Tztym33ete6gnkwnlvut6o3a6ni
A Baratinha,Galinha Pintadinha,"Galinha Pintadinha, Vol. 1",Tyr3evoiih35uyl536znu7pnsci
Lindo Balão Azul,Patati Patatá,Coletânea de Sucessos,Tsj2qnq66t2yqo7vbpnuna23k2q
Comer Comer,Patati Patatá,Coletânea de Sucessos,T5o25ek3w7grrsgwpqp473sdcpe
O Sapo Não Lava o Pé,Galinha Pintadinha,"Galinha Pintadinha, Vol. 1",Tvdbdq4lompxvaejcuuovdwhrym
O Pato Cantor (El Pato Cantor),A Turma Do Balão Mágico,Box A Turma do Balão Mágico,Trcap6nlkqettkne6qfvt3ikv6e
Galinha Pintadinha 2,Galinha Pintadinha,"Galinha Pintadinha, Vol. 2",Txjhoefdrqqcsxlxljpfyyysk2y
Tem Gato na Tuba,A Turma Do Balão Mágico,Box A Turma do Balão Mágico,Tu4rvrkthwdlhcckgbfzsctrsui
She-Ra,Xuxa,Xou da Xuxa,Tw62vvwh76kl6ncpuy4idpmbuh4
O Pato,Adriana Partimpim,Partimpim Tlês,Tv5xqws2ezvm6beidgcibqnfe4e
Não É Proibido,Marisa Monte,Infinito Ao Meu Redor,Tdszbgxb3l2scxhgp55q2v73ocu
Amiguinho,Crianças,Carrossel,Tpzec3rz4a2nwnsxvphhmzeqruy
Let It Go,Demi Lovato,"Let It Go (from ""Frozen"")",Tf5p7rdwwguw423k2q2qdc435hm
