A Noite Vai Chegar,Lady Zu,A Noite Vai Chegar,Tyqc74gh35blvjayud4wu5oto5e
Baile da Pesada,Fernanda Abreu,Entidade Urbana,Tlffrh4dgsyeyskx3m52ifq3k7u
Zona Norte - Zona Sul,Fernanda Abreu,Entidade Urbana,Ts727acmr4g54fkxsasgigqfp2a
Tambor (feat. Afrika Bambaataa),Fernanda Abreu,Amor Geral,Tc6gqq4ghacfvrzdhy3jxb3vy4e
Deliciosamente,Fernanda Abreu,Amor Geral,Tmhqdlpde527n74opfzn4dasgtq
Fora Da Lei,Ed Motta,"Manual Prático Para Festas, Bailes E Afins",Tfnzzcmgegbyoxxuajmp5rosy4m
A Flor Do Querer,Ed Motta,"Manual Prático Para Festas, Bailes E Afins",Tfcuzjsrmeghshhtx2by6dslyjm
Luna E Sera,Ed Motta,"Manual Prático Para Festas, Bailes E Afins",Tainrtnzratoqhicktnhav4mq2y
Falso Milagre Do Amor,Ed Motta,"Manual Prático Para Festas, Bailes E Afins",Tnnbmcvbwqrejvvokph7qyfhwki
Mágica De Um Charlatão,Ed Motta,As Segundas Intenções Do Manual,Tpnivqjs2ww2cbhm4efixkcsdqm
Colombina,Ed Motta,As Segundas Intenções Do Manual,Tkyoku6axbxzr5ovwy5fkdwayoi
Manuel,Ed Motta,Ed Motta e Conexão Japeri,Tlygt5tyujc2kkiomrxybjat72a
Vamos dançar,Ed Motta,Ed Motta e Conexão Japeri,T6ywaulvtocxhzybpmzjgogq6am
Parada de Lucas,Ed Motta,Ed Motta e Conexão Japeri,T7vsvtntoc3q5vv4i6yhjdthnk4
Solução,Ed Motta,E - Collection,T44l3atv4wsc72ppbb2xipidpom
Assim Caminha a Humanidade (Extended 70'S Mix),Lulu Santos,"Eu e Memê, Memê e Eu",Tdzmnr7zhhm6apvtsiyzxpwfbja
A fim de voltar,Tim Maia,Disco Club,Tbt3ucww7s7scu5ngr3fqxijlfi
Acenda o farol,Tim Maia,Disco Club,T5q37lyuptkup5vkuc3b3zmdyrq
Sossego,Tim Maia,Disco Club,Tl3n7megr3ehch5agqowgccwn7a
O Descobridor dos Sete Mares,Lulu Santos,Focus - O Essencial De Lulu Santos,T5cg53yxz65bftvucihigkpplca
Dancin' Days,Frenéticas,iCollection,Tvgdb5x6fkfgmqyedamrdiefl2y
