Rivers of Babylon,Boney M.,Nightflight to Venus,Td7e6ctogno6dzedbk24v6rijwq
Beware,Barry White,Beware!,Tewezuwvi2kms3cs4xlui6niwv4
ABC,Jackson 5,The Ultimate Collection: Jackson 5,Tmcvf2lickasjdzwjk2uhw7f3ye
"Stayin' Alive (From ""Saturday Night Fever"" Soundtrack)",Bee Gees,Tales From The Brothers Gibb,Tqmmatj7qohkoklccfuzygmjmt4
Boogie Wonderland,"Earth, Wind & Fire",Greatest Hits,Tcduqbmuvyfx343kbtkki3j3rta
You Make Me Feel (Mighty Real),Sylvester,"Hits of the 70's, Vol. 1",Tfn37q3femkm3c3gkb772wkn73u
Endless Love,Diana Ross,All The Great Hits,Td2nel767xv6mpmks7kcjalihwy
Double Dutch Bus,Frankie Smith,Double Dutch Bus,T7jb3cupfxl2igfi725ldv7hom4
Heart Of Glass (Remix),Blondie,Once More Into The Bleach,Taumfappih44lyb5p6xys6eesxy
Easy,Commodores,Commodores,Tuzvqekjt2354zgni5hjtfd6jtu
Le Freak,Chic,C'est Chic,Th3iab6bq7kbzh3glujnjfr5ggy
Good Times,Chic,Risque,T644xgcsbhotfxrwqaqpizbktbm
Everybody Dance,Chic,Chic,Ttj5lyf2llm44u42jdane7wpt6i
September,"Earth, Wind & Fire",Greatest Hits,Tv7mjof5mr2ljozar2mwbyddr44
Let's Groove,"Earth, Wind & Fire",Greatest Hits,Tln3tj7ugtwscnoh5a7vqki7ecq
Copacabana (At the Copa),Barry Manilow,The Greatest Songs Of The Seventies,To7nzokb6yrr5ff7anu5wcjhuh4
He's The Greatest Dancer,Sister Sledge,We Are Family,Tk4osyj5wex6u5r3apjjhyqvsfa
We Are Family,Sister Sledge,We Are Family,T4xqydbv3sqpok73whco65turbu
Missing You,Diana Ross,Swept Away,Tzucynwexaxdtqvxg2oxaxh2fg4
You Are Everything,Diana Ross,Diana & Marvin,Ti32ejookbxu7m6lincyp464k44
Born to Be Alive,Patrick Hernandez,"Discofever of the '70, Vol. 1",Tivyxwwlaku6hxlr3izhv63ok34
"You're The First, The Last, My Everything",Barry White,"You're The First, The Last, My Everything",Tfex5fdbfh2crh6kx77n3w7jj6a
"More Than a Woman (12"" Mix)",Tavares,Heaven Must be Missing an Angel / More Than a Woman,Tby2fftu46bxm5zhlwac7pcgkli
Heaven Must Be Missing An Angel (Pt. 1),Tavares,Anthology,Tje5iao55bz5y24esnemzgifsde
La vie en rose,Grace Jones,The Collection,Tzfw63owedowjqeqpvhnivicaze
Cherish,Kool & The Gang,Emergency,Thvsmlmwj4affkjnmzdy566vxpy
Celebration,Kool & The Gang,Celebrate!,Tbvo4ausgwmmobgipxu7axxjem4
