Flor de Lis,Djavan,A Voz e o Violão,Tuhfnd3qwckwnraqdbnlbcvqbwq
Na Boca do Beco,Djavan,A Voz e o Violão,Tbzk7wtseyps5hrj3bkb42esely
E Que Deus Ajude,Djavan,A Voz e o Violão,Tep6a3o3k7ifaobexj7l4s6wlfu
Muito Obrigado,Djavan,A Voz e o Violão,Tft6ne6d7hmpljei2ge4v4cm5gy
Embola a Bola (Cateretê),Djavan,A Voz e o Violão,Tpb6gss3zemghdfy4owecedcqnm
Fato Consumado,Djavan,A Voz e o Violão,T3suatugfx7lzrhimcanpxj7lum
Serrado,Djavan,Djavan,Twttrfasfi2jwxkzfyb4unkgbjq
Samba Dobrado,Djavan,Djavan,Txujrehldkyra5rwc2fnefjmmby
Meu Bem Querer,Djavan,Grandes Sucessos,Tvhfyblqw52t4ggaahrpffd2j7m
Lilás,Djavan,Grandes Sucessos,Togsafp3prv7xzjmnykb7fsy7xm
Topázio,Djavan,Grandes Sucessos,Td7n55mgn2ooj2ehje7tuqw7q6q
Asa,Djavan,Grandes Sucessos,Ti2lgdaj626vkj2sxyisgourwpe
Sina,Djavan,Grandes Sucessos,Tfpwvxzfcgrtfnckg6kwcuhyd6e
Se...,Djavan,Coisa de Acender,Tv5uw4rowtbygvylsnop3g527ua
Limão,Djavan,Novena,Tm2in5upmwindey4ztx7xxgq45e
Coração Leviano,Djavan,Malásia,Tmr37btazmfxrdbxuryqycjl2mu
Sorri (Smile),Djavan,Malásia,Tsc3ybva6r6khkdxy6rmxuoqyxe
Seduzir,Djavan,Seduzir,Tte4wc4hlop2vpxcejzjkgfe73u
Eu Te Devoro,Djavan,Bicho Solto - O XIII,Tvx7rjlzmsyl5rqewggoeoabgoa
Disfarça e Chora (Ao Vivo),Djavan,Ária - Ao Vivo,Tvzdygmmxsfhptuldywkgqzufnm
Oração Ao Tempo (Ao Vivo),Djavan,Ária - Ao Vivo,T3ymr22wtser73ngs2rhmm4dxgu
Sabes Mentir (Ao Vivo),Djavan,Ária - Ao Vivo,Twhzl7mkiijt5stw6olxa7j3gwy
Apoteose Ao Samba,Djavan,Ária,Tdhc362eyvmnjuuap5txgnjb6he
La Noche,Djavan,Ária,Ttb3pswilx6dt4f4pl3dpwth24m
Valsa Brasileira,Djavan,Ária,Tfl2yza2igqkymy2dki7gvxirby
Brigas Nunca Mais (Ao Vivo),Djavan,Ária - Ao Vivo,Tweqgb3dd7q3pavriiiizlqdpey
Fly Me to the Moon (Ao Vivo),Djavan,Ária - Ao Vivo,Tkknpfgrbu2ulj47nriwzlif4cu
Nada a Nos Separar,Djavan,Ária,Twiowqt7neypa6v6eywtb6opiny
Palco (Ao Vivo),Djavan,Ária - Ao Vivo,T6h53pjwee4cbxx3gaur5xvy64m
Samurai (Ao Vivo),Djavan,"Djavan ""Ao Vivo""",Tuwmhes3zhmahodct3wi7z2ejlu
Samurai (Ao Vivo),Djavan,Ária - Ao Vivo,Trr2enf4a4t2a2bhet33hwfcipa
