Que Loucura,Sérgio Sampaio,Tem Que Acontecer,Tzywt6puduntqocahu4mliscuci
Cê Tá Pensando Que Eu Sou Loki?,Arnaldo Baptista,Loki? (1974),Tn3jgwvqexcctm26ty45hnq3lmy
Será Que Eu Vou Virar Bolor?,Arnaldo Baptista,Loki? (1974),Tcluzztdratyh4lynrppc7g72ji
Vou Me Afundar Na Lingerie,Arnaldo Baptista,Loki? (1974),Tbtl7me3w7bcjogzqf5eemxjara
Eu Nasci Há 10 Mil Anos Atrás,Raul Seixas,Há 10 Mil Anos Atrás,T56k6scbucon24ftc3t4jdbxdua
Eu Também Vou Reclamar,Raul Seixas,10.000 Anos À Frente,Tf4xxewrhlywymzebn7quhsodsy
Ouro De Tolo,Raul Seixas,"""Krig-Ha, Bandolo""",Tzor4mr3chnbvkfndivjamwui5y
Chão de Giz,Zé Ramalho,Antologia Acústica,Tcihg6i4pwcc6uxoerxawz26pqu
Ando Meio Desligado,Os Mutantes,"""A Divina Comédia Ou Ando Meio Desligado""",Taj6fl3qra7jhd5zfplakwsctwe
Balada Do Louco,Os Mutantes,20 Grandes Sucessos De Os Mutantes,Tgbzwewelegw34hiy4il2rthhyi
El Justiceiro,Os Mutantes,Tecnicolor,Tkywm5efvbn3iukgd3yllnebtqu
It's Very Nice Pra Xuxu,Os Mutantes,Obras-Primas,Tuyz5vn7u5okxfrhum7xcojylk4
Portugal De Navio,Os Mutantes,Jardim Elétrico,Tvv4truwaz6eyyzvzz7xbrhq2lu
Senhor F,Os Mutantes,Os Mutantes,Tyvsvztzpuhbd2nmak4aezerume
Virgínia,Os Mutantes,Tecnicolor,Tot4k37ls2yei3u7svjygg5msei
Gita,Raul Seixas,A Arte De Raul Seixas,Ti7epwoafy4b6tl5buv3wlw5obq
Orora Analfabeta,Jards Macalé,Anos 70,T3w632fyzguyl3dcyxavaxj456i
"Augusta, Angélica e Consolação",Tom Zé,Warner 30 Anos,Tcb6jdzwggtb7atqrkg7tlwcxae
Só (Solidão),Tom Zé,Estudando o samba,Tf77wrx7czn52gt3slgtwr2kuo4
Ui (Você inventa),Tom Zé,Estudando o samba,Ttxks4rnt4npg2kptldpliklxse
Até Outro Dia,Sérgio Sampaio,Tem Que Acontecer,Tgzv6j5m2c5ziymfveonz4ldzry
Cabras Pastando,Sérgio Sampaio,Tem Que Acontecer,Taensb353kcs6tskyasg56l6ina
Velho Bode,Sérgio Sampaio,Tem Que Acontecer,Tsqlhkp77n7qzckgmzs57plzpeu
Velho Bandido,Sérgio Sampaio,Tem Que Acontecer,Tpdlnq536xh3jrax6x2ojrostoe
Na Cadência Do Samba,Novos Baianos,Vamos Pro Mundo,T3gx3qetog67yxer4qel62ziq7u
Com qualquer dois mil réis,Novos Baianos,Dois Momentos,Txgp6qgf64gqutv6pxd7adv7zru
Mal Secreto,Jards Macalé,Anos 70,Tpjx7mwic7r5feidwfdxefvwkvq
