Copacabana (Remastered),Barry Manilow,The Complete Collection...And Then Some,Tae4n2ro25r2or4wglih73u4wca
Love Is In The Air,John Paul Young,I Hate the Music,Tfz3ybvheghfnbspiruzqz2e44m
Can't Take My Eyes off You,Frankie Valli,The Very Best Of Frankie Valli & The 4 Seasons,To246t2c6e7gluddjw3xyfrcwti
My Girl,The Temptations,The Temptations Sing Smokey,Tcncnvqfropqfaksjlgbi647jry
Baker Street,Undercover,Check Out The Groove,T6vcbqovacxpavzjjthdako6wtq
Am I The Same Girl?,Swing Out Sister,As 100 Mais Da Antena 1 - Volume 3 (Álbum 1),Tfhopgt27ehdoi6y2jb6obvqq2a
Hallelujah,Rufus Wainwright,Vibrate: The Best Of,T43uex7unlkjdcsthpo4qwmam5a
Little Green Bag,George Baker Selection,Golden Years Of Dutch Pop Music,Tsp3qsdxni6eprvufehn2jbbtki
Son Of A Preacher Man,Dusty Springfield,The Silver Collection,Tv5x4dux2gkslxai5agysxqbyeq
Goldfinger,Shirley Bassey,The Ultimate John Barry,Tfhf4ctwty3p5owpofzoqxtizqq
Diamonds Are Forever,Shirley Bassey,Bassey - The EMI/UA Years 1959-1979,Twsfnwktcgqom5ia4nisasxizii
It's Too Late,Carole King,Tapestry,Txey5rq3uq2b22qyo4xs32bt7eq
To Sir With Love (2002 Remastered Version),Lulu,Most Of Lulu / Lulu's Album,Thagah7iftego56meyj2ebwj3te
Spooky (Quinten 909 Radio Mix),Dusty Springfield,Spooky (Quinten 909 Remix),T5vklvin2g54byygpqjuadnx2sq
Only Yesterday (1991 Remix),Carpenters,Carpenters Gold - 35th Anniversary Edition,Tbgaqowbbfovxlre6koldjlm2tu
We Are The Champions (Remastered 2011),Queen,Greatest Hits (Remastered),Tnhlewryt4ts77aszka7winnu74
Bohemian Rhapsody (Remastered 2011),Queen,Greatest Hits (Remastered),Tbjaahrmhzktoqvcvvjfqrzg6fa
Stairway to Heaven (Remaster),Led Zeppelin,Led Zeppelin IV (Deluxe Edition),T5orx2jn6urebmnlc77qzrh6peq
Gypsy (2002 Remaster),Fleetwood Mac,The Very Best Of Fleetwood Mac,Trynbhrvp52sb2xdioti3urrj5a
Dreams (2002 Remaster),Fleetwood Mac,The Very Best Of Fleetwood Mac,T4vukd6xx5apkhwlut5jqf2lnf4
Eye in the Sky (Remastered),The Alan Parsons Project,The Best Of The Alan Parsons Project,Tr72ucx6sxplwrjwy6sinzjoro4
Time,The Alan Parsons Project,The Turn Of A Friendly Card (Expanded Edition),Tauybgzs22w6izxr6b3ueieylty
Sabrá Dios (Remastered),Los Panchos,40 Canciones Inolvidables,Tfxi6o5b6fjtq3clemd3qmkqxk4
Dos Almas,Los Panchos,Noche Con los Panchos,Tsw2lf3vjxqyw3njwtn7sq7uhta
Cigarettes And Chocolate Milk,Rufus Wainwright,Poses,Tizfp4zbnzxjgdxkpryfr55mkwy
I'll Be Around,Spinners,Spinners,Txltio7yqtzxlyrvlvlfvwr37hu
Inverno,Adriana Calcanhotto,A Fábrica Do Poema,Tgsclbgch2fmntgoaedxrbssqxy
Hallelujah,Leonard Cohen,Various Positions,T5sqo27g53fxi37dle2h5wojuty
You Do Something To Me (Voice),Dick Hyman,Mighty Aphrodite - Original Soundtrack,Tblunbj6o7yzotg5ace5mdroefq
When You're Smiling (The Whole World Smiles With You) (Voice),Dick Hyman,Mighty Aphrodite - Original Soundtrack,T2ny3dfijzbpgviwfqzjqhj4ycm
"Valerie (Live At BBC Radio 1 Live Lounge, London / 2007)",Amy Winehouse,Back To Black (Deluxe Edition),Tipvotjvlipp75kgs4ov4tzs54m
Stars,Simply Red,Stars Collectors Edition,Tft4alok7c3acnthc4fuqf54mci
For Your Babies,Simply Red,Stars Collectors Edition,Td3dy32ild46qlzxlhwm34q4xta
Punky's Dilemma,Simon & Garfunkel,Bookends,T4h2gf7xz36lpl262joxtlwkxim
Come On Eileen,Dexys Midnight Runners,Too Rye Ay (Deluxe Edition),T4q7hjeq2obc6bffl36nsa5yjvi
Age Of Consent (2015 Remastered Version),New Order,"Power, Corruption & Lies",Tkpevayyszsuutmxjta4eawpvum
Kiss on My List,Daryl Hall & John Oates,The Essential Daryl Hall & John Oates,Trgu2ek7kollv35h54zji75qgty
My Ever Changing Moods (Single Version),The Style Council,Greatest Hits (Digitally Remastered),T5tvopsejcgwa2va4wtkrjiamjm
Here's Where The Story Ends,The Sundays,"Reading, Writing & Arithmetic",Tmgkxezjgwninp7qc7j7ya4ehcm
Born to Run,Bruce Springsteen,Born To Run,Tnlwgpr4rl62zblmhhowiep653a
Guilty,Barbra Streisand,Guilty,T3tvufivjiis4ebtn3dnvftezyi
Just My Imagination (Running Away With Me),The Temptations,Sky's The Limit,Tzboz3d4fz646mpqx2sff24c2ka
Sweet Love,Anita Baker,Rapture,Tqcy3yw5vrlsmwfhlpidebjmwv4
Stand By Me,Ben E. King,Don't Play That Song,Tm7ezt4uu6mgxui2etkdowu5pim
Babies,Pulp,His 'N' Hers,Trp2tpzwnmo3cd23y2x553dsh44
I Can't Wait Until I See My Baby's Face,Dusty Springfield,Where Am I Going,Tthx5qgw27sv4waxxsskkfwbi5a
Livin' Thing,Electric Light Orchestra,All Over The World: The Very Best Of ELO,Tljymeizrfuegmr2iih62wneksu
