A Noite,Fernanda Abreu,Sla Radical Dance Disco Club,Toay2yglqhcahcio5b7zj6whkh4
Luxo Pesado,Fernanda Abreu,Sla Radical Dance Disco Club,T26hwad4xt26ffzql6xbnuryy2i
Você Pra Mim,Fernanda Abreu,Sla Radical Dance Disco Club,T565bjuw4qbsmibdhgtrbx5vepa
Speed Racer,Fernanda Abreu,Sla Radical Dance Disco Club,Txr7frlittuaqvmtqeuqnejxygq
Kung Fu Fighthing,Fernanda Abreu,Sla Radical Dance Disco Club,Tnmqptehmudp5og3lygzbusrhfu
Rio 40 Graus (feat. Fausto Fawcett),Fernanda Abreu,Sla 2: Be Sample,Tgzoe6ij5n2k7aezxnqfv6wsmja
Boogie Oogie Oogie,Fernanda Abreu,Sla 2: Be Sample,Tf2lmcnrue3asatt77mndhrwzcu
Veneno da Lata (feat. Herbert Vianna & Sofia Stein),Fernanda Abreu,Da Lata,Tvesbyrjolppjmentwogozxqimu
Garota Sangue-Bom (feat. Fausto Fawcett),Fernanda Abreu,Da Lata,Tqhwavaf2f7c6g5hn6p6quyzp7e
Babilônia Rock (feat. Cláudio Zoli),Fernanda Abreu,Da Lata,Tq6sbhbla5dep2ymusi5f3kkbo4
Aquarela Brasileira,Fernanda Abreu,Raio X,Tsd6lf6fyr7hbozumfhtq3imldm
Baile da Pesada,Fernanda Abreu,Entidade Urbana,Tlffrh4dgsyeyskx3m52ifq3k7u
Zona Norte - Zona Sul,Fernanda Abreu,Entidade Urbana,Ts727acmr4g54fkxsasgigqfp2a
Tambor (feat. Afrika Bambaataa),Fernanda Abreu,Amor Geral,Tc6gqq4ghacfvrzdhy3jxb3vy4e
Deliciosamente,Fernanda Abreu,Amor Geral,Tmhqdlpde527n74opfzn4dasgtq
Por Quem,Fernanda Abreu,Amor Geral,Tchpzznptu7r2plikrp6hurh5gy
Eu Vou Torcer,Fernanda Abreu,Na Paz,Thgytu453didcnmgavos7u3o5vy
Zazuê (feat. Jorge Benjor),Fernanda Abreu,Na Paz,Tgmv6uezbdzptez33o55gqsn7ru
Roda Que Se Mexe,Fernanda Abreu,Entidade Urbana,T532clwr74jovi2xzlicwj5sp4e
