Try a Little Tenderness,Otis Redding,Soul Ballads,Tblztu622he2r2u3lvsz55y67q4
Shotgun,Jr. Walker & The All Stars,Shotgun,T2s5oi5l2lbyfftgahk3b4q6ioq
Respect,Aretha Franklin,100 Greatest Soul,Tlnzubwbz4yzym5kqbus3bgx6h4
Groovin',Booker T. & The MG's,Hip Hug-Her,T5mks5rtsp5tzeiaoo3lb6tu24y
Use Me,Bill Withers,The Essential Bill Withers,Tprtxt7gavmaf6df6nq56qahvpa
Ain't No Sunshine,Bill Withers,Feeling 70's (The Best Music of the 70's),Tcaidiye7ene2bkwd5lng7lh7fq
Theme From Shaft,Isaac Hayes,Stax 50th Anniversary (E Album Set),Tkysng6xo4wh645eebargdspxdi
Ain't Too Proud To Beg,The Temptations,100 Essential Motown - Various Artists,Tee4nc5uu3ozqkjgahjduargk7a
In the Midnight Hour,Wilson Pickett,100 Greatest Soul,Tuvhfwaih3u7rx36zt2bwu6sksa
Let's Stay Together,Al Green,Let's Stay Together,Tqoqj75a6pg6cfp7bmtwiostl2q
"What'd I Say, Pt. 1",Ray Charles,100 Greatest Soul,Ttsyj56vkxrjlhviqulfgdih5mi
I Heard It Through the Grapevine,Marvin Gaye,Top of the Pops: 1964 - 1969,T3z6rfy3uvj3ohm2oahplc3ae6e
Hip Hug-Her,Booker T. & The Mg's,Ten songs for you,T2xh2oxnqbdjkvqbl7joyahinmq
