Kiss On My List (Remastered),Daryl Hall & John Oates,The Essential Collection,Tv36rwgpztq2ubhlxqdufm7coky
Las Vegas Turnaround (The Stewardess Song),Daryl Hall & John Oates,The Atlantic Collection,Tdqi5ayfrxpeykuh6ei6n4rejv4
Rich Girl (Remastered),Daryl Hall & John Oates,The Essential Collection,Tcmm6pqoh3jp73esld5o6w6ofb4
Maneater (Remastered),Daryl Hall & John Oates,The Essential Collection,Tttgh6eakv46lrvooymbralz35u
Wait for Me (Remastered),Daryl Hall & John Oates,The Essential Collection,Tnnoobinzqh44bg3rf5cctsgvby
Private Eyes (Remastered),Daryl Hall & John Oates,The Essential Collection,Tmurs7scdcbg3neiydav3zwgyby
I Can't Go for That (No Can Do) (Remastered),Daryl Hall & John Oates,The Essential Collection,Ty4ypd5uwcnsmttac3yebdvnmxm
One On One (Remastered),Daryl Hall & John Oates,The Essential Collection,Tcyoy4ytaawitfsnohz7tnuvwh4
Out of Touch (Remastered),Daryl Hall & John Oates,The Essential Collection,Tg4nlblvzjmikjf3ebsijg2gdrm
Your Imagination (Remastered 2003),Daryl Hall & John Oates,Private Eyes,Tbrlvyvcvxyawr3777otw5avwdy
You Make My Dreams (Remastered),Daryl Hall & John Oates,Voices,Taz5h64spysl2eyx3gg7puugxo4
