Intergalactic (2005 Remaster),Beastie Boys,Solid Gold Hits,Tzhlo6df7fmkoyvbfkhbyj7s5fm
Walk This Way (feat. Aerosmith),RUN DMC,Raising Hell,Tfhvhtfez4rdcr4e5toeamr447u
You Be Illin',RUN DMC,Greatest Hits,Ti3t77tu46ujek4ozdgewnyhhqa
Who Am I (What's My Name)?,Snoop Dogg,Doggystyle,Twvfspkve33vvdqen5ofvhkjzb4
"Ain't No Fun (If the Homies Cant Have None) (feat. Nate Dogg, Warren G & Kurupt)",Snoop Dogg,Doggystyle,T4jwswjwwl6mabkvks57hk7wafe
"The Twist (Yo, Twist!) (feat. Chubby Checker)",Fat Boys,The Best Of The Fat Boys,Td5qamqy4i35bfl7nsgcaesjuwi
Paid In Full (Seven Minutes Of Madness - The Coldcut Remix),Eric B. & Rakim,Gold,T2nxnf6o3q4zmvgf2ha66kjm5fy
The Fresh Prince of Bel-Air,DJ Jazzy Jeff & The Fresh Prince,Greatest Hits,Trex36jwvp4wun5ctjtz3brr4nm
Summertime (Single Edit),DJ Jazzy Jeff & The Fresh Prince,The Very Best Of D.J. Jazzy Jeff & The Fresh Prince,T5qo43gh6rf3rlhstnaz6o3xsxa
Walking Through the Darkness,Tekitha,Ghost Dog: The Way of the Samurai - The Album,Tl27i6y2ksds5cp5yfr65nvrrmq
Baby's Got Sauce,G. Love & Special Sauce,G. Love And Special Sauce,Tqph7a7pfnwhfrkq7pk3o6enfay
Where I'm From (LP Version/2005 Digital Remaster),Digable Planets,Beyond The Spectrum - The Creamy Spy Chronicles,Tr77qzmxuy53xikhdwyiyxnde3a
Things That Make You Go Hmmmm.... (feat. Freedom Williams),C+C Music Factory,Gonna Make You Sweat,Tpvuk42ea3gfnl4nnexp4q24yoe
Ice Ice Baby,Vanilla Ice,To The Extreme,Ty2xyhg6v476gvnoafhh2qs6tqu
World Destruction (Remastered 2005),Time Zone,Methods Of Dance (Electronica & Leftfield ‘73-‘87),Ty2s4ju2kgxxmeuunqvwpxt3vsi
