I Got You (I Feel Good),James Brown,Get On Up - The James Brown Story (Original Motion Picture Soundtrack),Ttetalexnz7naz3vsvfkcijab6y
Daft Punk Is Playing at My House,LCD Soundsystem,LCD Soundsystem,T4cgv7u3oo2fpzpcxqr77w5b6wq
Think,Aretha Franklin,Aretha Now,Tm2d7cod4vioxjtt3kck2wna2tm
I Got a Woman,Ray Charles,Ray Charles Fifty Favourites,Tvmg4qzjybcsrhrmor57jyeuera
What'd I Say (Pt. 1 & 2) [Mono Remaster],Ray Charles,The Genius!,Th5qrkqyvsu4vrsabruo2xrsk6e
Little Green Bag,George Baker Selection,Golden Years Of Dutch Pop Music,Tsp3qsdxni6eprvufehn2jbbtki
Oye Como Va,New Orleans Nightcrawlers,Live at the Old Point,Trdcqloep7hyygxpeuifp6imp3e
Hit The Road Jack,Ray Charles,The Genius Hits,Tsok3lsrvrisjf56kr4b7dlcaly
Breathless,Jerry Lee Lewis,The Legendary Sun Classics,Tlx7ddp2g7j6s7sigre4ydxgyla
Surrender (Remastered),Elvis Presley,Hot Summer Jam,Tl3d3d6jk4xsyco2e75zirhvbnq
Cantaloop (Flip Fantasia) (feat. Rahsaan & Gerard Presencer),Us3,Hand On The Torch,Tzup26gkyfowm47jfab2xeizddu
Goodbye,Us3,Questions,Tipq24oaewekijujkomcvlje3g4
Come On Everybody (Get Down),Us3,Flip Fantasia: Hits & Remixes,Tgk3yp67s2442mlpznhwxbxywoq
Eleven Long Years,Us3,Hand On The Torch - 20th Anniversary Edition,Tv66a4fiejdl532xuvp6tiaeuti
You Can't Hold Me Down,Us3,An Ordinary Day In An Unusual Place,Tsith7b27z5egybvyxcaedlq6my
Don't You Worry 'Bout A Thing,Incognito,Tribes Vibes And Scribes,Tl5f2iiot4mzf2pohkst72jzmyi
Theme From Starsky & Hutch (Funky People Mix),The James Taylor Quartet,Wait A Minute,Tkwvls6glbq7fkbotulnaerj7s4
Love Will Keep Us Together,James Taylor Quartet,In the Hand of the Inevitable,Tb22k6h5ammsbusfb5wynqplbxu
Something's Got A Hold On Me (Single Version),Etta James,Her Best - The Chess 50th Anniversary Collection,Tq2gbwblwktuotkpy5p7pmvsagq
Out of Sight,Johnny Winter,About Blues (Digitally Remastered),Tgarczyoi4xn45hy36335xnm63m
All About That Bass,Meghan Trainor,All About That Bass,T3s4wi7m3eakrpzc2cakbojnea4
(You're The) Devil in Disguise,Elvis Presley,Elv1s: 30 #1 Hits,Ti5n2edp3hgp4ko5ngajyenn55a
Jailhouse Rock,Elvis Presley,Jailhouse Rock,Tcd7gewrded6tbao7kvtqyyo7zy
Hound Dog,Elvis Presley,Elv1s: 30 #1 Hits,Turprdx5jq4jxdh2mrbi37xaoeq
Tutti frutti,Little Richard,Tutti frutti,Tzyrn2fn2rht455ptmjccqtcnpe
Long Tall Sally,Little Richard,"The Very Best Of ""Little Richard""",Tpm5lejrcxlqbtghfh3bnvgfrsi
Rip It Up,Little Richard,"The Greatest!, Vol. 1 (The 1955-1957 Masters Complete Collection)",Tvldzpu5um5vacpvn3vtin3jqvq
Slippin' And Slidin',Little Richard,Here's Little Richard,Tboo4ewiwgdc6fa5l2mejqkiqni
Summertime Blues,Eddie Cochran,12 Of His Biggest Hits,Ts366xunelzq4d7peez34nxf3k4
C’Mon Everybody,Eddie Cochran,12 Of His Biggest Hits,Tu6ta5x7sspugvfjzlgigs7z4um
Dreamer In My Dreams,Wilco,Being There,T4cdkd2k3brgli5k4meyuvcn4eu
Reversed (Nostalgia 77 Remix),Elizabeth Shepherd,"Nostalgia 77's One Offs, Remixes & B-sides",T7blbh23pxmfdpo4myp4c4xxvnm
Seven Nation Army,Nostalgia 77,The Garden,Trp63wloyhnjlkj2bg6em62lume
Get Stupid,Aston Merrygold,Get Stupid,Tzcvb54t4bzupxa45hibzdn25zi
Respect,Aretha Franklin,30 Greatest Hits,To7yffl4ltcul4g7f2sczvnvzxe
I Say a Little Prayer,Aretha Franklin,1968,Thhu46uhw2xqfckuuth5upamorq
Chain of Fools,Aretha Franklin,Feel Good Weekend,Tuorsbodpbtafbkafsv3dckoioq
Papa Don't Take No Mess (Pt. 1),James Brown,Greatest Breakbeats (2CD),Tugsrpjyi6s2bopqloxcvpattoa
People Get Up And Drive Your Funky Soul,James Brown,The Singles Vol. 9 (1973-1975),Trjiquuogv7fpif4eeekfmh3u5y
Ac-Cent-Tchu-Ate the Positive,Aretha Franklin,The Electrifying Aretha Franklin (Original Album Plus Bonus Tracks),Tvvwm57oa7vqc45mfrdgm6ht5w4
Things That Make You Go Hmmmm.... (feat. Freedom Williams),C+C Music Factory,Gonna Make You Sweat,Tpvuk42ea3gfnl4nnexp4q24yoe
Nothin' But A Woman,Robert Cray,Strong Persuader,Tmh4eh3xa3rt2pcfp6hkru5gl6m
Sweet Child O' Mine (Phil Mac Remix),Scott Bradlee & Postmodern Jukebox,Sweet Child O' Mine (PhilMac Remix),Tlgrrgcoacqas2xioow4xvhg7ai
All About That Bass,Scott Bradlee's Postmodern Jukebox,Historical Misappropriation,Tz7yv46gifarzlrgyqnnmynjsty
Proud Mary,Ike & Tina Turner,Best Of / Proud Mary,Tegdlz55xyo2dlrdry4udyff67e
