Boogie Do Bebe (1990 Remaster),Tony Campello,O Melhor Da Jovem Guarda,Tlsuq64oalohpgtywzulcw5i7di
Aniversário do Tarzan,Os Originais Do Samba,Aniversário do Tarzan,Tuf5kqwwc33icmsuoh7h7fb56na
Toró de Lágrimas,Antônio Carlos e Jocafi,20 Super Sucessos Antônio Carlos e Jocafi,Tf4b2dt2chfpxvwxri6zsf7hv4i
Glorious,Adam Friedman,Rock Dog (Original Motion Picture Soundtrack),Tjqhl6yf6bj3gfs6nu6vlhgus5a
Baile da Pesada,Fernanda Abreu,Entidade Urbana,Tlffrh4dgsyeyskx3m52ifq3k7u
Zona Norte - Zona Sul,Fernanda Abreu,Entidade Urbana,Ts727acmr4g54fkxsasgigqfp2a
Lindo Lago do Amor,Adriana Partimpim,Partimpim Tlês,Twuawexfgio25edzar5elnnvtl4
Cantaloop (Flip Fantasia) (feat. Rahsaan & Gerard Presencer),Us3,Hand On The Torch,Tzup26gkyfowm47jfab2xeizddu
Amiguinho,Crianças,Carrossel,Tpzec3rz4a2nwnsxvphhmzeqruy
Fazendinha,Mundo Bita,Bita e os Animais,Ttozh2t5omhj4srdntv6aqz7wuu
Charlie and Lola,Kidzone,Children's TV Favourites,T54ggqwyfwe7lcg5kzkfrfzv2u4
Tchibum da Cabeça ao Bumbum,Palavra Cantada,Especial Dia das Crianças,T5q7ajmpyqhqioyu4ppe67uf32m
Banho De Lua (Tintarella Di Luna) (1994 Remaster),Celly Campello,Broto Certinho,Ti77atnbt22ejauvysrgvybmcuq
Biquini De Bolinha Amarelinha Tão Pequenininho,Blitz,A Dois Passos do Paraíso,Tqlyc5oovhs5sdq3u5gjhbpyhli
Lobo bobò,Carlos Lyra,"Jobim, Vinicius, Baden, Menescal, Lyra... (54 Songs)",T5vlaptiqcwhlucbkmkqvzrfjqq
Lobo Bobo,Wilson Simonal,Nem Vem Que Não Tem,T2uvwuqqzfdu5b4r7wrb76z6jmq
Na Cadência Do Samba,Novos Baianos,Vamos Pro Mundo,T3gx3qetog67yxer4qel62ziq7u
It's Oh So Quiet,Bjork,Post,Tfk7f75hnzaxtvfiuv5scu44hxq
Aquarela,Toquinho,Aquarela,T6e4j3ojn6qaqxtv366o3sfowum
Tarde em Itapoan,Vinicius,Como Dizia O Poeta...,Ta3viaa4hizqhjdx6afrl6gu32e
A Tonga da Mironga do Kabuletê,Toquinho,Seu Violão e Suas Canções Vol. 2,Tcjw2cdh2vyhveth4vcrmff77jq
A Bicicleta,Toquinho,Seu Violão e Suas Canções Vol. 2,Tyw6rqreyvufhdt3iibanvtdztu
