Nanã,Moacir Santos,Ouro Negro,Td7ak55f3nwucb6bqi2sbwoz73e
Suk Cha,Moacir Santos,Ouro Negro,Toitzminlerw44jzvyt57uj6t44
Coisa Nº 6,Moacir Santos,Ouro Negro,Tvobm2qtixmdndjevd5occzrqd4
Coisa Nº 8 - Navegação (feat. Milton Nascimento),Moacir Santos,Ouro Negro,Tfi5ni7qqittwyrqwrerlvvvs5q
Amphibious,Moacir Santos,Ouro Negro,Tnmok7f3bi4yrzkeiebnhgdla7q
Mãe Iracema,Moacir Santos,Ouro Negro,Tjipfty6cno2hgmxqrchbvvpt4a
Coisa Nº 1,Moacir Santos,Ouro Negro,Twyto3m6mg252jk4ijhxxkug2g4
Sou Eu (feat. Djavan),Moacir Santos,Ouro Negro,Trxq37ixnuykbynxrphveyi2ssm
Bluishmen,Moacir Santos,Ouro Negro,Tgwq5nnwjtams6ahudcaoseeapq
Kathy,Moacir Santos,Ouro Negro,T75k23g6xm2evzaeuvncwd6zmga
Kamba,Moacir Santos,Ouro Negro,Tzw6ry6rsmja4bnfs3o6hsppcpe
Coisa Nº 9,Moacir Santos,Ouro Negro,Tgxb5ocsw7dk5ppnxpgq7k2djza
Orfeu (Quiet Carnival) (feat. Ed Motta),Moacir Santos,Ouro Negro,Tjkviprbsy6dptmuj5klexqgqme
Amalgamation,Moacir Santos,Ouro Negro,Tsn2gpug5mwykvni5lpqfbfkmq4
Coisa Nº 7 (Evocative),Moacir Santos,Ouro Negro,Td3jex5zfbwchkg3s65rn75ka44
Coisa Nº 2,Moacir Santos,Ouro Negro,Tqdrmaia7ipwx3p5lc2n5quknqy
Lamento Astral (Astral Whine),Moacir Santos,Ouro Negro,Tscrw6gtdw6rj3hnttdwh32vfny
"Maracatu, Nação do Amor (April Child) (feat. Gilberto Gil)",Moacir Santos,Ouro Negro,Tuomufw26o4atootkq6tykafu7u
Coisa Nº 4,Moacir Santos,Ouro Negro,Tfjpekvzu5sem56iobx4rdulipi
Coisa Nº 10,Moacir Santos,Ouro Negro,Tnf3bprvejcvgstsff7rqbvkede
Jequié,Moacir Santos,Ouro Negro,Td6h7euvghcg5lt6gxa3qwlmz6a
Oduduá (What's My Name) (feat. João Bosco),Moacir Santos,Ouro Negro,Tfzllcefmiq2f66ejq3wc3ml3ze
Coisa Nº 3,Moacir Santos,Ouro Negro,Tjyhdp6my7uzfpccooynnnhcafa
Anon,Moacir Santos,Ouro Negro,Tieo2fh3dycfeiqzrdzc2tbjsv4
Quermesse,Moacir Santos,Ouro Negro,Tjwkh35re3cowjw6plqvmwrhgmy
"De Repente, Estou Feliz (Happly Happy) (feat. Joyce e João Donato)",Moacir Santos,Ouro Negro,Tbsbyjuufqhta3qowjydkpnbpie
Maracatucutê,Moacir Santos,Ouro Negro,Tido3kfex2n2ymqpodfsvkxh64m
Bodas de Prata Dourada (feat. Sheila Smith & Muiza Adnet),Moacir Santos,Ouro Negro,Tbm2eijmfccyw33fpmeowvdqoyi
Amazonas,João Donato Trio,Sambolero,Txgsdjh52zupp6z3veoc47lhqm4
Quem Diz Que Sabe,João Donato Trio,Sambolero,Txz7qvrdx7suhtmumni7mlzwcqy
Surpresa,João Donato Trio,Sambolero,Tdl4iquleoaqv3estzasxoyqqea
Bananeira,João Donato Trio,Sambolero,Txh36mmvr46kkurmydcpuctnwwq
Brisa do Mar,João Donato Trio,Sambolero,Tkp6wcwx64zlj5z4doxxwns5774
E Menina,João Donato Trio,Sambolero,Tx5j63zcx44otr66u3wolaqmawa
Lugar Comum,João Donato Trio,Sambolero,T6xnlqdv476cc65emg324gnhebe
Sambolero,João Donato Trio,Sambolero,Tgmpvco5b7elv6bk6vkrkwsnhu4
A Rã,João Donato Trio,Sambolero,Tt4lxzrnv5zivspkjn44lw53gzm
Nasci para Bailar,João Donato Trio,Sambolero,T3wo2chx6zjf4xwgcfvuqsc32l4
Jodel,João Donato Trio,Sambolero,Txhhcxjtq4gnhzk3xvxakzv4lta
Sambou... Sambou,Zeca Pagodinho,Uma Prova De Amor,Tmjm2kb2ks6wlgeetzqyakej3ve
"Bossa Eterna (feat. João Donato, Luiz Alves & Robertinho Silva)",Raul De Souza,Bossa Eterna,Tavqhzgypwegs3r4bpth3jqubyu
"Só por Amor (feat. João Donato, Luiz Alves & Robertinho Silva)",Raul De Souza,Bossa Eterna,Th6ppstuksgc2dtrglu7udqn6ai
