Cold Sweat (Part 1),James Brown & The Famous Flames,Get On Up - The James Brown Story (Original Motion Picture Soundtrack),Tfd432bayfrvaspsyg53okxyc7u
Funky Drummer (Pts.1 & 2 / Edit),James Brown,70's Funk Classics,Tmedjrwhlbp3zgh2xc4hjrpok3e
Funky President (People It's Bad),James Brown,Make It Funky: The Big Payback 1971-1975,Tyvm547ovnjudsrpefw54tw7okq
"Get Up, Get Into It, Get Involved (Pt. 1 & 2)",James Brown,In The Jungle Groove,Tmnr6fbmy7pfhlyscgti6pk7a7m
Get Up (I Feel Like Being a Sex Machine),James Brown,Feeling 70's (The Best Music of the 70's),Tmu6ssz54lwslwr2cthlgd53er4
Hot Pants (She Got To Use What She Got To Get What She Wants) (Live At The Apollo Theater/1971),James Brown,"Revolution Of The Mind (Recorded Live At The Apollo, Vol. III)",Tkkwrsrmvibfgi7cwafrqqst764
I Don't Mind (Remastered),James Brown,"Hot Classic R&b Recordings Remastered, Vol. 2",Tvga6zrinuuly65636f7p7qsfjy
I Feel Good,James Brown,The Best of James Brown,Tij7ctkyu2kbxm7ycyx7vjwjam4
"I Got The Feelin' (Live At Memorial Auditorium, Dallas/1968)",James Brown,Get On Up - The James Brown Story (Original Motion Picture Soundtrack),Te33rc7ff2blqgkzyqa3papvdze
I Got The Feeling (Live),James Brown,Get Up Offa That Thing,Tekmby7dvyufvdicirvd62qz5si
I'll Go Crazy,James Brown,I'll Go Crazy,Towgnhpds45r2yglivit3t7ql4u
Too Funky In Here,James Brown,Soul Jubilee,Tcued7akkd2nzfucbbvquwz55li
"It's A Man's Man's Man's World (Live In Tokyo, Japan/1979)",James Brown,Hot On The One (Live),Tsgrlqxidih5rxdlftgd73n25cq
King Heroin,James Brown,Make It Funky: The Big Payback 1971-1975,T6mcwekwnmfkgasbmhkqhf63qsu
Licking Stick - Licking Stick,James Brown & The Famous Flames,Say It Loud - I'm Black And I'm Proud,Tkgkzaee6cb7uqr3tgj4mcmib4y
Living In America,James Brown,The Great James Brown - Live At The Apollo 1995,T5lyxg6rh5nwcdkjgrjugjvmz6m
Lost Someone (1961 Single Version),James Brown,The Singles Vol. 2 1960-1963,Tatjmkg3kzbcxziyr6ibhojn5wy
Make It Funky,James Brown,Cold Sweat & Other Soul Classics: James Brown,T72pmyybx2itrtdde2ckbduyc6q
Mashed Potatoes U.S.A.,James Brown,Tour of the U.S.A.,Tmucidbqbrtvt5zazqapqcqha4u
Mother Popcorn (Part 1),James Brown,The Singles Vol. 6: 1969-1970,Tbb3eqm6ce3vwx4zdtcdad2z4re
Night Train,James Brown,Train Time: Ticket To Ride Board Game Unofficial Soundtrack Companion,Tadl736y3nggd5e6a6txrmcnnum
Papa Don't Take No Mess,James Brown,Make It Funky: The Big Payback 1971-1975,Trytgqvfbcdubvcamt6uyhi5dre
Papa's Got a Brand New Bag,James Brown,"Soul Classics, Vol. 1",T66zl4yzly3lvn4vgwyuqghgp3a
Papas Got A Brand New Bag,James Brown,Papa's Got A Brand New Bag,T53qtfu244eddpm3ka2xdg4wumy
People Get Up And Drive Your Funky Soul,James Brown,The Singles: Vol. 9 1973-1975,Trjiquuogv7fpif4eeekfmh3u5y
Please please please,James Brown,James Brown Greatest Hits,Tzckiwmbpq5vwqdwyy2qn54sfye
Say It Loud - I'm Black And I'm Proud (1968/Live At Dallas Memorial Auditorium),James Brown,Say It Live And Loud: Live In Dallas 08.26.68,Tanmlivbpzejwpeqwdth6x47yte
Say It Loud,James Brown,"The Unforgettable Voices: 30 Best of James Brown, Percy Sledge & Curtis Mayfield",Taltietynxhmxzk3ixbnkylwdz4
"Sex Machine (Live at Studio 54, New York)",James Brown,Sexmachine,Tveyk4jm3dsv2x3mlzwwpzk64du
Super Bad,James Brown,James Brown's I Got The Feelin',Tmlk4cirll4jdmwipudtoc2a2pa
Superbad (Fredco Mix),James Brown,The Hits Reloaded,Tffyxls3sk5uwzt7arigqaqnrfa
Talking Loud And Saying Nothing (Part 2),James Brown,The Singles Vol. 7: 1970-1972,Tz7uvkog6bmpjldiv6afttswgnu
The Boss,James Brown,"Music From The Motion Picture Lock, Stock And Two Smoking Barrels",Ts3mvfq3ez3b3qk5nao5qw5bqsu
Old Landmark,The Pattersonaires,Book of the Seven Seals,Tv276gfncdyvkcjdfssu6ogxpxi
The Payback,James Brown,"Soul Hits, Vol. 2",Tf52ue7w2zypbaveirfr5owqd74
Think (Live At The Apollo/2001),James Brown,"Live At The Apollo, Volume II (Deluxe Edition)",Taccka7mqoou6f3im7e5uxtmzqa
This Is a Man's World,James Brown,Soul Box,Tajao4445zzcwxohdul4476iey4
Try Me,James Brown,Hippy Hippy Shake Hits,Tsheccofb7aiw34frylhq45pcru
