Ad Lib Blues (feat. The Oscar Peterson Trio),Lester Young,The President Plays with the Oscar Peterson Trio (Bonus Track Version),T4tszyw5dug5kdx2mvedpc44xce
"Just You, Just Me (feat. The Oscar Peterson Trio)",Lester Young,The President Plays with the Oscar Peterson Trio (Bonus Track Version),T253vxptfn5vprm72nsaqnp2gji
Tea for Two (feat. The Oscar Peterson Trio),Lester Young,The President Plays with the Oscar Peterson Trio (Bonus Track Version),T3xupdp32j3nyzxws7htvuuhllm
Indiana (feat. The Oscar Peterson Trio),Lester Young,The President Plays with the Oscar Peterson Trio (Bonus Track Version),T35z53gzdcn43c6cjoppjcrmdiq
Cherokee,Art Van Damme,Lullaby in Rhythm,Tgqtpysf3e655jyprrpyssr6i5a
A Foggy Day,Red Garland,Red,Tjo66zb5h3g4tdq7azfktmru2lq
September in the Rain,Red Garland,Red,T7zjiw5knnjoi5tnitjabvbjiza
I Say A Little Prayer For You,Wes Montgomery,Down Here On The Ground,Tekladeu7qjvetqpz5qfbuxi4ee
Know It All,Wes Montgomery,Down Here On The Ground,Tkljvtfe5tcmmh5eoyqufzbfwti
Autumn leaves,Cannonball Adderley,Somethin' Else,Tq2c7t7hasmsq7yslh45hby2k2m
Sophisticated Lady,Thelonious Monk,Plays Duke Ellington [Keepnews Collection] (Remastered),Tnanp5ixujlm2gcgh6oopovh4za
Just Friends,Charlie Parker,Charlie Parker With Strings (Classics International Version),Tsfdnh3igbjecelkam6bnnsx2ee
April In Paris,Charlie Parker,Charlie Parker With Strings (Classics International Version),Thqsyb64ww5463cvt6cfcc4hgmy
Laura,Charlie Parker,Charlie Parker With Strings (Classics International Version),Tn5rwrsn4u4ypwsn4uyn33amz4m
Four,Miles Davis,Miles and Silver,Tn36g23qc525cmxyxunr6nsxiim
I'll Remember April,Miles Davis,Miles and Silver,Tdsmjq5ekber6hdyq3gzeeuawfm
I'm Gonna Sit Right Down and Write Myself a Letter,"Earl ""Fatha"" Hines","Jazz Greats: ""Fatha"" Plays Fats",T2pdefh4e4f53xuchhumpr4lzta
There'll Never Be Another You,Stan Getz,The Jazz Fix,To7jwgs4m4plg6ce5m3icqyrd5q
Let's Cool One,Thelonious Monk,In Orbit,Tvymfmr4zyghya62czoqqkhtequ
Pennies From Heaven,Stan Getz,Stan Getz: Verve Ultimate Cool,Tusk36jjvx75qodxdbbpprdrnzi
