So What,Miles Davis,Kind Of Blue,T3izkaukeiwhsxjh7bamh7hkuna
My Favorite Things,John Coltrane,Everytime We Say Goodbye,Tdjhy7vorkqpzudida56w5xazh4
Take Five,Dave Brubeck,Dave Brubeck's Greatest Hits,Tyyke42aao5kn2ddu6hs6imzeae
Birdland,Weather Report,Heavy Weather,Tpctw67ljld34imctvtmybhbb3a
Freddie Freeloader (Remastered),Miles Davis,"Original Works (Original Artist, Original Recordings)",Tq6qymf6b6bcu67sez2tce2ga6e
"A Love Supreme, Pt. IV - Psalm (Original Mono Reference Master)",John Coltrane,A Love Supreme: The Complete Masters,Thp3cnwob56lcob42jjs4r4ykfq
Strange Fruit,Billie Holiday,Greatest Hits,T7nvuiwzd4tncwl7vhzultz77pe
Salt Peanuts,Dizzy Gillespie,The Jazz Biography,Td5vkwvdj57mto7cho3lqcyujh4
Goodbye Pork Pie Hat,Charles Mingus,"All that Jazz, Vol. 56 - Charles Mingus: Ah Um and Live at Massey Hall Toronto (Highlights)",T4a5vhvszocnmk3btomeyfbo5le
Chameleon,Herbie Hancock,Head Hunters,Tsx3rjkkgbg6pbvikwkbtfybp3i
Straight Life,Freddie Hubbard,California Concert: The Hollywood Palladium (CTI Records 40th Anniversary Edition),Tpdv3tciz4tuufmioa77i7xhc3m
The Creator Has A Master Plan (Peace),Louis Armstrong with Leon Thomas,Liberation Music: Spiritual Jazz And The Art Of Protest,Tt6onubuwiybkvxvmreouyq7myi
Blue in Green,Miles Davis,Kind Of Blue,Tpkjxwpnqu26z73w6sklqpsidfa
One O'Clock Jump,Count Basie & His Orchestra,Happy Sounds,Tzumkzhj47zpx72yna4xvi4osce
Bumpin' On Sunset,Wes Montgomery,Movin’: The Complete Verve Recordings,Tsjxxosq3p2zj3s6676az7q4aie
Naima,John Coltrane,Giant Steps (Deluxe Edition),Tspewjmyrshsc33qwuf4x4d7fne
Chicken Shack,Jimmy Smith,Start It Up,Tgfdzrd7hxewyessqm5enp2ymwa
Mister Magic,"Grover Washington, Jr.",The Best Of Grover Washington Junior: Anthology Series,T6rpkvmyvzntwbgnelmy4ylmlfe
Giant Steps,John Coltrane,Giant Steps,Tru6dpfvcghb6ddtpxs3hdaeqju
In A Silent Way / Intruder,Miles Davis,Live - Melbourne '88 - Remastered,Tvgoghngpw25wq6xffx425uj62q
Dolphin Dance,Herbie Hancock,Dedication,Ti2qtthfx4ncrw3kcyldv3iswgm
Blues in F (In 'N Out),Joe Henderson,Jazz Collection,Txrlewcg2bmzaug5676h5qavrvq
A Love Supreme Part 2: Resolution,John Coltrane,In Europe - Disc 3,Trur4jlslnlco3j2vl5pwzaefqy
