I Only Have Eyes for You,Billie Holiday,Billie's Blues,Tpa6iswt7bcwpbynjxjyrdvsmum
Let's Call the Whole Thing Off,Earl Hines,Earl Plays George Gershwin,Tr34u56mni62yyxmcts5ovovcwu
They Can't Take That Away from Me,Earl Hines,A George Gershwin Songbook,Tucqtgviotvkh32j2ew6qrzofsq
Autumn Leaves (Live),"Louis Petrucciani, Michel Petrucciani",Flashback,Tbrs3znt5wiy6ssog7nhcgv3liq
Laura,Joe Pass,I Remember Charlie Parker,Teudlawagm7qjwcscaappcxgewq
They Can't Take That Away From Me,Joe Pass,I Remember Charlie Parker,Tvw3hfhacze53g47cuv5vtki7g4
Bananeira,João Donato Trio,Sambolero,Txh36mmvr46kkurmydcpuctnwwq
Lugar Comum,João Donato Trio,Sambolero,T6xnlqdv476cc65emg324gnhebe
"Balanço Zona Sul (feat. João Donato, Luiz Alves & Robertinho Silva)",Raul De Souza,Bossa Eterna,Thvw5f7jp7p6vbkyc55wi3k5nay
"Lugar Comum (feat. João Donato, Luiz Alves & Robertinho Silva)",Raul De Souza,Bossa Eterna,Tesmvool3c5pe5l2lume2rqrluq
"Upa, Neguinho",Rio 65 Trio,A Hora E Vez Da M.P.M.,Tyy354monx4nwq4p4nx5hiirhnm
Rio 65 Trio Tema,Rio 65 Trio,A Hora E Vez Da M.P.M.,Tkhigzrgwpjcaticfal4fia3euy
Night And Day,Michel Petrucciani,The Blue Note Albums,Tsd7zlpfi5rl2wymzzh7d7duvcm
Begin the Beguine,Dick Hyman,Stompin' at the Savoy: Dick Hyman Jazz Organ,Thfcvhcuxcwc45i5mserblayg7y
Begin The Beguine (Alternate Take),Art Pepper,Modern Art,Tdr7garirhxwiuyrn65dmp6kjly
Begin the Beguine,Ella Fitzgerald,Cole Porter Songbook,Tlvpf7udfqadmlmyw6wpnxffi64
Almost Like Being in Love,Vic Damone,16 Most Requested Songs,Tynlkhuyp3hxkiihigika7ynbxm
I'm Gonna Sit Right Down and Write Myself a Letter,Fats Waller,75 Original Great Performances Remastered,Tjetdklkknjynkmkq3f66jcjlv4
In a mellow tone,Delicatessen,Jazz + Bossa,T6n42ytq7otejfiwi7bkk6jolwi
Do it again,Delicatessen,Jazz + Bossa,Tsrvpbcym6cjmauf7uziuabiaoq
Balanço Zona Sul,Wilson Simonal,S'Imbora - A História De Wilson Simonal,Tzuwtxbsj2whpdnbfzqle6gkkoq
Outono No Rio,Ed Motta,As Segundas Intenções Do Manual,Tkmblaq2pii34cieljom2putmha
Falso milagre do amor,Trio Bembe,Trio Bembe,Tac465abbytdjwg3vdssgxw6xki
Almost Like Being In Love (feat. Paul Chambers & Art Taylor),Red Garland,Red Garland's Piano,Tz3w3lumq5ai7k54dz22lrhjce4
I Must Have That Man,Teddy Wilson and His Orchestra,BD Music Presents Lester Young & Billie Holiday,Tbtlqa2o5a3meoqn4e5njn4ns3e
Moonlight in Vermont,Ella Fitzgerald,"Talent, 30 Original Songs: Ella & Louis",Tigtoeae622emtwm72dthnyilj4
They Can't Take That Away from Me,Louis Armstrong,Louis Armstrong & Ella Fitzgerald,Tfgbgqlavi2ppk7b2zkj3ba3cwm
A Foggy Day,Ella Fitzgerald,"Talent, 30 Original Songs: Ella & Louis",Twz35hiev7x3ztq65jaaqucajrm
Cheek to Cheek,Ella Fitzgerald,Talent - 30 Original Songs - Ella & Louis,Tyvpdif54cfs2uhqd3ee2edqxiu
Moanin',Bobby Timmons,Moanin',Tpo6lydgtisiu3xvcvltwtzr2d4
Afternoon In Paris,John Lewis & Sacha Distel,Afternoon In Paris,T7cgfq3thvm67xki5btq2n3iooy
Two By Two (Live),Steve Kuhn,Live At Birdland,Tt2fstv5nkxtr23tlj4objadesu
