Going to California (2012 Remaster),Led Zeppelin,Led Zeppelin IV (Remaster),T2pxshsfi5ccg64akjbxys7iccy
Rock and Roll (2012 Remaster),Led Zeppelin,Led Zeppelin IV (Remaster),T2juv7kjd3rb2uaf4bijuidi2fi
Black Dog (2012 Remaster),Led Zeppelin,Led Zeppelin IV (Remaster),T2llrxzgxrgrui2fcjcu7rryxem
Stairway to Heaven (2012 Remaster),Led Zeppelin,Led Zeppelin IV (Remaster),T6omarhivebzpmh4yno7lg2gfcm
Misty Mountain Hop (2012 Remaster),Led Zeppelin,Led Zeppelin IV (Remaster),T42jt7zcubfum7w4iqdc2omtvmm
K-Xintema,"Mauricio Einhorn, Nelson Faria, Tony Botelho & Paulo Moura",K-Ximblues,Tvqfrhvvetagwz2kpdg7q6c2bgi
Auto Plágio,"Mauricio Einhorn, Nelson Faria, Tony Botelho & Paulo Moura",K-Ximblues,Trqsi5r6a2l5qivtaqroee6bape
Catita,"Mauricio Einhorn, Nelson Faria, Tony Botelho & Paulo Moura",K-Ximblues,Toajn6sr5m52tjpterjk2km2qzy
Eu Só Quero um Xodó / Tenho Sede / Abri a Porta (Instrumental),Sandro Haick & Luciano Magno,Viva Dominguinhos (Instrumental),T4f7volpw6zqpjx3ewllelemzfe
Errare Humanum Est,Jorge Ben,A Tabua De Esmeralda,T4ooic4pmsomyaavqa7nc4ksuru
Instantes,Trio Bembe,Trio Bembe,Ttn7kiwpwttqb65bw4ljp4ubiyi
Hermes Trismegisto E Sua Celeste Tábua De Esmeralda,Jorge Ben,A Tabua De Esmeralda,Trz6ud73dfasxu236u2iv3wolh4
Meu Lugar,Arlindo Cruz,Sambista Perfeito,Tpndcypmxu4lslfjp6u5kf5yqr4
Love Train,The O'Jays,The Best Of,Tlzberzed32kcmr3cybnnziy7s4
Aja,Steely Dan,Aja,Thtdohz2b3bkyhjw5bnoyxlxhfe
Long Tall Sally,Little Richard,"The Greatest!, Vol. 1 (The 1955-1957 Masters Complete Collection)",T6gcpyrihixfritfkolkdupktmm
The Reflex,Duran Duran,Greatest,Tbvcnfcnx4gyu7fszwcbrlf33fe
Save a Prayer (Single Version),Duran Duran,Greatest,Tbz2guvompnaxjkra5zgwqniimu
Planet Earth (Single Version),Duran Duran,Greatest,Tpchchhupj4ksrcsq256ihtfnvi
Union of the Snake,Duran Duran,Greatest,T3bluculmsdlmyreugaauqbnbee
I Don't Want Your Love (Shep Pettibone Mix),Duran Duran,Greatest,Taoyhellxnlb4qcpt6hfv5z2z5u
Serious (Single Edit),Duran Duran,Greatest,Tf7ibiughyx4ws274diy2w3dcry
Skin Trade (Radio Cut),Duran Duran,Greatest,Tdm7ofmlk5ayshxsdzdbzkpyjy4
