Nada Sei (Apnéia) (Ao Vivo),Kid Abelha,Acústico (Live),Tvqiseimaw3hys77midjznlpx7m
Seu espião,Kid Abelha,2 é Demais,Tgjiodqc2j6w23rp7w5p2lp6poe
Nada tanto assim,Kid Abelha e Os Abóboras Selvagens,2 é Demais,Tv2f3fgrndsqzp5hrqwje3gwoqu
Alice (Não me escreva aquela carta de amor),Kid Abelha e Os Abóboras Selvagens,2 é Demais,Tc77trutoxinuzz2mlw3s6qxrqe
Hoje eu não vou,Kid Abelha,2 é Demais,Tgy32o7q5rgsipvxeaevic2sd6i
Fixação,Kid Abelha,2 é Demais,T3toqfhwlq6pllf4l3j5q22ui6q
Como eu quero,Kid Abelha e Os Abóboras Selvagens,2 é Demais,Tytxtxcncpjbheetgmfhwrujfpq
Ele quer me conquistar,Kid Abelha e Os Abóboras Selvagens,2 é Demais,Thxdpmy3ankafm3ofoxsmkgxyvi
Porquê não eu?,Kid Abelha,2 é Demais,T6ptnzhr5c5c4j4gtgq55che5wm
Pintura íntima (Compacto),Kid Abelha,2 é Demais,Tozoyaqolor5pvbtwo4gp5e3v4i
Lágrimas e chuva,Kid Abelha e Os Abóboras Selvagens,2 é Demais,Tzasxdxluef2um3aaq5eogle4vq
Educação sentimental II,Kid Abelha,2 é Demais,Tg4hx2emb3vxvorrpn52zb2goeq
Conspiração internacional,Kid Abelha,2 é Demais,T4srgngcslxb4zjsbwufkmwfrfe
Os outros,Kid Abelha,2 é Demais,T6ka6a2s7ptioshp5x2khn63xlq
Amor por retribuição,Kid Abelha,2 é Demais,Ttq2q5cqddabomejrsluvlpxvsy
Educação sentimental,Kid Abelha,2 é Demais,Tuhk3biffkwqojrfg5vrxkjt72a
Garotos,Kid Abelha,2 é Demais,Tk7qxaogrzh34ogqaarlej4fyv4
Um dia em cem,Kid Abelha,2 é Demais,T7mndn7phcmx57moeyndde7kvyy
Uniformes,Kid Abelha,2 é Demais,Tdfbj5fdc6o5cyv6jaraux7v5h4
A fórmula do amor,Kid Abelha,2 é Demais,Twuofi66cxo4uoqokr6b4jwsdru
