Conversa de Botequim,Doris Monteiro,Doris / Lucio – No Projeto Pixinguinha,Txoqduyxd2umtdrhe7bcjzwqmee
Mudando De Conversa,Doris Monteiro,Doris / Lucio – No Projeto Pixinguinha,Te7bgmt6ww7ribhrbuzjwmdfqby
Nem eu,Lucio Alves,Estrada do sol,Taqwbxkeikn3fcvvdcddjkfkns4
Agora É Cinza,Lucio Alves,"BD Music Presents: L'histoire de la bossa-nova, Vol. 2",T42mk5cdbfhatsr64l2bzpsdcx4
Lá vem a Baiana,Lucio Alves,Estrada do sol,Tasiniolgithrkdqv2phv5xa33q
Laura,Lucio Alves,Estrada do sol,Teilz2dc7plqwddkj7dt5qjkcmy
Estrada do sol,Lucio Alves,Estrada do sol,Tvrkbqwdq27f543rivjmoh3jqa4
Ninguém me ama,Lucio Alves,Estrada do sol,Tcliqbunoa26b5mtegwqzoiwjni
Se acaso você chegasse,Lucio Alves,Estrada do sol,Tuptda7weapgq6vfm5ca6i3tla4
Boa noite amor,Lucio Alves,Estrada do sol,Ti2rptirmsepz5gjfwoeoosbyoa
Se todos fossem iguais a você,Lucio Alves,Estrada do sol,Trpy66iweykttmis3oo3qtaum2q
Conceição,Lucio Alves,Estrada do sol,Tka3p3542s5iucq7f5vk3q7rmha
Menino de Braçanã,Lucio Alves,Estrada do sol,Tulblgnspze2tosa6zi4eeparsy
Beija-me,Lucio Alves,Estrada do sol,Tifatftdbiahmmcce2zsmik72li
Ideias Erradas,Lucio Alves,'S Bossa Nova 1,Thyuv2ee6uacqmg6g6ue54ee5gu
Sabado Em Copacabana,Lucio Alves,"Bossa Nova Café, Vol. 3",T3q42govotwviepzyi7s2iozgqq
Tereza Da Praia,Dick Farney and Lucio Alves with Tom Jobim Group,Outra Vez (1951 - 1959),Twgeoyh2nfqn7oftszgydc3kzbe
Viva Meu Samba,Lúcio Alves,Viva Meu Samba,Tmgp2y5z7hww5lhf6mlsytexjqq
Este Seu Olhar / Só Em Teus Braços,Lucio Alves,Pure Bossa Nova,Tg3vjdnrsukk36wsraiybg2447q
Samba Triste,Lucio Alves,"BD Music Presents: L'histoire de la bossa-nova, Vol. 2",Tszob3aliv4i6hb7ccutis4kcwa
Sábado Em Copacabana,Lúcio Alves,Enciclopédia Musical Brasileira,Tmday44rmvnhep66d56h74pnkse
Lamento No Morrro,Lúcio Alves,A Tribute To Jobim: Best Hits,Tbhybqzeztnlvhyptzrdmqqe754
Castigo,Lucio Alves,No Palco! O Melhor da MPB,Tsyne2v6rtk235q5e73ol67vfki
Rio,Lucio Alves,Balancamba,Tfimfqwrfjdvjlpulg6p22sihwm
Valsa De Uma Cidade,Lúcio Alves,Enciclopédia Musical Brasileira,Tvz4blyvjlttsu2pxi5z7lrr5wm
Se Todas Fossem Iguais a Voce,LúCio Alves,Pure Bossa Nova,Tsdbndsvmqgzd5ra5slltqnihki
Nova Ilusão,Lúcio Alves,Enciclopédia Musical Brasileira,Tqv5awgxn5a7cs7olvjb3gllpjm
O Barquinho,Lucio Alves,Balancamba,T3nw7l3hbmzbcue7hpyetxkdrmq
Sabado Em Copacabana,Lucio Alves com Vero e sua Orquestra de cordas,Saudade do Brasil (Bossa Nova and Brazilian Pearls),T6vimvrybifjicqjcyicrk3ktaq
Ela É Carioca,Lucio Alves,Pure Bossa Nova,Tqur3lh3f6ixrflv5kw6rtorkgq
Chão de Estrelas,Lucio Alves,Serestas,Tuxcy24txr3ei7whcm7pqxukdfa
Eu Nao Existo Sem Você,Lúcio Alves,A Tribute To Jobim: Best Hits,T77i73atohsmtpztjrg4f5alcjy
Dindi (Version 2),Lúcio Alves,A Tribute To Jobim: Best Hits,T24yydoyeys4ykrei2g6qlkwysq
O Samba da Minha Terra,Lucio Alves,Bossa Nova - The New Wave of Brazilian Music 1958-1962,Tllowphsslczww654ka76p5ta6a
Tete,Lucio Alves,Balancamba,Tewvjf5tso22d5t4gifhco4dlf4
A Noite Do Meu Bem,Lucio Alves,A Noite Do Meu Bem...,Tasa5mvk6fkunsunr4hy2rqee7m
Casinha pequena,Lúcio Alves,Mestres da MPB,Txqjaxjiok7sqbz5on3kfndrr6q
Mágoas de Caboclo,Lucio Alves,Serestas,Tqqs7ys7mndwcuadm5d6mtmqixy
Por Causa De Você,Lucio Alves,A Noite Do Meu Bem...,Tlmh24rmfvhdfb36j4wedq5rmyu
Fim De Caso,Lucio Alves,A Noite Do Meu Bem...,T7co3s5o2m52olzbjcffj7ffzfy
