Será Que Eu Vou Virar Bolor?,Arnaldo Baptista,Loki? (1974),Tcluzztdratyh4lynrppc7g72ji
Vou Me Afundar Na Lingerie,Arnaldo Baptista,Loki? (1974),Tbtl7me3w7bcjogzqf5eemxjara
Cê Tá Pensando Que Eu Sou Loki?,Arnaldo Baptista,Loki? (1974),Tn3jgwvqexcctm26ty45hnq3lmy
Tecnicolor,Os Mutantes,Jardim Elétrico,Tyfxramlgaz3yrhhudbxhotwg6u
El Justiceiro,Os Mutantes,Jardim Elétrico,T6zggp6gaymzipph7lre32lyfei
It's Very Nice Pra Xuxu,Os Mutantes,Jardim Elétrico,Tnp25rx5iwbkijrrlyns3snllde
Portugal De Navio,Os Mutantes,Jardim Elétrico,Tvv4truwaz6eyyzvzz7xbrhq2lu
Virgínia,Os Mutantes,Jardim Elétrico,T4tq65k6u6iz55tsbqfwnkk6cii
"Lady, Lady",Os Mutantes,Jardim Elétrico,Ty6vyylrk4x3bytz6haj73pw4ya
Gita,Raul Seixas,A Arte De Raul Seixas,Ti7epwoafy4b6tl5buv3wlw5obq
Ouro De Tolo,Raul Seixas,A Arte De Raul Seixas,Trxijapcpix5urwurawwsvni6uu
Trem-Bala,Ana Vilela,Trem-bala,Ttotmd52432t3hv3yrb4u3uu7ze
Chão de Giz,Zé Ramalho,Antologia Acústica,Tcihg6i4pwcc6uxoerxawz26pqu
Nostradamus,Eduardo Dusek,Olhar Brasileiro,Tsyxlkxzmmuxcjtbaqtvbxc6vju
Os Passistas,Caetano Veloso,Livro,Tgee36noyhzs3tz2ghdndag2ytu
Livros,Caetano Veloso,Livro,Tgtp3agw7fsp23h66ra3fyzqt2a
Onde o Rio É Mais Baiano,Caetano Veloso,Livro,T22jjywx5tft4rucuglnw7plbzu
Manhata (Para Lulu Santos),Caetano Veloso,Livro,Tf44o3jmcvfpiu3c2cv52jcsfxa
Doideca / London London,Caetano Veloso,Livro,T6x4qffeugj7kpwtgtmy3gwf6ja
Você É Minha,Caetano Veloso,Livro,Twrxe2bejbd755cobqpzjkufvem
Um Tom,Caetano Veloso,Livro,Ti25xbq3wwmp5uhli2gyygghuxy
How Beautiful Could A Being Be,Caetano Veloso,Livro,Txn6t53xspfdc6owcrk3kvicqom
O Navio Negreiro (Excerto),Caetano Veloso,Livro,To6zqtvgxajbb7xrkr6jreejvzm
Não Enche,Caetano Veloso,Livro,Tg4nmyfzyfai2evjbbyybysiez4
"Minha Voz, Minha Vida",Caetano Veloso,Livro,T7bt3ux4uw3wvmcadh5ut6qc274
Alexandre,Caetano Veloso,Livro,Tygyxlpkwflrtslqwpwjwkf7l4e
Na Baixa Do Sapateiro,Caetano Veloso,Livro,Ttwzfnsccc2whylfkqaxrlzivba
Pra Ninguem,Caetano Veloso,Livro,T7voapuls74qztbzupfgmlui3ry
O Estrangeiro,Caetano Veloso,Estrangeiro,T2hnnrrxasbw55sw54b4e65o6rm
Balada Do Louco,Os Mutantes,"""Mutantes E Seus Cometas No Pais Do Baurets""",Tbzyx7grssypstwz5m2kyr4bhv4
Panis Et Circenses,Os Mutantes,Os Mutantes,T7hitjgtkpxefmw44kgswnwuy3y
Senhor F,Os Mutantes,Os Mutantes,Tyvsvztzpuhbd2nmak4aezerume
Ando Meio Desligado,Os Mutantes,"""A Divina Comédia Ou Ando Meio Desligado""",Taj6fl3qra7jhd5zfplakwsctwe
Não Identificado,Gal Costa,Gal Costa,T4i4ui72ipxqge32tke5mx5smte
Quanta,Gilberto Gil,Quanta,T7dtyuanxp2jluptiugq2iz4aiy
Ciência e arte,Gilberto Gil,Quanta,Tj3mmvlihsy6fpto4rvsacuvoie
Estrela,Gilberto Gil,Quanta,Tpr5iwkhnsi6v5wtkoiscn5jgb4
Dança de shiva,Gilberto Gil,Quanta,T7ihfdr276uuyvcexsgj3jjri6y
Vendedor de caranguejo,Gilberto Gil,Quanta,Tdxua35nhooesenijlnowgqdex4
Água benta,Gilberto Gil,Quanta,T2ehogixybzq6hj2wcp3gnoyeg4
Pílula de alho,Gilberto Gil,Quanta,Ttl6k6fmv7y73tckswekwl7xfu4
Opachorô,Gilberto Gil,Quanta,Teeogfqualped7jfb2jbrlppf4u
Pela internet,Gilberto Gil,Quanta,Ti2qjbi4lthjc72lstfnxoaz5b4
Guerra santa,Gilberto Gil,Quanta,Tpedepknytardkqu4aydp3t7a5m
Pop Wu Wei,Gilberto Gil,Quanta,Tuqqrgp5e6ymnfyd4l56arwdcte
O lugar do nosso amor,Gilberto Gil,Quanta,Tjcdhjgyej22xd2iysqdaezt4ku
De ouro e marfim,Gilberto Gil,Quanta,T4db4pxin456wxb5jm33fhi3lde
Com que roupa?,Gilberto Gil,Quanta,Tjs6gfozokwp2w5riwjrdyaa5ha
Guerra santa (Acid Jazz Mix),Gilberto Gil,Quanta,Tnvchgswyqrxchimd5xv7dgae2a
Vendedor de caranguejo (Chemical Mix),Gilberto Gil,Quanta,Tl3lm6hnm5r57zalafadsskhfmi
Vendedor de caranguejo (Cemichemichango),Gilberto Gil,Quanta,Ts3buedjkfjgg2ieagdjhcal4yu
Crua,Otto,Certa Manhã Acordei de Sonhos Intranquilos,T2mzqqtrv4plufs63lmyu5c3twa
Construção,Chico Buarque,Construção,Tnvlz6vfgk7ztyec4h5hclw5cfa
Bye Bye Brasil,Chico Buarque,Vida,T72rt5yatp766rjwt53qf26564q
Espera,Kleber Albuquerque,Mpb 5 Estrelas - Samba e Suingue (Vol.1),Tv66pnstkiwnn2hrlewtejj5enq
