Pra Sonhar,Marcelo Jeneci,Feito Pra Acabar,Twsrqsvtuce4dp5t2ahs454uea4
Um Anjo do Céu,Maskavo,Já,T27pjcza35qllrkvdg7qabhr5ge
Como é Grande o Meu Amor por Você (Versão remasterizada),Roberto Carlos,Em Ritmo de Aventura (Remasterizado),T7eoi4gg2ukbbx6yszkqg7plrwu
Só Tinha de Ser Com Você,Fernanda Porto,Best Of Fernanda Porto,Tqek7mchclvoafyfeenbxuhdr7e
Chega de Saudade,João Gilberto,Rosa Morena,Tdljcszivvreb4s5jytshdxyipm
Primavera (Vai chuva),Tim Maia,iCollection,Thhc66agfuqfytlgy3nzav5kv44
Samba de Verão,Marcos Valle,Marcos Valle,T2kpnsopn4wiukr4le4oh3smke4
Luiza,Antonio Carlos Jobim,Passarim,Td73keosvqutuuorb54uq2reerm
Colo de Menina,Rastapé,Fale Comigo,Tvfk4jpf2vfkoyndxrqigwb3kga
A Saudade Mata A Gente,Dick Farney,Enciclopédia Musical Brasileira,Tcfzyl6osuqgj77cfj3bbs4xfri
Balada do Amor Inabalável,Skank,#1 Hits,T6lktlrrj3zyy57z6xr6tcvhxua
Tocando Em Frente,Almir Sater,Além do Tempo,T654oeamlhyxm2vssikgdkxtn3m
Fico Assim Sem Você,Claudinho & Buchecha,Novo Millennium,Txzxrqzftrb4e2rffy5mmjm3g2y
Só Love,Claudinho & Buchecha,Novo Millennium,Tdwylh3fzg5u5r6zqfnnziza2sa
Quero Te Encontrar,Claudinho & Buchecha,Novo Millennium,Te35icfzbcooupfcfync6l6trbi
Só Tinha de Ser com Você (Cosmonautics Remix),DJ Patife,Cool Steps Drum 'n' Bass Grooves,Tckiafd5wknnp6aykp4jc2y3ip4
