Bem Que Se Quis (E Po' Che Fa') (2004 Digital Remaster),Marisa Monte,Marisa Monte,Tpj6qpugi3p7acwuucmjrt775aa
Preciso Me Encontrar (2004 Digital Remaster),Marisa Monte,Marisa Monte,T6cvhd56o3kbzinno4zfprabvri
"Lenda Das Sereias, Rainha Do Mar (2004 Digital Remaster)",Marisa Monte,Marisa Monte,Tr3yern5dszhunfmf3o5sq4mjve
Beija Eu (2004 Digital Remaster) (2004 - Remaster),Marisa Monte,Mais,Tvkbnpqooitzn3z2tc2xsv2pdu4
Eu Nao Sou Da Sua Rua (2005 Digital Remaster),Marisa Monte,Mais,Tgxaknbyncocyxyxg6enyrwk65e
Diariamente (2005 Digital Remaster),Marisa Monte,Mais,Thrcgjxxa63g7j6lejq4r5if4fy
Eu Sei (Na Mira) (2005 Digital Remaster),Marisa Monte,Mais,T4drpexzvt4rma5bx6djop6fkwi
Na Estrada (1994 Digital Remaster),Marisa Monte,"Verde, anil, amarelo, cor de rosa e carvão",Txqon7pbqibop45yn3g7wwmyvaa
Segue O Seco (2004 Digital Remaster),Marisa Monte,"Verde, anil, amarelo, cor de rosa e carvão",Tzgatqjn4oslkrhnrexnirsjfyi
De Mais Ninguem (2005 Digital Remaster),Marisa Monte,"Verde, anil, amarelo, cor de rosa e carvão",T7ack3xacxbkq3kqcqgm5z5c5em
Alta Noite (2005 Digital Remaster),Marisa Monte,"Verde, anil, amarelo, cor de rosa e carvão",Tfczppqlvin4xmghewacadfufgq
Esta Melodia (2005 Digital Remaster),Marisa Monte,"Verde, anil, amarelo, cor de rosa e carvão",Tebrc2yte5znohjhql4vh23v3bm
Não É Fácil (2004 Digital Remaster),Marisa Monte,"Memórias, Crônicas e Declarações de Amor",Tdj4ukwz3ed65dnp3ehttuvxkeq
Para Ver As Meninas (2004 Digital Remaster) (2004 - Remaster),Marisa Monte,"Memórias, Crônicas e Declarações de Amor",Ton4vnqjkwuq2bgv7e4byg5voqm
Gotas De Luar (2004 Digital Remaster),Marisa Monte,"Memórias, Crônicas e Declarações de Amor",T243tzqsaqpm3pf3potgjowu6aq
Ainda Lembro,Marisa Monte,Barulhinho Bom - BoxSet,Tuetq5jdhek6bney2t5iuwwi45q
A Menina Danca,Marisa Monte,Barulhinho Bom - BoxSet,Tvhpp57tmit277uzuvg2nm3qdwm
Danca Da Solidao (2004 Digital Remaster),Marisa Monte,Barulhinho Bom - BoxSet,Tmlkwxei5z73lnobrqdt47sl4yq
Meu Canario (2006 Digital Remaster),Marisa Monte,Universo Ao Meu Redor,Tahxeiu6y6jff5x4opnrrguprtu
Quatro Paredes (2006 Digital Remaster),Marisa Monte,Universo Ao Meu Redor,Ts5znexuu5n52otvtaaowrxiw24
Cantinho Escondido (2006 Digital Remaster),Marisa Monte,Universo Ao Meu Redor,Tmhk5x2mv7fyisxtp3q5cfbmb34
A Alma E A Materia (2006 Digital Remaster),Marisa Monte,Universo Ao Meu Redor,Tmlf2auvvbmeqsnpzkgmlibasvq
