Where Is My Mind?,Pixies,Death To The Pixies,T2lkhrlht2fhggy3qjkuqd4ll6u
Fresh Feeling,Eels,Souljacker,Tgzkmhnb24w774if4bkqh3nyhwy
Would?,Alice In Chains,Dirt,T4lfprkg5jyu5yv5ghvjn4srgei
All Along the Watchtower,The Jimi Hendrix Experience,Electric Ladyland,Tixcfaeouvevc5q4ve6o2m5tziy
Seven Nation Army,The White Stripes,Elephant,T5r2zxvb56wvyjojv7riicdu2e4
Roxanne (Remastered 2003),The Police,Outlandos D'Amour (Remastered),T324pmf5jf72lhwjwylxbwboyf4
Damaged Goods,Gang Of Four,Entertainment!,Tel7cv46dmigcigbuv3yxtt6one
Head On,The Jesus And Mary Chain,Automatic,Twxptopqvgy7zh6mu5ckwj35jtm
Psycho Killer (2005 Remastered Version ),Talking Heads,Talking Heads 77 (Deluxe Version),Ts7akzewwzgr4gljolfj2dr4epu
So Lonely (Remastered 2003),The Police,Outlandos D'Amour (Remastered),T2djtuushcj4ydq4erzrt46fznu
Rock Lobster,The B-52's,The B-52's,Tfxc5ps37mboaauwp2cafhsuvy4
It's The End Of The World As We Know It (And I Feel Fine) (Edit) (2006 Digital Remaster),R.E.M.,And I Feel Fine.....The Best Of The IRS Years 82-87,T7it6ipoqjb4fo35rcpbhqakfpu
10:15 Saturday Night (Chestnut Studio Demo 5/78),The Cure,Three Imaginary Boys (Deluxe Edition),Tvitg6v5rgw4gjjy5j4ibho5rpy
The Man Who Sold The World (2015 Remastered Version),David Bowie,The Man Who Sold The World (2015 Remastered Version),Tqslzucz4xg2ptmdzghrliuzm6a
Just Like Honey,The Jesus And Mary Chain,Psychocandy (Expanded Version),Taozw2jlagwicj3icdeytkjob7a
I Found That Essence Rare,Gang Of Four,Entertainment!,Tvtmbotoqmo4zqkys5qjchuqhva
You Trip Me Up,The Jesus And Mary Chain,Psychocandy,Tlw7dkpttgtvjbsporyeqtzssmu
Smells Like Teen Spirit,Nirvana,Nevermind,Trmgrlgxznldh4d2rqbf6cyl5ka
Changes (2015 Remastered Version),David Bowie,Hunky Dory (2015 Remastered Version),Tp6dzcajqvhglox5x7f77jfcuiq
Starman (2012 Remastered Version),David Bowie,The Rise And Fall Of Ziggy Stardust And The Spiders From Mars (2012 Remastered Version),Tmpksl7vc54yasomfgzhsgqhwxe
Come On Eileen,Dexys Midnight Runners,Too Rye Ay (Deluxe Edition),T4q7hjeq2obc6bffl36nsa5yjvi
Ziggy Stardust (2012 Remastered Version),David Bowie,The Rise And Fall Of Ziggy Stardust And The Spiders From Mars (2012 Remastered Version),Tsp3koev2ornnhqlja7pln4efmi
This Charming Man (2011 Remastered Version),The Smiths,Complete,Tr3hl6qufqanb7em47oxgypxcnq
Jumping Someone Else's Train,The Cure,Three Imaginary Boys (Deluxe Edition),Tcjzxmqo6vvdgmyd5gfxi4g654q
Little Green Bag,George Baker Selection,Golden Years Of Dutch Pop Music,Tsp3qsdxni6eprvufehn2jbbtki
Soul Love (2012 Remastered Version),David Bowie,The Rise And Fall Of Ziggy Stardust And The Spiders From Mars (2012 Remastered Version),T453xsxfeiawy7pa5keo2hrplcu
You Make Me Real,The Doors,Morrison Hotel,Tmhupajip6edreclwobrcffazxy
Ceremony (2011 Total Version),New Order,TOTAL,Ta2oylotpnsoxxxa5yiwpzsszne
Beds Are Burning (Remastered),Midnight Oil,20000 Watt RSL - The Midnight Oil Collection,Txog3qbyebpie3xf4pazl32spzq
The Killing Moon,Echo And The Bunnymen,Ocean Rain,Tvd4d5fcivglloeh5r6yd3iysry
L.A. Woman,The Doors,L.A. Woman,Tdok6ko22u3ihc2nwptnhzq2mwy
Tighten Up,The Black Keys,Brothers (Deluxe),Tsldizpxkv3gl5nxg2xbdfykclm
Tired Of Sex,Weezer,Pinkerton,Tb3w3zsjxhqwhztqtlgqnhubra4
Route 66 (BBC John Peel Session),Dr Feelgood,Dr Feelgood - BBC John Peel session (21st January 1975),T53a3jdm7prb73kpyemvrpg5kbu
Susie Q,Creedence Clearwater Revival,Creedence Clearwater Revival - Best Of,Tvqps36aj523uzdjvbjbkcjukwq
Shadowplay,Joy Division,Unknown Pleasures,Teyrsmlrv4qafpupm4nefy6xsuu
Back On The Chain Gang,Pretenders,Learning To Crawl,Tf4vu5e6dvobmp5gvud3mlzq37e
Middle Of The Road,Pretenders,Learning To Crawl,Tje4lqddnzuzw7imjnerd5okwda
Don't Get Me Wrong,Pretenders,Get Close,Tzedxvu7fszzcf3ii4f4yaoats4
