Dear Old Stockholm,Miles Davis,Top 100 Classics - The Very Best of Miles Davis,Ts4c7cmkvansrxgww3haykfgezq
Violets For Your Furs (Rudy Van Gelder Remaster),John Coltrane,Coltrane [Rudy Van Gelder Remaster],T66af24y2fkhu6j4b5coc5dmy5i
"Afro-Blue (Live At Birdland, New York City/1963)",John Coltrane,John Coltrane: Ken Burns's Jazz,Tdm4cfhug6565ri6g64jm7gfmki
In A Sentimental Mood,John Coltrane,John Coltrane: Ken Burns's Jazz,Th4f4vy2gwtjvzi72h26zs76zrq
Naima,John Coltrane,The Very Best Of John Coltrane,Tcwphsqhslif2u6p5bbpz54uoui
Cousin Mary,John Coltrane,The Very Best Of John Coltrane,T6xxsllmbssfsbkxf4izrsrmguy
Like Sonny,John Coltrane,The Very Best Of John Coltrane,Tl6vqkulqsy3qp7ius2az4y32ay
Equinox,John Coltrane,The Very Best Of John Coltrane,Tquudubohhgawvqz5qgdvlzmoxu
Easy To Love,Bill Evans,Plays For Lovers,Tnlnkvq2gegtdrgv4cdgsjlx47i
Song For My Father,Horace Silver,Song For My Father,Tngfd5swvvurx77kr5tqpj7amiu
Almost Like Being In Love (feat. Paul Chambers & Art Taylor),Red Garland,Red Garland's Piano,Tixbwf723wtrmjib4bkmc2tcpzm
Mercy Street,Herbie Hancock,The New Standard,Tcnfj6tyj6m45pdbo6m2d46sy4y
"Ruby, My Dear",Thelonious Monk,The Very Best,Tm5xw2vgw72tkmw44xffdu3yckm
There Will Never Be Another You (feat. Pete Brown's Sextet),Joe Wilder,Such a Beautiful Sound: Joe Wilder and Pete Brown's Sextet,Tg5d56looguk3lgtd4xhbgjq7d4
Autumn Leaves - Master Take,Wynton Kelly,"Wynton Kelly!, Vol. 1",Tfbypnynwh3ac3lfegndug2ebta
Tea for Two (feat. The Oscar Peterson Trio),Lester Young,The President Plays with the Oscar Peterson Trio (Bonus Track Version),T3xupdp32j3nyzxws7htvuuhllm
"Just You, Just Me (feat. The Oscar Peterson Trio)",Lester Young,The President Plays with the Oscar Peterson Trio (Bonus Track Version),T253vxptfn5vprm72nsaqnp2gji
On the Sunny Side of the Street (feat. The Oscar Peterson Trio),Lester Young,The President Plays with the Oscar Peterson Trio (Bonus Track Version),Ts4qhfwiisckqx5ybkapdpma64m
Almost Like Being in Love (feat. The Oscar Peterson Trio),Lester Young,The President Plays with the Oscar Peterson Trio (Bonus Track Version),T3pyd4gcrcrkao2cyikeuh7gz74
Let's Cool One,Thelonious Monk,In Orbit,Tvymfmr4zyghya62czoqqkhtequ
I'm Gonna Sit Right Down and Write Myself a Letter,"Earl ""Fatha"" Hines","Jazz Greats: ""Fatha"" Plays Fats",T2pdefh4e4f53xuchhumpr4lzta
Stompin' at the Savoy,Jim Hall,The Complete Jazz Guitar (Bonus Track Version),T3t5nptcmopu2fh57zv3pilmbu4
Profile of Jackie,Charles Mingus,The Very Best Of Charles Mingus,Tixqpdopsi27mab7e3cieda7tim
When You're Smiling,Lester Young,A Jazz Hour With Lester Young: Lester Leaps In,Tpdwvv6ffv732cabkznaswdl7bm
Amapola,Benny Goodman,Amapola,Tzpuiaozozoguoqh6gzbt4llb6i
Candy (Remastered),"Nat ""King"" Cole",The Jazz Singer,Tbcr2umhrph5jnabjgasfavf4py
Blue Rondo à la Turk,Richard Galliano,Blue Rondo à la Turk,Tvscl7iye3tbrhsob7bn6rntski
Almost Like Being In Love,Art Blakey,Art Blakey 1957,Te75l2xuidnz36le3vbi46bpp7e
On The Sunny Side Of The Street,Earl Hines,Take Five,Tizurpp3ujlp4sagatc34sk3w6e
There Will Never Be Another You,Lee Konitz,Lee Konitz with Warne Marsh (HD Remastered),Thsz5ft6qh6lnfyvi5dzthwffxy
Fly Me To The Moon,Louis Armstrong,St. Louis Blues,Tg6tq27cten5buaijhwwib5ae2a
I Want To Talk About You,John Coltrane,Soultrane,T4ogo3gala4imbsjd7kdaoreree
When Love Is New,Art Blakey,Indestructible,Tuq7y5d5twqqqnf7j2a6jgms3ee
Autumn Leaves,Benny Golson,Just Jazz!,Texlt6r45jobwsnor6t6c45n2bi
Girl from Ipanema,Benny Golson Tenor Summit,Tenor Legacy,Trfr4xbxvv5r7veslkvj76ztq2y
I Remember Clifford,Benny Golson,Stockholm Sojourn,Tel6g32a2hngcctippt23cree5e
Lullaby of Birdland,Benny Golson,Brown Immortal,Twlsitemnjrbc76w4cjpopqg32u
You're Driving Me Crazy/Moten Swing,Benny Golson,The Classic Albums Collection 1957 - 1962,Tqjlsj5ep3y5hk35cn3litbzdcy
All of Me (Remastered),Billie Holiday,Music for Lovers (Remastered),Thnxj7y2vmjczxleepbzsof2ici
Cheek to Cheek (Remastered),Billie Holiday,Music for Lovers (Remastered),Tyq7bbjkm6dvili5a6zmlk3lwxa
Too Young To Go Steady,John Coltrane,Coltrane For Lovers,Thfjhciaftmujzewufmtjqywyja
