(You Make Me Feel Like) A Natural Woman,Aretha Franklin,Mum,T6kyoqwuia6jfey2mof62y3n7ly
Let's Stay Together,Al Green,Let's Stay Together,Tqoqj75a6pg6cfp7bmtwiostl2q
I Want You,Marvin Gaye,20 #1's: R&B Love Songs,Tj737hphgb3y7nqpl46uqu3v2by
I Heard It Through The Grapevine,Marvin Gaye,Motown The Musical – 100 Originals,Tgdzuybw5noxn3atk2atzekovza
The Tracks Of My Tears (Stereo Version),Smokey Robinson & The Miracles,Motown The Musical – 100 Originals,Tezuhduccfp3pmgeu65h37gl2hq
Get Ready,The Temptations,Motown The Musical – 100 Originals,T6k4rgg53gx3igdc3e4mbghgiim
Soul Man,Sam & Dave,Happy Mother's Day,T7va2ykrbqfw7whahow4dc3qyoi
Try a Little Tenderness,Otis Redding,Soul Ballads,Tblztu622he2r2u3lvsz55y67q4
Living For The City (Live/1995),Stevie Wonder,Natural Wonder,Teyds4x5pylk3rdabponch27gcm
Move On Up,Curtis Mayfield,Feel Good Party,Tm4gr743gtvfxf6ollhzo6pzere
I Second That Emotion (Single Version / Mono),Smokey Robinson & The Miracles,Motown The Musical – 100 Originals,Tk6jr3jcyj3psl7j6pg62wsm6fu
All I Do,Stevie Wonder,At The Close Of A Century,Twmbcpbjwek7vejj2lwtapmntry
A Change Is Gonna Come,Sam Cooke,Keep Movin' On,Tl5ldflnh5wl3v7lufjaoklw4hq
The First Time Ever I Saw Your Face,Roberta Flack,First Take,Txerjvhin7pta7wymahgpgwvqpq
(Your Love Keeps Lifting Me) Higher and Higher,Jackie Wilson,The Legendary Jackie Wilson,Tbjl4seuepoeorhumewp2hocala
(Sittin' On) The Dock of the Bay,Otis Redding,100 Soul,T7ottxulubqanmmqnwjekijgvdi
Twenty Five Miles,Edwin Starr,Motown The Musical – 100 Originals,Tqqw73x4jtciop5cp4avm4jzxgm
When Somebody Loves You Back (Groover Love Mix),Teddy Pendergrass,Somebody Loves You Back: The Mixes,T2mxzivynbje3kk3xber3ixekce
Be Thankful for What You Got (Pt. 1 & Pt. 2),William DeVaughn,Be Thankful for What You Got,Tg2yju2f7fadm7fef43wmftekm4
I only have eyes for you,The Flamingoes,"Graffiti '50's, Vol. 3",Takn6xffcf7selgwwskowjbpeiu
Try Me,James Brown,Hippy Hippy Shake Hits,Tsheccofb7aiw34frylhq45pcru
Inner City Blues (Live),Marvin Gaye,Marvin Gaye's Greatest Hits (Live),T75euxjovfyxmn25du74aqoulre
Piece of My Heart,Erma Franklin,Erma Franklin: Piece Of Her Heart - The Epic And Shout Years,Tyu5n6p4yi2y3x5iniogg5psugq
People Make the World Go Round (Rerecorded),The Stylistics,The Very Best Of Soul Sensation,Tm3paevpntmpxujs3mpmypmgtmm
Tainted Love,Gloria Jones,Only #s One / 20,T6d3no2l7vbnn7gad4d57iz3mly
This Old Heart Of Mine (Is Weak For You),The Isley Brothers,Motown The Musical – 100 Originals,Tocnkctmovw2afidt7yraglaqa4
Have You Seen Her?,Chi-lites,Live!,Twvcypd4kxgzczzkx4gonumq6ka
Maria (You Were The Only One) (Single Version),Michael Jackson,Anthology: The Best Of Michael Jackson,Teas3fj53qwrwdifgxqc3buwy4y
It's Torture,Maxine Brown,"Soul Amazing, Vol. 1",Tabmj4d4ekvdzk7ewmyy7g43rga
A House Is Not a Home,Luther Vandross,The Essential Luther Vandross,Thgc4lnyz3fgv63kb2gnqepeg4a
Do I Love You (Indeed I Do),Frank Wilson,"The Complete Motown Singles, Vol. 5: 1965",Tcnttdomowzxsqqckoovjtn5moa
Heatwave,Martha Reeves,Blues Brother Soul Sister (Volume Two),T26sgw5s57pdqz3g3mnh4oo6kdm
Walk On By,Isaac Hayes,Greatest Hit Singles,Tgnygkugjlcfpcduo6aornwovny
On & On,Erykah Badu,Baduizm - Special Edition,Tleapd7nki4be66befyrgz5i7ee
Brown Sugar (Incognito Molasses Mix),D'Angelo,Brown Sugar (Deluxe Edition),T26xyjij6q7gopidwkfh2n5jbyi
All Night Long,Aretha Franklin,A Taste Of Love (Dance 80's),T6ucvt23kzjjgqa2ammhfte4r2m
The Makings of You,Curtis Mayfield,Essential Soul Serenades,T4aarq37xgff252bdw5niehduha
Let's Straighten It Out,O.V. Wright,The Bottom Line,Tqsioxbrqxfd67szzjr5cbauby4
Back To Black,Amy Winehouse,Back To Black,T4e4jhkptwiqodbsivu42m4lb3y
Prototype,OutKast,Speakerboxxx/The Love Below (Deluxe),T4ec3jr5fj6thqpwyhgqyk32e6m
Woman's Gotta Have It,Bobby Womack,Anthology,Tdn75b2zsclymfo4b5r26x24t4q
Seven Days Too Long,Chuck Wood,Northern Soul Explosion,Trdkixbf3wzt2hggvzijiye4kpa
Untitled (How Does It Feel),D'Angelo,Voodoo,Tdrhpopfyhfjzzrb7rwrdo7m3te
90% of Me Is You,Gwen McCrae,Vintage Groove,Trz22t4ppfwkudx5q46qthupex4
At the Top of the Stairs,The Formations,Six Pack,Tb7qe3iq4h5ly3sdodmbgk6gvw4
Baby,Donnie & Joe Emerson,Dreamin' Wild,Ti32e7ovjsmxlzejb2fb6nlbkxm
I'll be Around (Live),The Spinners,On Stage with,Tw622cnb3gwpf4p24gkdkw7z7um
The Way,Jill Scott,Jill Scott Live In Paris,T3uioctmt5q6h5n5vfity6golpe
By The Time I Get To Phoenix (Single Edit - Remaster),Isaac Hayes,Hot Buttered Soul (Deluxe Remaster w/bonus Interview),Tgikmoh3v24zgmzmssb2yvmr7vu
