Amapola,Benny Goodman,Amapola,Tzpuiaozozoguoqh6gzbt4llb6i
Candy (Remastered),"Nat ""King"" Cole",The Jazz Singer,Tbcr2umhrph5jnabjgasfavf4py
Fly Me To The Moon (In Other Words),Frank Sinatra,Sinatra/Basie: The Complete Reprise Studio Recordings,Tkittjmae6svlw6gz7tsw53npuq
I've Got You Under My Skin,Frank Sinatra,Ultimate Sinatra,Ttshxfb7y5qy2mo3gz27kmqlue4
Night and Day,Frank Sinatra,New York Nite Club,Tiwjyqpyplaxt7bq43jcdo624l4
I Get A Kick Out Of You (Remastered),Frank Sinatra,Classic Sinatra - His Great Performances 1953-1960,Tv4a3ynfetm3x4skz3k6otw6bae
All Of Me (Remastered),Frank Sinatra,Swing Easy!,Tby4rxybyqvle4vlaedss2kd2hq
The Lady Is A Tramp (Remastered),Frank Sinatra,A Swingin' Affair! (Remastered),Trfemi5rvyjvkwdkoov3hly5bxy
Cheek to Cheek,Ella Fitzgerald,125 Ella e Louis Classics (The Beautiful Songs Remastering 2014),Totddky54fpkzjok4gj64vvwsrm
A Foggy Day,Ella Fitzgerald,125 Ella e Louis Classics (The Beautiful Songs Remastering 2014),T5m3vnmhnc6i3mlgch5mbhth6zi
They Can't Take That Away from Me,Ella Fitzgerald,125 Ella e Louis Classics (The Beautiful Songs Remastering 2014),Temp7pjzmcfqbezmhxqzja7npr4
In the Still of the Night,Ella Fitzgerald,The Cole Porter Songbook,Tradhxu6fmxygpgc2hvxdcygozy
Ev'ry Time We Say Goodbye,Ella Fitzgerald,The Cole Porter Songbook,Tk264askmyemug2525ejfutx63q
Begin the Beguine,Ella Fitzgerald,The Cole Porter Songbook,T5pr3vcvlklvvptqb24txrhoolu
You Do Something to Me,Ella Fitzgerald,The Cole Porter Songbook,T5m2lwsk6oi5whwhpvs2za77tpe
Night and Day,Ella Fitzgerald,The Cole Porter Songbook,T3xtonjwnn5imavysxx6s34sqaq
I Get a Kick Out of You,Ella Fitzgerald,The Cole Porter Songbook,Tp2gewxxzcheylvrkrh4slwyrwy
When You're Smiling (The Whole World Smiles With You) (Voice),Dick Hyman,Mighty Aphrodite - Original Soundtrack,T2ny3dfijzbpgviwfqzjqhj4ycm
You Do Something To Me (Voice),Dick Hyman,Mighty Aphrodite - Original Soundtrack,Tblunbj6o7yzotg5ace5mdroefq
Let's Call The Whole Thing Off,Louis Armstrong,"The Essential, Vol. 2 (feat. Ella Fitzgerald)",To76yxqtpkdbkwjooiqlyi7fbyy
Why Don't You Do Right?,"Peggy Lee, Benny Goodman Orchestra",111 Swing Classic Masterpieces (Jazz Masters),Tfd6dibkgvgydww6k6ututoe4b4
On the Sunny Side of the Street,Peggy Lee,The Peggy Lee Story Vol.1 - Why Don't You Do Right,Trr5stgap3qgv3il3tqg5qhvjgq
Almost Like Being in Love,Nat King Cole,"Just Nat King Cole, Vol. 1",Tkzr2ggwxuenfjzday74feo65ia
If You Were Mine,Billie Holiday,"A Jazz Hour With Billie Holiday: Me, Myself and I",Tg456knbavxcldflf3zblo7gva4
It's Only A Paper Moon,The King Cole Trio,The Marvelous Mrs. Maisel: Season 1 (Music From The Prime Original Series),Th3qzqgjwxm7fa3v43gdycwaycy
What a Difference a Day Made,Dinah Washington,What a Difference a Day Makes,Th47jqcgnup3n5whrd745eu2xrq
My Baby Just Cares for Me,Nina Simone,It's Christmas Time with Nina Simone,Tm3tlzjvhldz2ornatikdyy6agi
Dream a Little Dream of Me,Ella Fitzgerald,Get Happy,Tigjlksnpbimnp7ry6yh4zcteey
I'm Crazy 'Bout My Baby,Louis Armstrong,Satch Plays Fats,Tdojyeywoi2tt7ptqt6ffrzth4q
But Not for Me (Remastered),Chet Baker,Together (52 Memorable Jazz Tracks),Twmfpydypxmmk2eqbqy6kkc7fxa
Look for the Silver Lining (Remastered),Chet Baker,Together (52 Memorable Jazz Tracks),Thcltorkhdyqqricdguxhdtytxy
